ENSP00000262384	ENSTGUP00000008915
ENSP00000262904	ENSTGUP00000006514
ENSP00000368686	ENSTGUP00000005575
ENSP00000448182	ENSTGUP00000007512
ENSP00000320434	ENSTGUP00000008852
ENSP00000304669	ENSTGUP00000015232
ENSP00000477059	ENSTGUP00000006775
ENSP00000416707	ENSTGUP00000013703
ENSP00000222250	ENSTGUP00000000421
ENSP00000268042	ENSTGUP00000008875
ENSP00000372067	ENSTGUP00000013567
ENSP00000331879	ENSTGUP00000016110
ENSP00000276440	ENSTGUP00000004581
ENSP00000340677	ENSTGUP00000007902
ENSP00000272164	ENSTGUP00000000228
ENSP00000290015	ENSTGUP00000002076
ENSP00000252677	ENSTGUP00000005006
ENSP00000224605	ENSTGUP00000008308
ENSP00000334314	ENSTGUP00000013118
ENSP00000320663	ENSTGUP00000003528
ENSP00000252660	ENSTGUP00000011773
ENSP00000366267	ENSTGUP00000011586
ENSP00000377836	ENSTGUP00000003067
ENSP00000264039	ENSTGUP00000005646
ENSP00000280481	ENSTGUP00000012331
ENSP00000264895	ENSTGUP00000001808
ENSP00000338728	ENSTGUP00000007259
ENSP00000360252	ENSTGUP00000010021
ENSP00000310015	ENSTGUP00000008703
ENSP00000370713	ENSTGUP00000000869
ENSP00000441897	ENSTGUP00000011510
ENSP00000357459	ENSTGUP00000004236
ENSP00000296513	ENSTGUP00000002050
ENSP00000262803	ENSTGUP00000001084
ENSP00000399797	ENSTGUP00000017815
ENSP00000351524	ENSTGUP00000004566
ENSP00000424737	ENSTGUP00000001855
ENSP00000417401	ENSTGUP00000007193
ENSP00000394314	ENSTGUP00000010614
ENSP00000384725	ENSTGUP00000001146
ENSP00000253008	ENSTGUP00000004826
ENSP00000282903	ENSTGUP00000009073
ENSP00000292807	ENSTGUP00000010457
ENSP00000347408	ENSTGUP00000006886
ENSP00000428787	ENSTGUP00000005604
ENSP00000388996	ENSTGUP00000000719
ENSP00000406472	ENSTGUP00000010484
ENSP00000265741	ENSTGUP00000001484
ENSP00000423665	ENSTGUP00000017785
ENSP00000417914	ENSTGUP00000008359
ENSP00000264607	ENSTGUP00000003284
ENSP00000355195	ENSTGUP00000005747
ENSP00000305426	ENSTGUP00000008668
ENSP00000380321	ENSTGUP00000013552
ENSP00000229771	ENSTGUP00000001739
ENSP00000314444	ENSTGUP00000013534
ENSP00000216271	ENSTGUP00000004152
ENSP00000080059	ENSTGUP00000003859
ENSP00000225983	ENSTGUP00000014941
ENSP00000464050	ENSTGUP00000001990
ENSP00000225792	ENSTGUP00000004793
ENSP00000263093	ENSTGUP00000017288
ENSP00000262462	ENSTGUP00000000367
ENSP00000300456	ENSTGUP00000003797
ENSP00000359520	ENSTGUP00000009690
ENSP00000301825	ENSTGUP00000004020
ENSP00000413152	ENSTGUP00000009469
ENSP00000317232	ENSTGUP00000002508
ENSP00000345964	ENSTGUP00000010870
ENSP00000370473	ENSTGUP00000007392
ENSP00000275525	ENSTGUP00000007382
ENSP00000233809	ENSTGUP00000005260
ENSP00000269593	ENSTGUP00000002415
ENSP00000169298	ENSTGUP00000005613
ENSP00000386942	ENSTGUP00000010013
ENSP00000362239	ENSTGUP00000003654
ENSP00000417583	ENSTGUP00000007258
ENSP00000218548	ENSTGUP00000015841
ENSP00000355968	ENSTGUP00000003258
ENSP00000233535	ENSTGUP00000015287
ENSP00000363394	ENSTGUP00000001094
ENSP00000261867	ENSTGUP00000007581
ENSP00000415900	ENSTGUP00000002636
ENSP00000362195	ENSTGUP00000001638
ENSP00000263409	ENSTGUP00000002188
ENSP00000384545	ENSTGUP00000002551
ENSP00000376337	ENSTGUP00000013312
ENSP00000385836	ENSTGUP00000012297
ENSP00000260743	ENSTGUP00000010642
ENSP00000329926	ENSTGUP00000010646
ENSP00000357588	ENSTGUP00000012301
ENSP00000424126	ENSTGUP00000000742
ENSP00000340594	ENSTGUP00000006629
ENSP00000348429	ENSTGUP00000011117
ENSP00000233156	ENSTGUP00000011415
ENSP00000222543	ENSTGUP00000001560
ENSP00000311184	ENSTGUP00000009514
ENSP00000265132	ENSTGUP00000002561
ENSP00000376652	ENSTGUP00000013124
ENSP00000355809	ENSTGUP00000004234
ENSP00000348753	ENSTGUP00000002417
ENSP00000281156	ENSTGUP00000013167
ENSP00000348108	ENSTGUP00000012988
ENSP00000355094	ENSTGUP00000009670
ENSP00000328694	ENSTGUP00000009752
ENSP00000349575	ENSTGUP00000000287
ENSP00000271139	ENSTGUP00000008638
ENSP00000427695	ENSTGUP00000009518
ENSP00000331305	ENSTGUP00000010255
ENSP00000348300	ENSTGUP00000000354
ENSP00000423541	ENSTGUP00000004287
ENSP00000299134	ENSTGUP00000007254
ENSP00000262953	ENSTGUP00000000578
ENSP00000221561	ENSTGUP00000000578
ENSP00000432481	ENSTGUP00000013264
ENSP00000353224	ENSTGUP00000009842
ENSP00000345849	ENSTGUP00000004389
ENSP00000401853	ENSTGUP00000004777
ENSP00000337425	ENSTGUP00000014311
ENSP00000350937	ENSTGUP00000005434
ENSP00000157600	ENSTGUP00000010722
ENSP00000295902	ENSTGUP00000009765
ENSP00000401060	ENSTGUP00000006018
ENSP00000404911	ENSTGUP00000017723
ENSP00000373648	ENSTGUP00000012921
ENSP00000337354	ENSTGUP00000008600
ENSP00000216513	ENSTGUP00000013380
ENSP00000304502	ENSTGUP00000003980
ENSP00000260653	ENSTGUP00000003970
ENSP00000264380	ENSTGUP00000009936
ENSP00000337159	ENSTGUP00000017814
ENSP00000216602	ENSTGUP00000013262
ENSP00000390941	ENSTGUP00000001041
ENSP00000310491	ENSTGUP00000010929
ENSP00000346151	ENSTGUP00000002766
ENSP00000304604	ENSTGUP00000017804
ENSP00000324729	ENSTGUP00000013550
ENSP00000275015	ENSTGUP00000008206
ENSP00000311837	ENSTGUP00000013344
ENSP00000429842	ENSTGUP00000011271
ENSP00000217381	ENSTGUP00000003913
ENSP00000357484	ENSTGUP00000012263
ENSP00000419378	ENSTGUP00000002408
ENSP00000358460	ENSTGUP00000005066
ENSP00000414921	ENSTGUP00000001303
ENSP00000410811	ENSTGUP00000008161
ENSP00000333836	ENSTGUP00000007176
ENSP00000354724	ENSTGUP00000000131
ENSP00000264051	ENSTGUP00000007549
ENSP00000348828	ENSTGUP00000011679
ENSP00000366477	ENSTGUP00000001271
ENSP00000402584	ENSTGUP00000008110
ENSP00000319388	ENSTGUP00000002531
ENSP00000371434	ENSTGUP00000005472
ENSP00000332208	ENSTGUP00000012284
ENSP00000401536	ENSTGUP00000018091
ENSP00000293272	ENSTGUP00000003301
ENSP00000248948	ENSTGUP00000010657
ENSP00000369702	ENSTGUP00000003950
ENSP00000368908	ENSTGUP00000012352
ENSP00000287585	ENSTGUP00000008770
ENSP00000444350	ENSTGUP00000002994
ENSP00000441214	ENSTGUP00000016151
ENSP00000342222	ENSTGUP00000007045
ENSP00000406191	ENSTGUP00000007634
ENSP00000313670	ENSTGUP00000000219
ENSP00000264276	ENSTGUP00000010553
ENSP00000291536	ENSTGUP00000005825
ENSP00000347486	ENSTGUP00000006209
ENSP00000356436	ENSTGUP00000003563
ENSP00000360762	ENSTGUP00000008691
ENSP00000430985	ENSTGUP00000012771
ENSP00000250894	ENSTGUP00000003264
ENSP00000262013	ENSTGUP00000009628
ENSP00000369981	ENSTGUP00000004600
ENSP00000418744	ENSTGUP00000006527
ENSP00000278937	ENSTGUP00000000237
ENSP00000352513	ENSTGUP00000013904
ENSP00000278947	ENSTGUP00000017637
ENSP00000322460	ENSTGUP00000000233
ENSP00000266712	ENSTGUP00000008275
ENSP00000442046	ENSTGUP00000011791
ENSP00000343871	ENSTGUP00000011245
ENSP00000362824	ENSTGUP00000007184
ENSP00000283296	ENSTGUP00000013609
ENSP00000361995	ENSTGUP00000005413
ENSP00000268125	ENSTGUP00000008513
ENSP00000275162	ENSTGUP00000012176
ENSP00000428402	ENSTGUP00000011569
ENSP00000302843	ENSTGUP00000015009
ENSP00000347872	ENSTGUP00000002938
ENSP00000303129	ENSTGUP00000009423
ENSP00000399805	ENSTGUP00000010729
ENSP00000323678	ENSTGUP00000009389
ENSP00000436836	ENSTGUP00000004504
ENSP00000005284	ENSTGUP00000006373
ENSP00000300105	ENSTGUP00000011052
ENSP00000262138	ENSTGUP00000004516
ENSP00000440045	ENSTGUP00000005971
ENSP00000400258	ENSTGUP00000013320
ENSP00000362444	ENSTGUP00000001792
ENSP00000247191	ENSTGUP00000013464
ENSP00000359132	ENSTGUP00000005217
ENSP00000367446	ENSTGUP00000012701
ENSP00000388658	ENSTGUP00000008583
ENSP00000400101	ENSTGUP00000001687
ENSP00000322020	ENSTGUP00000010139
ENSP00000307513	ENSTGUP00000003162
ENSP00000283243	ENSTGUP00000006712
ENSP00000356587	ENSTGUP00000017666
ENSP00000348886	ENSTGUP00000001831
ENSP00000327048	ENSTGUP00000004740
ENSP00000328364	ENSTGUP00000013116
ENSP00000345393	ENSTGUP00000010757
ENSP00000350369	ENSTGUP00000003663
ENSP00000344903	ENSTGUP00000008481
ENSP00000297282	ENSTGUP00000011888
ENSP00000194130	ENSTGUP00000004522
ENSP00000279027	ENSTGUP00000005546
ENSP00000392411	ENSTGUP00000006158
ENSP00000406220	ENSTGUP00000009193
ENSP00000435582	ENSTGUP00000007870
ENSP00000353249	ENSTGUP00000015337
ENSP00000360905	ENSTGUP00000008844
ENSP00000379500	ENSTGUP00000009228
ENSP00000355751	ENSTGUP00000010031
ENSP00000222271	ENSTGUP00000014507
ENSP00000339730	ENSTGUP00000003709
ENSP00000357362	ENSTGUP00000014278
ENSP00000360500	ENSTGUP00000009575
ENSP00000371686	ENSTGUP00000005669
ENSP00000190165	ENSTGUP00000005672
ENSP00000227451	ENSTGUP00000007357
ENSP00000316532	ENSTGUP00000005160
ENSP00000410852	ENSTGUP00000005026
ENSP00000005286	ENSTGUP00000006525
ENSP00000356275	ENSTGUP00000001355
ENSP00000431813	ENSTGUP00000016201
ENSP00000160373	ENSTGUP00000004958
ENSP00000271277	ENSTGUP00000017828
ENSP00000237172	ENSTGUP00000013013
ENSP00000346560	ENSTGUP00000014041
ENSP00000303758	ENSTGUP00000001481
ENSP00000261889	ENSTGUP00000004758
ENSP00000363349	ENSTGUP00000001284
ENSP00000238994	ENSTGUP00000008758
ENSP00000308318	ENSTGUP00000005051
ENSP00000360035	ENSTGUP00000008220
ENSP00000284601	ENSTGUP00000005553
ENSP00000336630	ENSTGUP00000010366
ENSP00000356205	ENSTGUP00000001424
ENSP00000276218	ENSTGUP00000018065
ENSP00000391299	ENSTGUP00000011327
ENSP00000342313	ENSTGUP00000004064
ENSP00000332723	ENSTGUP00000012708
ENSP00000411770	ENSTGUP00000013371
ENSP00000359305	ENSTGUP00000006126
ENSP00000356381	ENSTGUP00000011714
ENSP00000369989	ENSTGUP00000012054
ENSP00000233596	ENSTGUP00000000875
ENSP00000368959	ENSTGUP00000001057
ENSP00000254901	ENSTGUP00000000004
ENSP00000438346	ENSTGUP00000011132
ENSP00000303482	ENSTGUP00000016601
ENSP00000362863	ENSTGUP00000005347
ENSP00000358159	ENSTGUP00000012638
ENSP00000295488	ENSTGUP00000002235
ENSP00000435506	ENSTGUP00000010871
ENSP00000317123	ENSTGUP00000014902
ENSP00000267984	ENSTGUP00000008191
ENSP00000365411	ENSTGUP00000001177
ENSP00000263915	ENSTGUP00000007219
ENSP00000381793	ENSTGUP00000008212
ENSP00000403459	ENSTGUP00000002306
ENSP00000369442	ENSTGUP00000012158
ENSP00000257408	ENSTGUP00000009157
ENSP00000264162	ENSTGUP00000012145
ENSP00000365397	ENSTGUP00000002564
ENSP00000358854	ENSTGUP00000010617
ENSP00000319474	ENSTGUP00000015957
ENSP00000387078	ENSTGUP00000012594
ENSP00000344504	ENSTGUP00000010848
ENSP00000349727	ENSTGUP00000000419
ENSP00000372160	ENSTGUP00000009545
ENSP00000262593	ENSTGUP00000008754
ENSP00000344277	ENSTGUP00000005134
ENSP00000245312	ENSTGUP00000011142
ENSP00000273861	ENSTGUP00000008315
ENSP00000216540	ENSTGUP00000011770
ENSP00000216264	ENSTGUP00000003893
ENSP00000347581	ENSTGUP00000011981
ENSP00000404121	ENSTGUP00000014107
ENSP00000265069	ENSTGUP00000001972
ENSP00000361800	ENSTGUP00000004174
ENSP00000360065	ENSTGUP00000010482
ENSP00000242317	ENSTGUP00000001775
ENSP00000380308	ENSTGUP00000008537
ENSP00000264968	ENSTGUP00000010492
ENSP00000474896	ENSTGUP00000008173
ENSP00000354458	ENSTGUP00000009905
ENSP00000360281	ENSTGUP00000009932
ENSP00000322061	ENSTGUP00000002273
ENSP00000309270	ENSTGUP00000011073
ENSP00000362207	ENSTGUP00000004253
ENSP00000307911	ENSTGUP00000008979
ENSP00000354842	ENSTGUP00000011516
ENSP00000219746	ENSTGUP00000007729
ENSP00000311657	ENSTGUP00000004537
ENSP00000346206	ENSTGUP00000015676
ENSP00000440288	ENSTGUP00000005720
ENSP00000275016	ENSTGUP00000013634
ENSP00000310721	ENSTGUP00000011596
ENSP00000301645	ENSTGUP00000011472
ENSP00000318867	ENSTGUP00000000259
ENSP00000259808	ENSTGUP00000002243
ENSP00000220751	ENSTGUP00000012150
ENSP00000332454	ENSTGUP00000005584
ENSP00000306678	ENSTGUP00000000273
ENSP00000363852	ENSTGUP00000000348
ENSP00000336888	ENSTGUP00000014702
ENSP00000359892	ENSTGUP00000010766
ENSP00000413025	ENSTGUP00000008158
ENSP00000344544	ENSTGUP00000002315
ENSP00000357881	ENSTGUP00000011706
ENSP00000343526	ENSTGUP00000010115
ENSP00000303434	ENSTGUP00000002464
ENSP00000346643	ENSTGUP00000004045
ENSP00000292432	ENSTGUP00000000496
ENSP00000223366	ENSTGUP00000003646
ENSP00000295256	ENSTGUP00000003236
ENSP00000367542	ENSTGUP00000001928
ENSP00000340243	ENSTGUP00000005396
ENSP00000342962	ENSTGUP00000012194
ENSP00000319796	ENSTGUP00000010522
ENSP00000420863	ENSTGUP00000003660
ENSP00000262809	ENSTGUP00000001065
ENSP00000274140	ENSTGUP00000007834
ENSP00000427223	ENSTGUP00000005998
ENSP00000379118	ENSTGUP00000008103
ENSP00000471536	ENSTGUP00000000081
ENSP00000385824	ENSTGUP00000012497
ENSP00000363377	ENSTGUP00000007495
ENSP00000366746	ENSTGUP00000001329
ENSP00000413697	ENSTGUP00000011194
ENSP00000330631	ENSTGUP00000005970
ENSP00000043402	ENSTGUP00000010901
ENSP00000399441	ENSTGUP00000002852
ENSP00000340328	ENSTGUP00000006607
ENSP00000312411	ENSTGUP00000007643
ENSP00000417659	ENSTGUP00000011495
ENSP00000254654	ENSTGUP00000006741
ENSP00000477341	ENSTGUP00000002579
ENSP00000343909	ENSTGUP00000007324
ENSP00000378830	ENSTGUP00000009243
ENSP00000338673	ENSTGUP00000008195
ENSP00000376345	ENSTGUP00000008899
ENSP00000378324	ENSTGUP00000003402
ENSP00000414398	ENSTGUP00000006993
ENSP00000347055	ENSTGUP00000001979
ENSP00000379210	ENSTGUP00000000210
ENSP00000229824	ENSTGUP00000017749
ENSP00000365630	ENSTGUP00000003320
ENSP00000379601	ENSTGUP00000006703
ENSP00000329647	ENSTGUP00000017924
ENSP00000330247	ENSTGUP00000003515
ENSP00000406933	ENSTGUP00000006076
ENSP00000376615	ENSTGUP00000011559
ENSP00000261461	ENSTGUP00000003197
ENSP00000417963	ENSTGUP00000005123
ENSP00000296220	ENSTGUP00000004095
ENSP00000379804	ENSTGUP00000003775
ENSP00000378349	ENSTGUP00000003758
ENSP00000353094	ENSTGUP00000004184
ENSP00000320893	ENSTGUP00000003641
ENSP00000328327	ENSTGUP00000009111
ENSP00000356790	ENSTGUP00000013829
ENSP00000473410	ENSTGUP00000010235
ENSP00000381476	ENSTGUP00000003491
ENSP00000396538	ENSTGUP00000008367
ENSP00000325748	ENSTGUP00000006292
ENSP00000361892	ENSTGUP00000005243
ENSP00000344546	ENSTGUP00000011463
ENSP00000320485	ENSTGUP00000001022
ENSP00000343126	ENSTGUP00000004138
ENSP00000368189	ENSTGUP00000001800
ENSP00000379891	ENSTGUP00000008143
ENSP00000352167	ENSTGUP00000013134
ENSP00000413049	ENSTGUP00000001280
ENSP00000326305	ENSTGUP00000009392
ENSP00000397563	ENSTGUP00000003813
ENSP00000257177	ENSTGUP00000009322
ENSP00000365130	ENSTGUP00000000638
ENSP00000263063	ENSTGUP00000001078
ENSP00000373420	ENSTGUP00000003805
ENSP00000325594	ENSTGUP00000001137
ENSP00000337732	ENSTGUP00000017246
ENSP00000274473	ENSTGUP00000006709
ENSP00000266214	ENSTGUP00000010923
ENSP00000259021	ENSTGUP00000001933
ENSP00000287239	ENSTGUP00000006836
ENSP00000380136	ENSTGUP00000005580
ENSP00000316948	ENSTGUP00000001189
ENSP00000337194	ENSTGUP00000002295
ENSP00000379602	ENSTGUP00000013733
ENSP00000264245	ENSTGUP00000013795
ENSP00000310561	ENSTGUP00000000592
ENSP00000410561	ENSTGUP00000008403
ENSP00000272433	ENSTGUP00000015811
ENSP00000347924	ENSTGUP00000011455
ENSP00000316905	ENSTGUP00000000350
ENSP00000224807	ENSTGUP00000010374
ENSP00000266771	ENSTGUP00000004992
ENSP00000340402	ENSTGUP00000012752
ENSP00000365686	ENSTGUP00000011386
ENSP00000264025	ENSTGUP00000000411
ENSP00000359000	ENSTGUP00000007694
ENSP00000020673	ENSTGUP00000007820
ENSP00000417706	ENSTGUP00000009536
ENSP00000292782	ENSTGUP00000010849
ENSP00000319482	ENSTGUP00000009494
ENSP00000334625	ENSTGUP00000008190
ENSP00000298139	ENSTGUP00000001824
ENSP00000317636	ENSTGUP00000008731
ENSP00000269228	ENSTGUP00000010802
ENSP00000265565	ENSTGUP00000015194
ENSP00000332353	ENSTGUP00000000560
ENSP00000361266	ENSTGUP00000007994
ENSP00000396722	ENSTGUP00000000712
ENSP00000330862	ENSTGUP00000000702
ENSP00000350364	ENSTGUP00000010703
ENSP00000264668	ENSTGUP00000007952
ENSP00000337459	ENSTGUP00000010731
ENSP00000419970	ENSTGUP00000004821
ENSP00000283122	ENSTGUP00000000696
ENSP00000319052	ENSTGUP00000005644
ENSP00000355480	ENSTGUP00000008622
ENSP00000387536	ENSTGUP00000007416
ENSP00000282077	ENSTGUP00000008792
ENSP00000005178	ENSTGUP00000001637
ENSP00000333633	ENSTGUP00000017492
ENSP00000349076	ENSTGUP00000013684
ENSP00000417654	ENSTGUP00000013822
ENSP00000320566	ENSTGUP00000004796
ENSP00000322142	ENSTGUP00000006097
ENSP00000380024	ENSTGUP00000013715
ENSP00000364929	ENSTGUP00000009109
ENSP00000307183	ENSTGUP00000006752
ENSP00000377265	ENSTGUP00000013659
ENSP00000362332	ENSTGUP00000001729
ENSP00000201031	ENSTGUP00000008641
ENSP00000008391	ENSTGUP00000013657
ENSP00000406482	ENSTGUP00000002478
ENSP00000316881	ENSTGUP00000009658
ENSP00000323696	ENSTGUP00000001820
ENSP00000347649	ENSTGUP00000002495
ENSP00000236040	ENSTGUP00000017533
ENSP00000340507	ENSTGUP00000012648
ENSP00000351250	ENSTGUP00000001056
ENSP00000419185	ENSTGUP00000017782
ENSP00000302630	ENSTGUP00000006820
ENSP00000371786	ENSTGUP00000000215
ENSP00000261726	ENSTGUP00000006661
ENSP00000396935	ENSTGUP00000012645
ENSP00000417003	ENSTGUP00000010389
ENSP00000304277	ENSTGUP00000011776
ENSP00000305852	ENSTGUP00000011771
ENSP00000373272	ENSTGUP00000003891
ENSP00000256649	ENSTGUP00000013758
ENSP00000381340	ENSTGUP00000010432
ENSP00000323714	ENSTGUP00000000519
ENSP00000393324	ENSTGUP00000010238
ENSP00000239938	ENSTGUP00000000002
ENSP00000331327	ENSTGUP00000005046
ENSP00000374205	ENSTGUP00000006891
ENSP00000409738	ENSTGUP00000005433
ENSP00000321951	ENSTGUP00000004276
ENSP00000314380	ENSTGUP00000016586
ENSP00000437402	ENSTGUP00000013686
ENSP00000387194	ENSTGUP00000011384
ENSP00000227348	ENSTGUP00000000491
ENSP00000475496	ENSTGUP00000003997
ENSP00000268099	ENSTGUP00000004067
ENSP00000307275	ENSTGUP00000016945
ENSP00000355387	ENSTGUP00000004000
ENSP00000316007	ENSTGUP00000000277
ENSP00000419101	ENSTGUP00000007209
ENSP00000302177	ENSTGUP00000013391
ENSP00000324944	ENSTGUP00000006497
ENSP00000245615	ENSTGUP00000014977
ENSP00000261407	ENSTGUP00000013662
ENSP00000406052	ENSTGUP00000017665
ENSP00000346065	ENSTGUP00000013625
ENSP00000384376	ENSTGUP00000013565
ENSP00000414624	ENSTGUP00000008232
ENSP00000325674	ENSTGUP00000005563
ENSP00000369409	ENSTGUP00000013214
ENSP00000284073	ENSTGUP00000008709
ENSP00000257552	ENSTGUP00000009824
ENSP00000229340	ENSTGUP00000009649
ENSP00000257017	ENSTGUP00000005378
ENSP00000306496	ENSTGUP00000002506
ENSP00000358644	ENSTGUP00000017809
ENSP00000393987	ENSTGUP00000006422
ENSP00000383933	ENSTGUP00000003932
ENSP00000295569	ENSTGUP00000009978
ENSP00000418575	ENSTGUP00000009975
ENSP00000369677	ENSTGUP00000015343
ENSP00000318234	ENSTGUP00000004486
ENSP00000254528	ENSTGUP00000010406
ENSP00000332806	ENSTGUP00000005017
ENSP00000325355	ENSTGUP00000008834
ENSP00000345436	ENSTGUP00000006485
ENSP00000396421	ENSTGUP00000014021
ENSP00000274289	ENSTGUP00000002695
ENSP00000361275	ENSTGUP00000007964
ENSP00000253159	ENSTGUP00000009377
ENSP00000441823	ENSTGUP00000006722
ENSP00000251020	ENSTGUP00000007732
ENSP00000259708	ENSTGUP00000004961
ENSP00000320543	ENSTGUP00000007240
ENSP00000344208	ENSTGUP00000000111
ENSP00000410403	ENSTGUP00000006328
ENSP00000465419	ENSTGUP00000000155
ENSP00000281537	ENSTGUP00000005853
ENSP00000355938	ENSTGUP00000003117
ENSP00000320234	ENSTGUP00000000134
ENSP00000364220	ENSTGUP00000017385
ENSP00000300055	ENSTGUP00000008352
ENSP00000405514	ENSTGUP00000001624
ENSP00000226574	ENSTGUP00000003727
ENSP00000358983	ENSTGUP00000007782
ENSP00000221452	ENSTGUP00000017025
ENSP00000295025	ENSTGUP00000006943
ENSP00000329468	ENSTGUP00000005080
ENSP00000353078	ENSTGUP00000011199
ENSP00000380505	ENSTGUP00000012432
ENSP00000338348	ENSTGUP00000006208
ENSP00000341346	ENSTGUP00000009294
ENSP00000207457	ENSTGUP00000001676
ENSP00000379263	ENSTGUP00000005206
ENSP00000259339	ENSTGUP00000004580
ENSP00000345719	ENSTGUP00000004604
ENSP00000356599	ENSTGUP00000017673
ENSP00000350102	ENSTGUP00000002844
ENSP00000078445	ENSTGUP00000001015
ENSP00000342136	ENSTGUP00000001908
ENSP00000329140	ENSTGUP00000011945
ENSP00000434939	ENSTGUP00000011005
ENSP00000411145	ENSTGUP00000004619
ENSP00000283268	ENSTGUP00000009631
ENSP00000359357	ENSTGUP00000006235
ENSP00000346240	ENSTGUP00000002392
ENSP00000337701	ENSTGUP00000010105
ENSP00000370430	ENSTGUP00000008813
ENSP00000356015	ENSTGUP00000011754
ENSP00000361769	ENSTGUP00000017612
ENSP00000439287	ENSTGUP00000005331
ENSP00000384892	ENSTGUP00000012537
ENSP00000428417	ENSTGUP00000013080
ENSP00000323313	ENSTGUP00000004485
ENSP00000264065	ENSTGUP00000009895
ENSP00000381104	ENSTGUP00000006731
ENSP00000365567	ENSTGUP00000011293
ENSP00000216605	ENSTGUP00000013322
ENSP00000265686	ENSTGUP00000007648
ENSP00000332247	ENSTGUP00000005390
ENSP00000264649	ENSTGUP00000002751
ENSP00000336740	ENSTGUP00000003521
ENSP00000338127	ENSTGUP00000001871
ENSP00000361158	ENSTGUP00000008182
ENSP00000421981	ENSTGUP00000001566
ENSP00000290649	ENSTGUP00000006838
ENSP00000430955	ENSTGUP00000000600
ENSP00000304051	ENSTGUP00000012839
ENSP00000366395	ENSTGUP00000016167
ENSP00000247461	ENSTGUP00000001099
ENSP00000320866	ENSTGUP00000015340
ENSP00000370571	ENSTGUP00000009606
ENSP00000261854	ENSTGUP00000007654
ENSP00000288680	ENSTGUP00000009962
ENSP00000229335	ENSTGUP00000013507
ENSP00000244669	ENSTGUP00000017867
ENSP00000278060	ENSTGUP00000004994
ENSP00000297792	ENSTGUP00000006430
ENSP00000383042	ENSTGUP00000001487
ENSP00000269397	ENSTGUP00000003246
ENSP00000269385	ENSTGUP00000003250
ENSP00000308750	ENSTGUP00000003255
ENSP00000297565	ENSTGUP00000012389
ENSP00000227524	ENSTGUP00000006509
ENSP00000363313	ENSTGUP00000002707
ENSP00000430432	ENSTGUP00000012328
ENSP00000359128	ENSTGUP00000010267
ENSP00000361110	ENSTGUP00000005586
