ENSMODP00000016222	ENSGALP00000006197
ENSMODP00000039684	ENSGALP00000043195
ENSMODP00000016658	ENSGALP00000037396
ENSMODP00000005597	ENSGALP00000001500
ENSMODP00000024177	ENSGALP00000009678
ENSMODP00000006059	ENSGALP00000014673
ENSMODP00000032132	ENSGALP00000019114
ENSMODP00000022238	ENSGALP00000024076
ENSMODP00000013827	ENSGALP00000013447
ENSMODP00000013818	ENSGALP00000013448
ENSMODP00000013808	ENSGALP00000013450
ENSMODP00000022239	ENSGALP00000024082
ENSMODP00000023168	ENSGALP00000019723
ENSMODP00000016086	ENSGALP00000011296
ENSMODP00000025150	ENSGALP00000023592
ENSMODP00000000370	ENSGALP00000014112
ENSMODP00000018131	ENSGALP00000041748
ENSMODP00000005345	ENSGALP00000010121
ENSMODP00000012520	ENSGALP00000006947
ENSMODP00000012871	ENSGALP00000017274
ENSMODP00000017612	ENSGALP00000010722
ENSMODP00000012865	ENSGALP00000041770
ENSMODP00000014616	ENSGALP00000005190
ENSMODP00000013397	ENSGALP00000033380
ENSMODP00000015857	ENSGALP00000011904
ENSMODP00000020847	ENSGALP00000000058
ENSMODP00000004951	ENSGALP00000014581
ENSMODP00000031789	ENSGALP00000018258
ENSMODP00000035173	ENSGALP00000015125
ENSMODP00000033636	ENSGALP00000042267
ENSMODP00000028502	ENSGALP00000014259
ENSMODP00000017863	ENSGALP00000026355
ENSMODP00000023326	ENSGALP00000026192
ENSMODP00000001162	ENSGALP00000026072
ENSMODP00000007984	ENSGALP00000018821
ENSMODP00000013862	ENSGALP00000010760
ENSMODP00000023828	ENSGALP00000018856
ENSMODP00000005633	ENSGALP00000016984
ENSMODP00000002353	ENSGALP00000041658
ENSMODP00000015862	ENSGALP00000011895
ENSMODP00000020662	ENSGALP00000037169
ENSMODP00000001296	ENSGALP00000042394
ENSMODP00000018114	ENSGALP00000012308
ENSMODP00000003778	ENSGALP00000032209
ENSMODP00000016652	ENSGALP00000011089
ENSMODP00000023397	ENSGALP00000042413
ENSMODP00000003368	ENSGALP00000007956
ENSMODP00000023888	ENSGALP00000041485
ENSMODP00000000346	ENSGALP00000041496
ENSMODP00000034629	ENSGALP00000013164
ENSMODP00000003237	ENSGALP00000027805
ENSMODP00000004030	ENSGALP00000027801
ENSMODP00000019186	ENSGALP00000014237
ENSMODP00000019192	ENSGALP00000030077
ENSMODP00000015197	ENSGALP00000003336
ENSMODP00000015236	ENSGALP00000040977
ENSMODP00000019764	ENSGALP00000015293
ENSMODP00000005729	ENSGALP00000013575
ENSMODP00000003767	ENSGALP00000011851
ENSMODP00000011064	ENSGALP00000015542
ENSMODP00000031267	ENSGALP00000042747
ENSMODP00000001454	ENSGALP00000026153
ENSMODP00000024509	ENSGALP00000010290
ENSMODP00000010755	ENSGALP00000028023
ENSMODP00000010746	ENSGALP00000036578
ENSMODP00000000909	ENSGALP00000043451
ENSMODP00000010740	ENSGALP00000036574
ENSMODP00000019865	ENSGALP00000014354
ENSMODP00000000908	ENSGALP00000017249
ENSMODP00000024234	ENSGALP00000025071
ENSMODP00000016933	ENSGALP00000018782
ENSMODP00000035258	ENSGALP00000025254
ENSMODP00000005846	ENSGALP00000043236
ENSMODP00000000835	ENSGALP00000040460
ENSMODP00000014562	ENSGALP00000006001
ENSMODP00000021392	ENSGALP00000038910
ENSMODP00000001044	ENSGALP00000002804
ENSMODP00000016401	ENSGALP00000020137
ENSMODP00000002302	ENSGALP00000024720
ENSMODP00000023618	ENSGALP00000016518
ENSMODP00000017858	ENSGALP00000026350
ENSMODP00000012397	ENSGALP00000024556
ENSMODP00000003704	ENSGALP00000040830
ENSMODP00000003835	ENSGALP00000043176
ENSMODP00000002775	ENSGALP00000026399
ENSMODP00000022195	ENSGALP00000023990
ENSMODP00000021585	ENSGALP00000040961
ENSMODP00000017428	ENSGALP00000001914
ENSMODP00000026323	ENSGALP00000025760
ENSMODP00000007727	ENSGALP00000007523
ENSMODP00000006815	ENSGALP00000025221
ENSMODP00000007822	ENSGALP00000003035
ENSMODP00000033334	ENSGALP00000043302
ENSMODP00000007124	ENSGALP00000037618
ENSMODP00000019317	ENSGALP00000017259
ENSMODP00000026127	ENSGALP00000042449
ENSMODP00000035640	ENSGALP00000013380
ENSMODP00000006054	ENSGALP00000040755
ENSMODP00000007035	ENSGALP00000024701
ENSMODP00000008417	ENSGALP00000010493
ENSMODP00000015774	ENSGALP00000039384
ENSMODP00000011325	ENSGALP00000041259
ENSMODP00000002001	ENSGALP00000027876
ENSMODP00000013128	ENSGALP00000002287
ENSMODP00000026470	ENSGALP00000001583
ENSMODP00000019748	ENSGALP00000016838
ENSMODP00000016685	ENSGALP00000016475
ENSMODP00000021636	ENSGALP00000039646
ENSMODP00000001690	ENSGALP00000002721
ENSMODP00000019237	ENSGALP00000016529
ENSMODP00000022209	ENSGALP00000024015
ENSMODP00000038261	ENSGALP00000029600
ENSMODP00000023864	ENSGALP00000039846
ENSMODP00000024626	ENSGALP00000007049
ENSMODP00000039119	ENSGALP00000027473
ENSMODP00000017180	ENSGALP00000001317
ENSMODP00000014063	ENSGALP00000007183
ENSMODP00000010191	ENSGALP00000005438
ENSMODP00000017347	ENSGALP00000008707
ENSMODP00000020407	ENSGALP00000013692
ENSMODP00000026357	ENSGALP00000026019
ENSMODP00000015151	ENSGALP00000006744
ENSMODP00000014773	ENSGALP00000008107
ENSMODP00000004906	ENSGALP00000012178
ENSMODP00000008455	ENSGALP00000010477
ENSMODP00000022788	ENSGALP00000025385
ENSMODP00000017746	ENSGALP00000026323
ENSMODP00000031852	ENSGALP00000039879
ENSMODP00000020177	ENSGALP00000002718
ENSMODP00000015849	ENSGALP00000011876
ENSMODP00000008459	ENSGALP00000001704
ENSMODP00000018579	ENSGALP00000024312
ENSMODP00000040020	ENSGALP00000007174
ENSMODP00000016929	ENSGALP00000011976
ENSMODP00000006206	ENSGALP00000042850
ENSMODP00000016948	ENSGALP00000033652
ENSMODP00000016950	ENSGALP00000011971
ENSMODP00000016932	ENSGALP00000033649
ENSMODP00000025635	ENSGALP00000017858
ENSMODP00000025666	ENSGALP00000018235
ENSMODP00000012544	ENSGALP00000021103
ENSMODP00000009215	ENSGALP00000027206
ENSMODP00000005689	ENSGALP00000008699
ENSMODP00000023558	ENSGALP00000026929
ENSMODP00000020264	ENSGALP00000006738
ENSMODP00000010276	ENSGALP00000024953
ENSMODP00000024418	ENSGALP00000041666
ENSMODP00000022105	ENSGALP00000023925
ENSMODP00000010406	ENSGALP00000024913
ENSMODP00000014796	ENSGALP00000003973
ENSMODP00000037021	ENSGALP00000039901
ENSMODP00000002608	ENSGALP00000026568
ENSMODP00000018917	ENSGALP00000004444
ENSMODP00000010074	ENSGALP00000021570
ENSMODP00000023816	ENSGALP00000018510
ENSMODP00000007213	ENSGALP00000006916
ENSMODP00000015433	ENSGALP00000036151
ENSMODP00000020393	ENSGALP00000040814
ENSMODP00000036263	ENSGALP00000040622
ENSMODP00000005946	ENSGALP00000008931
ENSMODP00000014631	ENSGALP00000038523
ENSMODP00000017783	ENSGALP00000026331
ENSMODP00000029570	ENSGALP00000003970
ENSMODP00000035344	ENSGALP00000023839
ENSMODP00000001726	ENSGALP00000001565
ENSMODP00000004225	ENSGALP00000043429
ENSMODP00000017558	ENSGALP00000040906
ENSMODP00000011019	ENSGALP00000015519
ENSMODP00000010206	ENSGALP00000001713
ENSMODP00000012713	ENSGALP00000000626
ENSMODP00000006389	ENSGALP00000032471
ENSMODP00000006313	ENSGALP00000018165
ENSMODP00000007629	ENSGALP00000006610
ENSMODP00000012781	ENSGALP00000027477
ENSMODP00000024518	ENSGALP00000034251
ENSMODP00000037511	ENSGALP00000002224
ENSMODP00000009598	ENSGALP00000003207
ENSMODP00000028169	ENSGALP00000041121
ENSMODP00000014248	ENSGALP00000042973
ENSMODP00000023356	ENSGALP00000020036
ENSMODP00000003753	ENSGALP00000011799
ENSMODP00000011237	ENSGALP00000006645
ENSMODP00000034145	ENSGALP00000021021
ENSMODP00000034463	ENSGALP00000014400
ENSMODP00000029074	ENSGALP00000007061
ENSMODP00000028794	ENSGALP00000034297
ENSMODP00000020748	ENSGALP00000009628
ENSMODP00000010196	ENSGALP00000020540
ENSMODP00000024458	ENSGALP00000011010
ENSMODP00000024853	ENSGALP00000039900
ENSMODP00000028979	ENSGALP00000026608
ENSMODP00000007870	ENSGALP00000007476
ENSMODP00000015585	ENSGALP00000006816
ENSMODP00000007927	ENSGALP00000010237
ENSMODP00000000814	ENSGALP00000015662
ENSMODP00000007157	ENSGALP00000018239
ENSMODP00000004469	ENSGALP00000005183
ENSMODP00000024590	ENSGALP00000023854
ENSMODP00000000505	ENSGALP00000042279
ENSMODP00000004192	ENSGALP00000043296
ENSMODP00000004169	ENSGALP00000016504
ENSMODP00000028503	ENSGALP00000002940
ENSMODP00000025233	ENSGALP00000017594
ENSMODP00000031563	ENSGALP00000042395
ENSMODP00000028859	ENSGALP00000003605
ENSMODP00000019532	ENSGALP00000004272
ENSMODP00000018295	ENSGALP00000004365
ENSMODP00000018283	ENSGALP00000004366
ENSMODP00000035883	ENSGALP00000000423
ENSMODP00000011235	ENSGALP00000006426
ENSMODP00000019655	ENSGALP00000014860
ENSMODP00000001450	ENSGALP00000041570
ENSMODP00000023063	ENSGALP00000025581
ENSMODP00000037216	ENSGALP00000024602
ENSMODP00000020163	ENSGALP00000041590
ENSMODP00000022916	ENSGALP00000019663
ENSMODP00000013652	ENSGALP00000034083
ENSMODP00000037031	ENSGALP00000025200
ENSMODP00000004914	ENSGALP00000008787
ENSMODP00000008363	ENSGALP00000010774
ENSMODP00000023740	ENSGALP00000041595
ENSMODP00000029161	ENSGALP00000033543
ENSMODP00000019802	ENSGALP00000038111
ENSMODP00000013887	ENSGALP00000027991
ENSMODP00000004893	ENSGALP00000033249
ENSMODP00000035754	ENSGALP00000000223
ENSMODP00000024714	ENSGALP00000006462
ENSMODP00000020099	ENSGALP00000015273
ENSMODP00000040556	ENSGALP00000003483
ENSMODP00000022442	ENSGALP00000023027
ENSMODP00000001816	ENSGALP00000040351
ENSMODP00000004958	ENSGALP00000043336
ENSMODP00000018134	ENSGALP00000042407
ENSMODP00000024244	ENSGALP00000013449
ENSMODP00000006025	ENSGALP00000009483
ENSMODP00000003796	ENSGALP00000037994
ENSMODP00000020994	ENSGALP00000041928
ENSMODP00000011509	ENSGALP00000027543
ENSMODP00000004108	ENSGALP00000002864
ENSMODP00000006215	ENSGALP00000024461
ENSMODP00000016598	ENSGALP00000037103
ENSMODP00000015178	ENSGALP00000027996
ENSMODP00000011747	ENSGALP00000025409
ENSMODP00000021456	ENSGALP00000004574
ENSMODP00000022547	ENSGALP00000024889
ENSMODP00000025985	ENSGALP00000018252
ENSMODP00000035244	ENSGALP00000025261
ENSMODP00000037000	ENSGALP00000024026
ENSMODP00000015462	ENSGALP00000038592
ENSMODP00000028490	ENSGALP00000001365
ENSMODP00000035353	ENSGALP00000010316
ENSMODP00000014112	ENSGALP00000038766
ENSMODP00000010677	ENSGALP00000012240
ENSMODP00000007192	ENSGALP00000032500
ENSMODP00000011498	ENSGALP00000021356
ENSMODP00000033084	ENSGALP00000043046
ENSMODP00000012043	ENSGALP00000027517
ENSMODP00000025712	ENSGALP00000023080
ENSMODP00000036164	ENSGALP00000020127
ENSMODP00000008837	ENSGALP00000043303
ENSMODP00000035049	ENSGALP00000006759
ENSMODP00000013890	ENSGALP00000013398
ENSMODP00000023997	ENSGALP00000009076
ENSMODP00000019174	ENSGALP00000013225
ENSMODP00000006105	ENSGALP00000020504
ENSMODP00000011310	ENSGALP00000018059
ENSMODP00000012182	ENSGALP00000042157
ENSMODP00000005837	ENSGALP00000040665
ENSMODP00000005759	ENSGALP00000041481
ENSMODP00000038432	ENSGALP00000022304
ENSMODP00000020495	ENSGALP00000012613
ENSMODP00000016953	ENSGALP00000001743
ENSMODP00000007186	ENSGALP00000027184
ENSMODP00000025808	ENSGALP00000022799
ENSMODP00000014214	ENSGALP00000015323
ENSMODP00000011506	ENSGALP00000038332
ENSMODP00000019642	ENSGALP00000030103
ENSMODP00000013017	ENSGALP00000014475
ENSMODP00000034038	ENSGALP00000020966
ENSMODP00000021687	ENSGALP00000018849
ENSMODP00000024630	ENSGALP00000001800
ENSMODP00000007786	ENSGALP00000007477
ENSMODP00000037316	ENSGALP00000018083
ENSMODP00000009993	ENSGALP00000009349
ENSMODP00000035575	ENSGALP00000015531
ENSMODP00000037551	ENSGALP00000027001
ENSMODP00000004628	ENSGALP00000009513
ENSMODP00000038315	ENSGALP00000015965
ENSMODP00000025647	ENSGALP00000042648
ENSMODP00000004183	ENSGALP00000017612
ENSMODP00000037028	ENSGALP00000017617
ENSMODP00000025394	ENSGALP00000023901
ENSMODP00000034209	ENSGALP00000013735
ENSMODP00000000451	ENSGALP00000039792
ENSMODP00000026551	ENSGALP00000042131
ENSMODP00000025104	ENSGALP00000012145
ENSMODP00000010843	ENSGALP00000024866
ENSMODP00000003741	ENSGALP00000033981
ENSMODP00000016415	ENSGALP00000005919
ENSMODP00000022651	ENSGALP00000024366
ENSMODP00000001221	ENSGALP00000013389
ENSMODP00000002321	ENSGALP00000003108
ENSMODP00000017940	ENSGALP00000041758
ENSMODP00000015526	ENSGALP00000005918
ENSMODP00000023572	ENSGALP00000026916
ENSMODP00000010212	ENSGALP00000024965
ENSMODP00000011028	ENSGALP00000024844
ENSMODP00000010574	ENSGALP00000036419
ENSMODP00000009583	ENSGALP00000040927
ENSMODP00000026216	ENSGALP00000025962
ENSMODP00000017759	ENSGALP00000012668
ENSMODP00000020345	ENSGALP00000024856
ENSMODP00000005460	ENSGALP00000008990
ENSMODP00000033680	ENSGALP00000042108
ENSMODP00000038197	ENSGALP00000018540
ENSMODP00000011613	ENSGALP00000021333
ENSMODP00000016140	ENSGALP00000021927
ENSMODP00000009690	ENSGALP00000042828
ENSMODP00000018953	ENSGALP00000008742
ENSMODP00000006650	ENSGALP00000029846
ENSMODP00000007345	ENSGALP00000031700
ENSMODP00000001843	ENSGALP00000017812
ENSMODP00000000384	ENSGALP00000016052
ENSMODP00000025829	ENSGALP00000031452
ENSMODP00000014169	ENSGALP00000015855
ENSMODP00000013383	ENSGALP00000006706
ENSMODP00000013333	ENSGALP00000006708
ENSMODP00000006152	ENSGALP00000041197
ENSMODP00000020206	ENSGALP00000042434
ENSMODP00000024048	ENSGALP00000016919
ENSMODP00000018611	ENSGALP00000005562
ENSMODP00000009260	ENSGALP00000041062
ENSMODP00000021326	ENSGALP00000034548
ENSMODP00000020260	ENSGALP00000006699
ENSMODP00000022127	ENSGALP00000022517
ENSMODP00000024585	ENSGALP00000023842
ENSMODP00000032312	ENSGALP00000005320
ENSMODP00000024224	ENSGALP00000042744
ENSMODP00000002965	ENSGALP00000021227
ENSMODP00000002646	ENSGALP00000031642
ENSMODP00000037712	ENSGALP00000009416
ENSMODP00000004691	ENSGALP00000000835
ENSMODP00000022880	ENSGALP00000021851
ENSMODP00000022440	ENSGALP00000024641
ENSMODP00000021633	ENSGALP00000041822
ENSMODP00000012958	ENSGALP00000027470
ENSMODP00000006141	ENSGALP00000009065
ENSMODP00000012151	ENSGALP00000014081
ENSMODP00000018598	ENSGALP00000034070
ENSMODP00000038229	ENSGALP00000020470
ENSMODP00000013223	ENSGALP00000034313
ENSMODP00000011589	ENSGALP00000012522
ENSMODP00000022092	ENSGALP00000002266
ENSMODP00000018288	ENSGALP00000008101
ENSMODP00000020371	ENSGALP00000015507
ENSMODP00000019866	ENSGALP00000010092
ENSMODP00000024020	ENSGALP00000018364
ENSMODP00000005441	ENSGALP00000008859
ENSMODP00000027864	ENSGALP00000011107
ENSMODP00000035953	ENSGALP00000002102
ENSMODP00000004283	ENSGALP00000009912
ENSMODP00000009105	ENSGALP00000012993
ENSMODP00000001146	ENSGALP00000033231
ENSMODP00000036832	ENSGALP00000019667
ENSMODP00000003094	ENSGALP00000027070
ENSMODP00000014640	ENSGALP00000005132
ENSMODP00000016074	ENSGALP00000006532
ENSMODP00000016641	ENSGALP00000010583
ENSMODP00000019725	ENSGALP00000004578
ENSMODP00000013632	ENSGALP00000000815
ENSMODP00000017432	ENSGALP00000043277
ENSMODP00000016921	ENSGALP00000034605
ENSMODP00000011273	ENSGALP00000020510
ENSMODP00000009936	ENSGALP00000007047
ENSMODP00000004115	ENSGALP00000014260
ENSMODP00000032087	ENSGALP00000002190
ENSMODP00000027878	ENSGALP00000010991
ENSMODP00000013955	ENSGALP00000013294
ENSMODP00000014185	ENSGALP00000002380
ENSMODP00000002789	ENSGALP00000020754
ENSMODP00000022250	ENSGALP00000024086
ENSMODP00000003583	ENSGALP00000015963
ENSMODP00000011192	ENSGALP00000019298
ENSMODP00000016585	ENSGALP00000018352
ENSMODP00000023723	ENSGALP00000013883
ENSMODP00000001117	ENSGALP00000017157
ENSMODP00000022920	ENSGALP00000019672
ENSMODP00000025602	ENSGALP00000016641
ENSMODP00000033234	ENSGALP00000010319
ENSMODP00000015131	ENSGALP00000004476
ENSMODP00000012030	ENSGALP00000039313
ENSMODP00000020543	ENSGALP00000002903
ENSMODP00000014545	ENSGALP00000013470
ENSMODP00000005518	ENSGALP00000027832
ENSMODP00000015214	ENSGALP00000011511
ENSMODP00000012900	ENSGALP00000038293
ENSMODP00000037115	ENSGALP00000027108
ENSMODP00000003619	ENSGALP00000024537
ENSMODP00000038324	ENSGALP00000008508
ENSMODP00000003336	ENSGALP00000000945
ENSMODP00000020450	ENSGALP00000012917
ENSMODP00000006508	ENSGALP00000005357
ENSMODP00000010412	ENSGALP00000027233
ENSMODP00000019135	ENSGALP00000009728
ENSMODP00000020242	ENSGALP00000006511
ENSMODP00000010042	ENSGALP00000022208
ENSMODP00000011835	ENSGALP00000002095
ENSMODP00000040608	ENSGALP00000009365
ENSMODP00000007047	ENSGALP00000041111
ENSMODP00000011322	ENSGALP00000000595
