ENSTGUP00000008915	ENSDARP00000074624
ENSTGUP00000000930	ENSDARP00000100111
ENSTGUP00000013468	ENSDARP00000121362
ENSTGUP00000012077	ENSDARP00000056678
ENSTGUP00000005575	ENSDARP00000011396
ENSTGUP00000007749	ENSDARP00000047840
ENSTGUP00000007749	ENSDARP00000060945
ENSTGUP00000007512	ENSDARP00000111457
ENSTGUP00000008852	ENSDARP00000013157
ENSTGUP00000015232	ENSDARP00000052440
ENSTGUP00000006775	ENSDARP00000107947
ENSTGUP00000006775	ENSDARP00000053660
ENSTGUP00000000722	ENSDARP00000069080
ENSTGUP00000000421	ENSDARP00000017762
ENSTGUP00000016110	ENSDARP00000003829
ENSTGUP00000005741	ENSDARP00000036828
ENSTGUP00000005741	ENSDARP00000082250
ENSTGUP00000015454	ENSDARP00000097745
ENSTGUP00000004581	ENSDARP00000123474
ENSTGUP00000007902	ENSDARP00000049623
ENSTGUP00000000228	ENSDARP00000105575
ENSTGUP00000002076	ENSDARP00000055224
ENSTGUP00000000954	ENSDARP00000052060
ENSTGUP00000005006	ENSDARP00000129116
ENSTGUP00000004870	ENSDARP00000113959
ENSTGUP00000004870	ENSDARP00000074144
ENSTGUP00000013118	ENSDARP00000104791
ENSTGUP00000007385	ENSDARP00000079585
ENSTGUP00000012794	ENSDARP00000127915
ENSTGUP00000011586	ENSDARP00000108980
ENSTGUP00000005627	ENSDARP00000019171
ENSTGUP00000005627	ENSDARP00000098897
ENSTGUP00000003067	ENSDARP00000039553
ENSTGUP00000011582	ENSDARP00000052983
ENSTGUP00000005646	ENSDARP00000106138
ENSTGUP00000017234	ENSDARP00000097421
ENSTGUP00000010021	ENSDARP00000063051
ENSTGUP00000008703	ENSDARP00000081844
ENSTGUP00000000869	ENSDARP00000115372
ENSTGUP00000004236	ENSDARP00000115965
ENSTGUP00000002050	ENSDARP00000112407
ENSTGUP00000001084	ENSDARP00000013006
ENSTGUP00000017815	ENSDARP00000064825
ENSTGUP00000004062	ENSDARP00000040837
ENSTGUP00000004566	ENSDARP00000042673
ENSTGUP00000010614	ENSDARP00000127476
ENSTGUP00000004826	ENSDARP00000015394
ENSTGUP00000011805	ENSDARP00000110909
ENSTGUP00000009073	ENSDARP00000012147
ENSTGUP00000006886	ENSDARP00000104859
ENSTGUP00000000719	ENSDARP00000053426
ENSTGUP00000010484	ENSDARP00000075572
ENSTGUP00000001484	ENSDARP00000091375
ENSTGUP00000017785	ENSDARP00000002635
ENSTGUP00000008916	ENSDARP00000093844
ENSTGUP00000008359	ENSDARP00000073523
ENSTGUP00000003284	ENSDARP00000030625
ENSTGUP00000005747	ENSDARP00000014061
ENSTGUP00000005747	ENSDARP00000054692
ENSTGUP00000008668	ENSDARP00000084007
ENSTGUP00000001739	ENSDARP00000124333
ENSTGUP00000001739	ENSDARP00000099556
ENSTGUP00000011408	ENSDARP00000118167
ENSTGUP00000011408	ENSDARP00000129724
ENSTGUP00000013534	ENSDARP00000091436
ENSTGUP00000004152	ENSDARP00000109870
ENSTGUP00000003338	ENSDARP00000110473
ENSTGUP00000001990	ENSDARP00000070686
ENSTGUP00000013056	ENSDARP00000092253
ENSTGUP00000004793	ENSDARP00000055491
ENSTGUP00000016062	ENSDARP00000052637
ENSTGUP00000000367	ENSDARP00000106457
ENSTGUP00000003797	ENSDARP00000012791
ENSTGUP00000004020	ENSDARP00000111869
ENSTGUP00000015654	ENSDARP00000053775
ENSTGUP00000009469	ENSDARP00000106564
ENSTGUP00000002508	ENSDARP00000066366
ENSTGUP00000002508	ENSDARP00000095220
ENSTGUP00000010870	ENSDARP00000099181
ENSTGUP00000010505	ENSDARP00000101400
ENSTGUP00000007392	ENSDARP00000027644
ENSTGUP00000007382	ENSDARP00000019674
ENSTGUP00000007382	ENSDARP00000056452
ENSTGUP00000005260	ENSDARP00000068816
ENSTGUP00000005260	ENSDARP00000019643
ENSTGUP00000010013	ENSDARP00000122397
ENSTGUP00000010013	ENSDARP00000129467
ENSTGUP00000003654	ENSDARP00000053606
ENSTGUP00000007258	ENSDARP00000057298
ENSTGUP00000007258	ENSDARP00000063586
ENSTGUP00000003652	ENSDARP00000064460
ENSTGUP00000007261	ENSDARP00000116789
ENSTGUP00000003258	ENSDARP00000022487
ENSTGUP00000002891	ENSDARP00000052075
ENSTGUP00000015287	ENSDARP00000050473
ENSTGUP00000007581	ENSDARP00000025373
ENSTGUP00000002648	ENSDARP00000046044
ENSTGUP00000001638	ENSDARP00000063985
ENSTGUP00000002188	ENSDARP00000058305
ENSTGUP00000002188	ENSDARP00000062984
ENSTGUP00000002190	ENSDARP00000117105
ENSTGUP00000008066	ENSDARP00000069251
ENSTGUP00000002551	ENSDARP00000109601
ENSTGUP00000010646	ENSDARP00000091774
ENSTGUP00000010646	ENSDARP00000104127
ENSTGUP00000012303	ENSDARP00000092792
ENSTGUP00000011871	ENSDARP00000010917
ENSTGUP00000000742	ENSDARP00000097628
ENSTGUP00000000742	ENSDARP00000080655
ENSTGUP00000006629	ENSDARP00000097784
ENSTGUP00000003796	ENSDARP00000020703
ENSTGUP00000006934	ENSDARP00000039916
ENSTGUP00000006934	ENSDARP00000109890
ENSTGUP00000011117	ENSDARP00000123999
ENSTGUP00000000374	ENSDARP00000107734
ENSTGUP00000011415	ENSDARP00000047652
ENSTGUP00000001560	ENSDARP00000081855
ENSTGUP00000009514	ENSDARP00000076606
ENSTGUP00000009514	ENSDARP00000025648
ENSTGUP00000002561	ENSDARP00000011426
ENSTGUP00000013124	ENSDARP00000109709
ENSTGUP00000013124	ENSDARP00000045814
ENSTGUP00000012102	ENSDARP00000060763
ENSTGUP00000013346	ENSDARP00000046463
ENSTGUP00000016403	ENSDARP00000105365
ENSTGUP00000017623	ENSDARP00000094247
ENSTGUP00000017623	ENSDARP00000069273
ENSTGUP00000013167	ENSDARP00000091908
ENSTGUP00000009670	ENSDARP00000014920
ENSTGUP00000009752	ENSDARP00000106281
ENSTGUP00000009752	ENSDARP00000108347
ENSTGUP00000000287	ENSDARP00000120338
ENSTGUP00000008638	ENSDARP00000064175
ENSTGUP00000008451	ENSDARP00000031665
ENSTGUP00000000354	ENSDARP00000050948
ENSTGUP00000004287	ENSDARP00000078459
ENSTGUP00000008720	ENSDARP00000106886
ENSTGUP00000007254	ENSDARP00000089497
ENSTGUP00000000599	ENSDARP00000117865
ENSTGUP00000009842	ENSDARP00000122069
ENSTGUP00000004395	ENSDARP00000068002
ENSTGUP00000014311	ENSDARP00000114765
ENSTGUP00000010722	ENSDARP00000128272
ENSTGUP00000006018	ENSDARP00000059513
ENSTGUP00000006018	ENSDARP00000067176
ENSTGUP00000013065	ENSDARP00000093008
ENSTGUP00000013065	ENSDARP00000079805
ENSTGUP00000009461	ENSDARP00000077949
ENSTGUP00000008600	ENSDARP00000026364
ENSTGUP00000003980	ENSDARP00000075251
ENSTGUP00000003980	ENSDARP00000071623
ENSTGUP00000013381	ENSDARP00000110487
ENSTGUP00000013381	ENSDARP00000030834
ENSTGUP00000017814	ENSDARP00000114103
ENSTGUP00000013262	ENSDARP00000069214
ENSTGUP00000001041	ENSDARP00000077905
ENSTGUP00000010929	ENSDARP00000034827
ENSTGUP00000002766	ENSDARP00000118891
ENSTGUP00000002766	ENSDARP00000103999
ENSTGUP00000013550	ENSDARP00000106287
ENSTGUP00000012344	ENSDARP00000015303
ENSTGUP00000012344	ENSDARP00000109941
ENSTGUP00000008206	ENSDARP00000089603
ENSTGUP00000013344	ENSDARP00000077021
ENSTGUP00000011271	ENSDARP00000083042
ENSTGUP00000003913	ENSDARP00000104940
ENSTGUP00000012263	ENSDARP00000061134
ENSTGUP00000002408	ENSDARP00000119520
ENSTGUP00000013640	ENSDARP00000030813
ENSTGUP00000004846	ENSDARP00000088399
ENSTGUP00000005066	ENSDARP00000014010
ENSTGUP00000017308	ENSDARP00000110320
ENSTGUP00000001303	ENSDARP00000040307
ENSTGUP00000000660	ENSDARP00000039821
ENSTGUP00000000660	ENSDARP00000011705
ENSTGUP00000008161	ENSDARP00000117905
ENSTGUP00000007176	ENSDARP00000006334
ENSTGUP00000007176	ENSDARP00000109638
ENSTGUP00000017739	ENSDARP00000114769
ENSTGUP00000008762	ENSDARP00000029675
ENSTGUP00000002152	ENSDARP00000066933
ENSTGUP00000010598	ENSDARP00000092355
ENSTGUP00000007549	ENSDARP00000098684
ENSTGUP00000001267	ENSDARP00000107621
ENSTGUP00000001271	ENSDARP00000111319
ENSTGUP00000008110	ENSDARP00000097773
ENSTGUP00000000391	ENSDARP00000108057
ENSTGUP00000011372	ENSDARP00000032295
ENSTGUP00000003950	ENSDARP00000126208
ENSTGUP00000008770	ENSDARP00000101821
ENSTGUP00000001715	ENSDARP00000066188
ENSTGUP00000001715	ENSDARP00000116649
ENSTGUP00000016151	ENSDARP00000111119
ENSTGUP00000007634	ENSDARP00000121795
ENSTGUP00000009034	ENSDARP00000068089
ENSTGUP00000005825	ENSDARP00000094167
ENSTGUP00000003563	ENSDARP00000024335
ENSTGUP00000003563	ENSDARP00000090686
ENSTGUP00000008691	ENSDARP00000097889
ENSTGUP00000008691	ENSDARP00000098001
ENSTGUP00000013311	ENSDARP00000124695
ENSTGUP00000003264	ENSDARP00000120365
ENSTGUP00000009628	ENSDARP00000082784
ENSTGUP00000004600	ENSDARP00000067629
ENSTGUP00000004600	ENSDARP00000085044
ENSTGUP00000007997	ENSDARP00000007836
ENSTGUP00000006527	ENSDARP00000018632
ENSTGUP00000006527	ENSDARP00000045932
ENSTGUP00000000237	ENSDARP00000095328
ENSTGUP00000000237	ENSDARP00000032601
ENSTGUP00000013904	ENSDARP00000092425
ENSTGUP00000017637	ENSDARP00000092068
ENSTGUP00000000233	ENSDARP00000084700
ENSTGUP00000000233	ENSDARP00000079303
ENSTGUP00000008091	ENSDARP00000051104
ENSTGUP00000008091	ENSDARP00000067260
ENSTGUP00000008275	ENSDARP00000128595
ENSTGUP00000011245	ENSDARP00000109667
ENSTGUP00000005413	ENSDARP00000094710
ENSTGUP00000011588	ENSDARP00000117556
ENSTGUP00000008513	ENSDARP00000095187
ENSTGUP00000008513	ENSDARP00000026805
ENSTGUP00000012176	ENSDARP00000069597
ENSTGUP00000015744	ENSDARP00000109180
ENSTGUP00000003599	ENSDARP00000093113
ENSTGUP00000015009	ENSDARP00000091828
ENSTGUP00000004590	ENSDARP00000057524
ENSTGUP00000017430	ENSDARP00000077702
ENSTGUP00000017430	ENSDARP00000080290
ENSTGUP00000013582	ENSDARP00000101110
ENSTGUP00000002938	ENSDARP00000073439
ENSTGUP00000009423	ENSDARP00000106240
ENSTGUP00000010729	ENSDARP00000118753
ENSTGUP00000004504	ENSDARP00000128562
ENSTGUP00000004504	ENSDARP00000126045
ENSTGUP00000006373	ENSDARP00000098491
ENSTGUP00000006373	ENSDARP00000055022
ENSTGUP00000004516	ENSDARP00000057324
ENSTGUP00000004516	ENSDARP00000099217
ENSTGUP00000004279	ENSDARP00000121065
ENSTGUP00000013320	ENSDARP00000076873
ENSTGUP00000001792	ENSDARP00000093925
ENSTGUP00000013464	ENSDARP00000066410
ENSTGUP00000005217	ENSDARP00000086549
ENSTGUP00000012701	ENSDARP00000003397
ENSTGUP00000012701	ENSDARP00000108198
ENSTGUP00000001687	ENSDARP00000093555
ENSTGUP00000005561	ENSDARP00000092351
ENSTGUP00000003162	ENSDARP00000102728
ENSTGUP00000006712	ENSDARP00000098758
ENSTGUP00000017666	ENSDARP00000119695
ENSTGUP00000006931	ENSDARP00000120230
ENSTGUP00000001831	ENSDARP00000064746
ENSTGUP00000004740	ENSDARP00000108993
ENSTGUP00000004803	ENSDARP00000018087
ENSTGUP00000004803	ENSDARP00000099244
ENSTGUP00000013116	ENSDARP00000064832
ENSTGUP00000010757	ENSDARP00000044859
ENSTGUP00000008481	ENSDARP00000118205
ENSTGUP00000011888	ENSDARP00000106725
ENSTGUP00000004522	ENSDARP00000047006
ENSTGUP00000005546	ENSDARP00000091933
ENSTGUP00000006158	ENSDARP00000070437
ENSTGUP00000009193	ENSDARP00000058513
ENSTGUP00000009193	ENSDARP00000098418
ENSTGUP00000007870	ENSDARP00000116922
ENSTGUP00000015337	ENSDARP00000094377
ENSTGUP00000008844	ENSDARP00000113955
ENSTGUP00000009196	ENSDARP00000059885
ENSTGUP00000009228	ENSDARP00000048506
ENSTGUP00000012466	ENSDARP00000013329
ENSTGUP00000012466	ENSDARP00000106067
ENSTGUP00000010031	ENSDARP00000102127
ENSTGUP00000014507	ENSDARP00000070464
ENSTGUP00000003709	ENSDARP00000093348
ENSTGUP00000003709	ENSDARP00000051004
ENSTGUP00000005681	ENSDARP00000108943
ENSTGUP00000005669	ENSDARP00000002460
ENSTGUP00000004672	ENSDARP00000055349
ENSTGUP00000003986	ENSDARP00000103082
ENSTGUP00000002936	ENSDARP00000073434
ENSTGUP00000005160	ENSDARP00000107971
ENSTGUP00000006525	ENSDARP00000108491
ENSTGUP00000017458	ENSDARP00000112846
ENSTGUP00000001355	ENSDARP00000048886
ENSTGUP00000001355	ENSDARP00000002532
ENSTGUP00000007730	ENSDARP00000014325
ENSTGUP00000016201	ENSDARP00000053403
ENSTGUP00000004958	ENSDARP00000091516
ENSTGUP00000017828	ENSDARP00000069657
ENSTGUP00000017828	ENSDARP00000123484
ENSTGUP00000001481	ENSDARP00000129096
ENSTGUP00000004119	ENSDARP00000033122
ENSTGUP00000001167	ENSDARP00000069870
ENSTGUP00000001284	ENSDARP00000050176
ENSTGUP00000005641	ENSDARP00000105882
ENSTGUP00000008758	ENSDARP00000014980
ENSTGUP00000008758	ENSDARP00000108067
ENSTGUP00000005051	ENSDARP00000065669
ENSTGUP00000008220	ENSDARP00000118761
ENSTGUP00000008220	ENSDARP00000129035
ENSTGUP00000005553	ENSDARP00000111556
ENSTGUP00000005553	ENSDARP00000111169
ENSTGUP00000006849	ENSDARP00000113432
ENSTGUP00000010366	ENSDARP00000121566
ENSTGUP00000001424	ENSDARP00000093285
ENSTGUP00000001424	ENSDARP00000101777
ENSTGUP00000018065	ENSDARP00000099736
ENSTGUP00000011327	ENSDARP00000106854
ENSTGUP00000004064	ENSDARP00000112558
ENSTGUP00000012708	ENSDARP00000128615
ENSTGUP00000013371	ENSDARP00000016314
ENSTGUP00000014657	ENSDARP00000046688
ENSTGUP00000006126	ENSDARP00000014840
ENSTGUP00000011714	ENSDARP00000043315
ENSTGUP00000000004	ENSDARP00000043161
ENSTGUP00000011132	ENSDARP00000123784
ENSTGUP00000005347	ENSDARP00000023124
ENSTGUP00000005347	ENSDARP00000019093
ENSTGUP00000002235	ENSDARP00000104305
ENSTGUP00000010871	ENSDARP00000099211
ENSTGUP00000014902	ENSDARP00000098660
ENSTGUP00000003269	ENSDARP00000013812
ENSTGUP00000008191	ENSDARP00000102404
ENSTGUP00000001177	ENSDARP00000117778
ENSTGUP00000010058	ENSDARP00000061155
ENSTGUP00000010058	ENSDARP00000082723
ENSTGUP00000007219	ENSDARP00000089458
ENSTGUP00000008212	ENSDARP00000051165
ENSTGUP00000008212	ENSDARP00000042171
ENSTGUP00000002306	ENSDARP00000062698
ENSTGUP00000012158	ENSDARP00000124944
ENSTGUP00000009157	ENSDARP00000100285
ENSTGUP00000002564	ENSDARP00000065852
ENSTGUP00000002564	ENSDARP00000066124
ENSTGUP00000010617	ENSDARP00000015825
ENSTGUP00000015957	ENSDARP00000119398
ENSTGUP00000012594	ENSDARP00000105402
ENSTGUP00000010318	ENSDARP00000111705
ENSTGUP00000010848	ENSDARP00000056285
ENSTGUP00000000419	ENSDARP00000111440
ENSTGUP00000005134	ENSDARP00000102258
ENSTGUP00000011142	ENSDARP00000024256
ENSTGUP00000008315	ENSDARP00000019940
ENSTGUP00000011770	ENSDARP00000113054
ENSTGUP00000009747	ENSDARP00000098560
ENSTGUP00000011981	ENSDARP00000011155
ENSTGUP00000007205	ENSDARP00000106616
ENSTGUP00000014107	ENSDARP00000019087
ENSTGUP00000001972	ENSDARP00000069275
ENSTGUP00000004174	ENSDARP00000074797
ENSTGUP00000010482	ENSDARP00000065205
ENSTGUP00000010492	ENSDARP00000123093
ENSTGUP00000008173	ENSDARP00000098822
ENSTGUP00000009905	ENSDARP00000119169
ENSTGUP00000009932	ENSDARP00000057735
ENSTGUP00000002220	ENSDARP00000121323
ENSTGUP00000002273	ENSDARP00000114284
ENSTGUP00000002273	ENSDARP00000118698
ENSTGUP00000011073	ENSDARP00000108405
ENSTGUP00000004253	ENSDARP00000101408
ENSTGUP00000004253	ENSDARP00000127739
ENSTGUP00000011516	ENSDARP00000044370
ENSTGUP00000007729	ENSDARP00000101166
ENSTGUP00000013806	ENSDARP00000129043
ENSTGUP00000001358	ENSDARP00000107840
ENSTGUP00000004537	ENSDARP00000068009
ENSTGUP00000004537	ENSDARP00000107380
ENSTGUP00000010327	ENSDARP00000082438
ENSTGUP00000015676	ENSDARP00000124923
ENSTGUP00000005720	ENSDARP00000073110
ENSTGUP00000011596	ENSDARP00000020000
ENSTGUP00000011472	ENSDARP00000113850
ENSTGUP00000002243	ENSDARP00000101760
ENSTGUP00000012150	ENSDARP00000043125
ENSTGUP00000007063	ENSDARP00000107242
ENSTGUP00000005584	ENSDARP00000106580
ENSTGUP00000000273	ENSDARP00000073959
ENSTGUP00000000348	ENSDARP00000007186
ENSTGUP00000014702	ENSDARP00000023293
ENSTGUP00000014702	ENSDARP00000109007
ENSTGUP00000010766	ENSDARP00000074529
ENSTGUP00000010766	ENSDARP00000121140
ENSTGUP00000002968	ENSDARP00000091084
ENSTGUP00000008158	ENSDARP00000013960
ENSTGUP00000004524	ENSDARP00000005772
ENSTGUP00000010115	ENSDARP00000073367
ENSTGUP00000002464	ENSDARP00000101307
ENSTGUP00000008113	ENSDARP00000066677
ENSTGUP00000004045	ENSDARP00000056522
ENSTGUP00000004114	ENSDARP00000057637
ENSTGUP00000003646	ENSDARP00000112428
ENSTGUP00000011148	ENSDARP00000122149
ENSTGUP00000014708	ENSDARP00000026726
ENSTGUP00000014708	ENSDARP00000069945
ENSTGUP00000005396	ENSDARP00000110892
ENSTGUP00000012194	ENSDARP00000027703
ENSTGUP00000010522	ENSDARP00000089585
ENSTGUP00000003660	ENSDARP00000087966
ENSTGUP00000001609	ENSDARP00000123346
ENSTGUP00000001609	ENSDARP00000122328
ENSTGUP00000007834	ENSDARP00000098249
ENSTGUP00000008103	ENSDARP00000115648
ENSTGUP00000000081	ENSDARP00000082852
ENSTGUP00000002845	ENSDARP00000086016
ENSTGUP00000012368	ENSDARP00000087386
ENSTGUP00000007495	ENSDARP00000072649
ENSTGUP00000001329	ENSDARP00000120829
ENSTGUP00000011194	ENSDARP00000064077
ENSTGUP00000005970	ENSDARP00000072426
ENSTGUP00000005970	ENSDARP00000024471
ENSTGUP00000006607	ENSDARP00000083002
ENSTGUP00000007643	ENSDARP00000063550
ENSTGUP00000011495	ENSDARP00000109769
ENSTGUP00000011495	ENSDARP00000086614
ENSTGUP00000006741	ENSDARP00000104731
ENSTGUP00000002579	ENSDARP00000008977
ENSTGUP00000002579	ENSDARP00000103131
ENSTGUP00000009243	ENSDARP00000040170
ENSTGUP00000008195	ENSDARP00000045176
ENSTGUP00000008899	ENSDARP00000055472
ENSTGUP00000008899	ENSDARP00000007188
ENSTGUP00000007251	ENSDARP00000122058
ENSTGUP00000007251	ENSDARP00000055170
ENSTGUP00000001501	ENSDARP00000011428
ENSTGUP00000003402	ENSDARP00000067931
ENSTGUP00000006993	ENSDARP00000107433
ENSTGUP00000000210	ENSDARP00000066500
ENSTGUP00000017749	ENSDARP00000125663
ENSTGUP00000010084	ENSDARP00000098359
ENSTGUP00000003320	ENSDARP00000102663
ENSTGUP00000006703	ENSDARP00000059319
ENSTGUP00000003515	ENSDARP00000020283
ENSTGUP00000011559	ENSDARP00000085982
ENSTGUP00000012311	ENSDARP00000011866
ENSTGUP00000003197	ENSDARP00000019419
ENSTGUP00000013170	ENSDARP00000103928
ENSTGUP00000005123	ENSDARP00000093469
ENSTGUP00000004095	ENSDARP00000098790
ENSTGUP00000003775	ENSDARP00000058551
ENSTGUP00000003775	ENSDARP00000043822
ENSTGUP00000003758	ENSDARP00000115356
ENSTGUP00000016505	ENSDARP00000112921
ENSTGUP00000004184	ENSDARP00000094806
ENSTGUP00000004199	ENSDARP00000010745
ENSTGUP00000010834	ENSDARP00000072599
ENSTGUP00000009111	ENSDARP00000106315
ENSTGUP00000008695	ENSDARP00000013993
ENSTGUP00000008695	ENSDARP00000062873
ENSTGUP00000013829	ENSDARP00000003281
ENSTGUP00000013829	ENSDARP00000115804
ENSTGUP00000010235	ENSDARP00000069637
ENSTGUP00000003491	ENSDARP00000119579
ENSTGUP00000008367	ENSDARP00000019575
ENSTGUP00000008367	ENSDARP00000006495
ENSTGUP00000006827	ENSDARP00000052520
ENSTGUP00000007212	ENSDARP00000067888
ENSTGUP00000011398	ENSDARP00000093770
ENSTGUP00000011398	ENSDARP00000084749
ENSTGUP00000006292	ENSDARP00000056962
ENSTGUP00000006292	ENSDARP00000110937
ENSTGUP00000001022	ENSDARP00000118392
ENSTGUP00000001022	ENSDARP00000118182
ENSTGUP00000001800	ENSDARP00000088317
ENSTGUP00000012221	ENSDARP00000061852
ENSTGUP00000008199	ENSDARP00000122727
ENSTGUP00000008143	ENSDARP00000038591
ENSTGUP00000008143	ENSDARP00000101636
ENSTGUP00000001280	ENSDARP00000040954
ENSTGUP00000009392	ENSDARP00000059139
ENSTGUP00000009322	ENSDARP00000093754
ENSTGUP00000001078	ENSDARP00000100165
ENSTGUP00000003805	ENSDARP00000083566
ENSTGUP00000001706	ENSDARP00000107838
ENSTGUP00000001137	ENSDARP00000101331
ENSTGUP00000006709	ENSDARP00000129223
ENSTGUP00000017361	ENSDARP00000101342
ENSTGUP00000005796	ENSDARP00000113737
ENSTGUP00000010923	ENSDARP00000098193
ENSTGUP00000001933	ENSDARP00000093977
ENSTGUP00000001933	ENSDARP00000021648
ENSTGUP00000005580	ENSDARP00000014581
ENSTGUP00000016909	ENSDARP00000085966
ENSTGUP00000016909	ENSDARP00000078148
ENSTGUP00000002295	ENSDARP00000089604
ENSTGUP00000002295	ENSDARP00000121254
ENSTGUP00000017565	ENSDARP00000111163
ENSTGUP00000013795	ENSDARP00000115419
ENSTGUP00000001543	ENSDARP00000093662
ENSTGUP00000005490	ENSDARP00000109027
ENSTGUP00000011756	ENSDARP00000090977
ENSTGUP00000011455	ENSDARP00000092724
ENSTGUP00000000350	ENSDARP00000121626
ENSTGUP00000010374	ENSDARP00000057866
ENSTGUP00000004992	ENSDARP00000070580
ENSTGUP00000012752	ENSDARP00000129510
ENSTGUP00000011386	ENSDARP00000047895
ENSTGUP00000011386	ENSDARP00000120021
ENSTGUP00000000411	ENSDARP00000078889
ENSTGUP00000000411	ENSDARP00000102277
ENSTGUP00000007820	ENSDARP00000098718
ENSTGUP00000010849	ENSDARP00000106714
ENSTGUP00000009494	ENSDARP00000114663
ENSTGUP00000013097	ENSDARP00000125954
ENSTGUP00000008190	ENSDARP00000114939
ENSTGUP00000012093	ENSDARP00000091972
ENSTGUP00000010286	ENSDARP00000098087
ENSTGUP00000001824	ENSDARP00000115423
ENSTGUP00000008731	ENSDARP00000077321
ENSTGUP00000010802	ENSDARP00000094372
ENSTGUP00000015194	ENSDARP00000005085
ENSTGUP00000007994	ENSDARP00000071771
ENSTGUP00000010703	ENSDARP00000038588
ENSTGUP00000007952	ENSDARP00000066758
ENSTGUP00000010731	ENSDARP00000090595
ENSTGUP00000004821	ENSDARP00000123832
ENSTGUP00000004821	ENSDARP00000071871
ENSTGUP00000000696	ENSDARP00000014968
ENSTGUP00000002072	ENSDARP00000060416
ENSTGUP00000008622	ENSDARP00000127594
ENSTGUP00000008792	ENSDARP00000022009
ENSTGUP00000015019	ENSDARP00000012861
ENSTGUP00000015019	ENSDARP00000042188
ENSTGUP00000001637	ENSDARP00000071589
ENSTGUP00000015594	ENSDARP00000071581
ENSTGUP00000017492	ENSDARP00000045582
ENSTGUP00000013684	ENSDARP00000116176
ENSTGUP00000013822	ENSDARP00000000004
ENSTGUP00000001646	ENSDARP00000084629
ENSTGUP00000012821	ENSDARP00000058776
ENSTGUP00000004796	ENSDARP00000031200
ENSTGUP00000006097	ENSDARP00000040700
ENSTGUP00000006097	ENSDARP00000089186
ENSTGUP00000013715	ENSDARP00000045244
ENSTGUP00000009109	ENSDARP00000118972
ENSTGUP00000006752	ENSDARP00000009928
ENSTGUP00000013659	ENSDARP00000117791
ENSTGUP00000001729	ENSDARP00000007990
