ENSMUSP00000034074	ENSMODP00000016222
ENSMUSP00000114020	ENSMODP00000000679
ENSMUSP00000084462	ENSMODP00000025796
ENSMUSP00000020679	ENSMODP00000010442
ENSMUSP00000099608	ENSMODP00000016379
ENSMUSP00000038922	ENSMODP00000008107
ENSMUSP00000086017	ENSMODP00000022950
ENSMUSP00000089212	ENSMODP00000010998
ENSMUSP00000019516	ENSMODP00000011474
ENSMUSP00000047308	ENSMODP00000010914
ENSMUSP00000015858	ENSMODP00000023478
ENSMUSP00000069238	ENSMODP00000015235
ENSMUSP00000028426	ENSMODP00000041284
ENSMUSP00000120598	ENSMODP00000004541
ENSMUSP00000064556	ENSMODP00000003832
ENSMUSP00000021682	ENSMODP00000006867
ENSMUSP00000059666	ENSMODP00000000179
ENSMUSP00000108629	ENSMODP00000014712
ENSMUSP00000020624	ENSMODP00000004891
ENSMUSP00000101004	ENSMODP00000006523
ENSMUSP00000031841	ENSMODP00000000959
ENSMUSP00000099733	ENSMODP00000012028
ENSMUSP00000026703	ENSMODP00000026239
ENSMUSP00000103815	ENSMODP00000029754
ENSMUSP00000003509	ENSMODP00000012160
ENSMUSP00000074764	ENSMODP00000004041
ENSMUSP00000032421	ENSMODP00000022102
ENSMUSP00000025477	ENSMODP00000025585
ENSMUSP00000026896	ENSMODP00000016495
ENSMUSP00000043477	ENSMODP00000024060
ENSMUSP00000100012	ENSMODP00000014171
ENSMUSP00000099434	ENSMODP00000003492
ENSMUSP00000015003	ENSMODP00000007623
ENSMUSP00000050496	ENSMODP00000013412
ENSMUSP00000048260	ENSMODP00000016741
ENSMUSP00000020339	ENSMODP00000037068
ENSMUSP00000036487	ENSMODP00000015720
ENSMUSP00000085900	ENSMODP00000036453
ENSMUSP00000093089	ENSMODP00000028839
ENSMUSP00000049346	ENSMODP00000024298
ENSMUSP00000113708	ENSMODP00000011108
ENSMUSP00000080579	ENSMODP00000013611
ENSMUSP00000105240	ENSMODP00000002121
ENSMUSP00000125718	ENSMODP00000034167
ENSMUSP00000073803	ENSMODP00000019696
ENSMUSP00000028349	ENSMODP00000021361
ENSMUSP00000002989	ENSMODP00000014344
ENSMUSP00000044578	ENSMODP00000016010
ENSMUSP00000102710	ENSMODP00000023381
ENSMUSP00000032500	ENSMODP00000022856
ENSMUSP00000102177	ENSMODP00000029105
ENSMUSP00000032715	ENSMODP00000011376
ENSMUSP00000036674	ENSMODP00000020886
ENSMUSP00000090884	ENSMODP00000008745
ENSMUSP00000042867	ENSMODP00000013331
ENSMUSP00000104411	ENSMODP00000017273
ENSMUSP00000018630	ENSMODP00000013863
ENSMUSP00000006718	ENSMODP00000036044
ENSMUSP00000106861	ENSMODP00000012564
ENSMUSP00000001384	ENSMODP00000008288
ENSMUSP00000003808	ENSMODP00000032324
ENSMUSP00000024049	ENSMODP00000013900
ENSMUSP00000018382	ENSMODP00000017320
ENSMUSP00000039653	ENSMODP00000015229
ENSMUSP00000128621	ENSMODP00000002540
ENSMUSP00000031278	ENSMODP00000025996
ENSMUSP00000037654	ENSMODP00000026913
ENSMUSP00000105486	ENSMODP00000016389
ENSMUSP00000094528	ENSMODP00000000402
ENSMUSP00000093960	ENSMODP00000009650
ENSMUSP00000065643	ENSMODP00000003858
ENSMUSP00000086409	ENSMODP00000009150
ENSMUSP00000033386	ENSMODP00000004985
ENSMUSP00000058000	ENSMODP00000008907
ENSMUSP00000063021	ENSMODP00000004977
ENSMUSP00000022707	ENSMODP00000011765
ENSMUSP00000064131	ENSMODP00000019074
ENSMUSP00000033450	ENSMODP00000019101
ENSMUSP00000124459	ENSMODP00000005435
ENSMUSP00000047199	ENSMODP00000016852
ENSMUSP00000038015	ENSMODP00000000500
ENSMUSP00000088670	ENSMODP00000012769
ENSMUSP00000071627	ENSMODP00000018745
ENSMUSP00000043250	ENSMODP00000026029
ENSMUSP00000119993	ENSMODP00000024292
ENSMUSP00000068629	ENSMODP00000003122
ENSMUSP00000048978	ENSMODP00000013464
ENSMUSP00000067752	ENSMODP00000008628
ENSMUSP00000030306	ENSMODP00000004044
ENSMUSP00000034427	ENSMODP00000002679
ENSMUSP00000064775	ENSMODP00000007893
ENSMUSP00000103028	ENSMODP00000021412
ENSMUSP00000095964	ENSMODP00000006018
ENSMUSP00000115260	ENSMODP00000023606
ENSMUSP00000075089	ENSMODP00000004519
ENSMUSP00000126897	ENSMODP00000039634
ENSMUSP00000074533	ENSMODP00000004963
ENSMUSP00000044432	ENSMODP00000007067
ENSMUSP00000104459	ENSMODP00000021169
ENSMUSP00000106905	ENSMODP00000024799
ENSMUSP00000089513	ENSMODP00000016775
ENSMUSP00000109098	ENSMODP00000015165
ENSMUSP00000037532	ENSMODP00000005386
ENSMUSP00000041622	ENSMODP00000007425
ENSMUSP00000047923	ENSMODP00000005390
ENSMUSP00000019199	ENSMODP00000013628
ENSMUSP00000004968	ENSMODP00000006172
ENSMUSP00000125373	ENSMODP00000026554
ENSMUSP00000007216	ENSMODP00000004039
ENSMUSP00000019662	ENSMODP00000005255
ENSMUSP00000117346	ENSMODP00000000790
ENSMUSP00000128446	ENSMODP00000012861
ENSMUSP00000003117	ENSMODP00000031750
ENSMUSP00000109886	ENSMODP00000020405
ENSMUSP00000030763	ENSMODP00000013151
ENSMUSP00000033380	ENSMODP00000013497
ENSMUSP00000027697	ENSMODP00000002193
ENSMUSP00000030814	ENSMODP00000005016
ENSMUSP00000033918	ENSMODP00000004613
ENSMUSP00000033755	ENSMODP00000021509
ENSMUSP00000033756	ENSMODP00000021545
ENSMUSP00000046476	ENSMODP00000023068
ENSMUSP00000027538	ENSMODP00000002877
ENSMUSP00000033549	ENSMODP00000008929
ENSMUSP00000035250	ENSMODP00000009518
ENSMUSP00000021268	ENSMODP00000009560
ENSMUSP00000026795	ENSMODP00000013499
ENSMUSP00000033341	ENSMODP00000034760
ENSMUSP00000001562	ENSMODP00000022870
ENSMUSP00000103391	ENSMODP00000017133
ENSMUSP00000049070	ENSMODP00000031383
ENSMUSP00000049248	ENSMODP00000009533
ENSMUSP00000082895	ENSMODP00000027887
ENSMUSP00000080832	ENSMODP00000006876
ENSMUSP00000033501	ENSMODP00000012731
ENSMUSP00000102770	ENSMODP00000032765
ENSMUSP00000133245	ENSMODP00000017923
ENSMUSP00000021046	ENSMODP00000012407
ENSMUSP00000055535	ENSMODP00000012104
ENSMUSP00000021062	ENSMODP00000004582
ENSMUSP00000057595	ENSMODP00000002826
ENSMUSP00000032539	ENSMODP00000041023
ENSMUSP00000029541	ENSMODP00000021647
ENSMUSP00000078971	ENSMODP00000007382
ENSMUSP00000034267	ENSMODP00000005455
ENSMUSP00000079864	ENSMODP00000004284
ENSMUSP00000138944	ENSMODP00000020969
ENSMUSP00000107850	ENSMODP00000006113
ENSMUSP00000028328	ENSMODP00000021538
ENSMUSP00000110022	ENSMODP00000021495
ENSMUSP00000036830	ENSMODP00000019075
ENSMUSP00000002809	ENSMODP00000012345
ENSMUSP00000031795	ENSMODP00000026928
ENSMUSP00000001595	ENSMODP00000018395
ENSMUSP00000072472	ENSMODP00000013451
ENSMUSP00000077919	ENSMODP00000013531
ENSMUSP00000099692	ENSMODP00000002515
ENSMUSP00000027377	ENSMODP00000019396
ENSMUSP00000020702	ENSMODP00000011895
ENSMUSP00000020704	ENSMODP00000033297
ENSMUSP00000046610	ENSMODP00000019398
ENSMUSP00000017637	ENSMODP00000016469
ENSMUSP00000023601	ENSMODP00000016648
ENSMUSP00000084091	ENSMODP00000003179
ENSMUSP00000092654	ENSMODP00000007000
ENSMUSP00000036227	ENSMODP00000024699
ENSMUSP00000042410	ENSMODP00000003320
ENSMUSP00000101500	ENSMODP00000017619
ENSMUSP00000005952	ENSMODP00000021986
ENSMUSP00000058045	ENSMODP00000024346
ENSMUSP00000101768	ENSMODP00000022203
ENSMUSP00000010605	ENSMODP00000001020
ENSMUSP00000126137	ENSMODP00000025425
ENSMUSP00000022746	ENSMODP00000025415
ENSMUSP00000138230	ENSMODP00000039684
ENSMUSP00000026093	ENSMODP00000024177
ENSMUSP00000074864	ENSMODP00000006059
ENSMUSP00000002880	ENSMODP00000032132
ENSMUSP00000042466	ENSMODP00000022238
ENSMUSP00000047278	ENSMODP00000013827
ENSMUSP00000107444	ENSMODP00000013818
ENSMUSP00000064462	ENSMODP00000022239
ENSMUSP00000098548	ENSMODP00000006713
ENSMUSP00000105212	ENSMODP00000025150
ENSMUSP00000041897	ENSMODP00000000370
ENSMUSP00000043085	ENSMODP00000018131
ENSMUSP00000104533	ENSMODP00000017612
ENSMUSP00000046585	ENSMODP00000012865
ENSMUSP00000034822	ENSMODP00000014616
ENSMUSP00000107347	ENSMODP00000013397
ENSMUSP00000053238	ENSMODP00000015857
ENSMUSP00000093141	ENSMODP00000020847
ENSMUSP00000030041	ENSMODP00000004951
ENSMUSP00000021689	ENSMODP00000031789
ENSMUSP00000077781	ENSMODP00000035173
ENSMUSP00000090987	ENSMODP00000028502
ENSMUSP00000020779	ENSMODP00000018421
ENSMUSP00000050497	ENSMODP00000018444
ENSMUSP00000099466	ENSMODP00000018431
ENSMUSP00000121309	ENSMODP00000038839
ENSMUSP00000027226	ENSMODP00000023326
ENSMUSP00000022954	ENSMODP00000001162
ENSMUSP00000095025	ENSMODP00000007984
ENSMUSP00000081455	ENSMODP00000013862
ENSMUSP00000006424	ENSMODP00000023828
ENSMUSP00000003438	ENSMODP00000005633
ENSMUSP00000030477	ENSMODP00000002353
ENSMUSP00000061390	ENSMODP00000020662
ENSMUSP00000020692	ENSMODP00000001296
ENSMUSP00000110074	ENSMODP00000018114
ENSMUSP00000023726	ENSMODP00000026437
ENSMUSP00000124473	ENSMODP00000003778
ENSMUSP00000037576	ENSMODP00000023397
ENSMUSP00000050730	ENSMODP00000003368
ENSMUSP00000002518	ENSMODP00000023888
ENSMUSP00000124131	ENSMODP00000034629
ENSMUSP00000001824	ENSMODP00000003237
ENSMUSP00000128674	ENSMODP00000004030
ENSMUSP00000044231	ENSMODP00000012753
ENSMUSP00000031729	ENSMODP00000005649
ENSMUSP00000031691	ENSMODP00000019189
ENSMUSP00000031690	ENSMODP00000019192
ENSMUSP00000010191	ENSMODP00000015197
ENSMUSP00000042667	ENSMODP00000015236
ENSMUSP00000032376	ENSMODP00000005729
ENSMUSP00000032093	ENSMODP00000003767
ENSMUSP00000104878	ENSMODP00000011064
ENSMUSP00000110955	ENSMODP00000023136
ENSMUSP00000063380	ENSMODP00000001454
ENSMUSP00000122915	ENSMODP00000029199
ENSMUSP00000030376	ENSMODP00000021931
ENSMUSP00000025682	ENSMODP00000020674
ENSMUSP00000025685	ENSMODP00000020631
ENSMUSP00000053270	ENSMODP00000024509
ENSMUSP00000036150	ENSMODP00000010755
ENSMUSP00000059026	ENSMODP00000010746
ENSMUSP00000125871	ENSMODP00000000909
ENSMUSP00000135677	ENSMODP00000000902
ENSMUSP00000079926	ENSMODP00000019865
ENSMUSP00000022217	ENSMODP00000024234
ENSMUSP00000021714	ENSMODP00000016933
ENSMUSP00000036721	ENSMODP00000000835
ENSMUSP00000132008	ENSMODP00000013547
ENSMUSP00000106963	ENSMODP00000024821
ENSMUSP00000085872	ENSMODP00000021392
ENSMUSP00000112934	ENSMODP00000001044
ENSMUSP00000086730	ENSMODP00000034172
ENSMUSP00000021467	ENSMODP00000016401
ENSMUSP00000113851	ENSMODP00000026088
ENSMUSP00000041173	ENSMODP00000002302
ENSMUSP00000042317	ENSMODP00000017574
ENSMUSP00000032815	ENSMODP00000016796
ENSMUSP00000024742	ENSMODP00000023618
ENSMUSP00000021004	ENSMODP00000017858
ENSMUSP00000111151	ENSMODP00000012397
ENSMUSP00000105350	ENSMODP00000003704
ENSMUSP00000037324	ENSMODP00000003835
ENSMUSP00000041294	ENSMODP00000002775
ENSMUSP00000020008	ENSMODP00000022195
ENSMUSP00000007257	ENSMODP00000019036
ENSMUSP00000109904	ENSMODP00000021585
ENSMUSP00000058308	ENSMODP00000010717
ENSMUSP00000029780	ENSMODP00000005193
ENSMUSP00000099947	ENSMODP00000006815
ENSMUSP00000126340	ENSMODP00000033334
ENSMUSP00000122855	ENSMODP00000007124
ENSMUSP00000108717	ENSMODP00000009331
ENSMUSP00000026886	ENSMODP00000020830
ENSMUSP00000090277	ENSMODP00000006054
ENSMUSP00000041790	ENSMODP00000007035
ENSMUSP00000058730	ENSMODP00000008417
ENSMUSP00000137517	ENSMODP00000015774
ENSMUSP00000028071	ENSMODP00000011325
ENSMUSP00000104311	ENSMODP00000009929
ENSMUSP00000031750	ENSMODP00000002001
ENSMUSP00000066894	ENSMODP00000013128
ENSMUSP00000030898	ENSMODP00000026470
ENSMUSP00000078281	ENSMODP00000019748
ENSMUSP00000045432	ENSMODP00000003420
ENSMUSP00000073246	ENSMODP00000016685
ENSMUSP00000092735	ENSMODP00000021636
ENSMUSP00000126313	ENSMODP00000019237
ENSMUSP00000005600	ENSMODP00000015089
ENSMUSP00000051107	ENSMODP00000002032
ENSMUSP00000116057	ENSMODP00000022209
ENSMUSP00000121212	ENSMODP00000038261
ENSMUSP00000039600	ENSMODP00000023864
ENSMUSP00000062239	ENSMODP00000024626
ENSMUSP00000056364	ENSMODP00000039119
ENSMUSP00000044054	ENSMODP00000006288
ENSMUSP00000093427	ENSMODP00000001736
ENSMUSP00000031901	ENSMODP00000001244
ENSMUSP00000031902	ENSMODP00000001215
ENSMUSP00000018651	ENSMODP00000014063
ENSMUSP00000132687	ENSMODP00000010191
ENSMUSP00000115718	ENSMODP00000017347
ENSMUSP00000027178	ENSMODP00000020407
ENSMUSP00000024832	ENSMODP00000026357
ENSMUSP00000030915	ENSMODP00000038369
ENSMUSP00000031437	ENSMODP00000015151
ENSMUSP00000092252	ENSMODP00000022375
ENSMUSP00000087525	ENSMODP00000022379
ENSMUSP00000070868	ENSMODP00000014773
ENSMUSP00000026172	ENSMODP00000004906
ENSMUSP00000025718	ENSMODP00000008455
ENSMUSP00000061168	ENSMODP00000020030
ENSMUSP00000041300	ENSMODP00000022788
ENSMUSP00000102647	ENSMODP00000009509
ENSMUSP00000085683	ENSMODP00000020177
ENSMUSP00000042271	ENSMODP00000015849
ENSMUSP00000043636	ENSMODP00000034626
ENSMUSP00000076660	ENSMODP00000039941
ENSMUSP00000003268	ENSMODP00000001111
ENSMUSP00000030212	ENSMODP00000018579
ENSMUSP00000129800	ENSMODP00000040020
ENSMUSP00000028214	ENSMODP00000029534
ENSMUSP00000034600	ENSMODP00000016929
ENSMUSP00000066701	ENSMODP00000006206
ENSMUSP00000126826	ENSMODP00000016948
ENSMUSP00000062507	ENSMODP00000016950
ENSMUSP00000110311	ENSMODP00000016932
ENSMUSP00000032252	ENSMODP00000038231
ENSMUSP00000061470	ENSMODP00000025666
ENSMUSP00000056353	ENSMODP00000012544
ENSMUSP00000046368	ENSMODP00000009215
ENSMUSP00000045409	ENSMODP00000005689
ENSMUSP00000109229	ENSMODP00000023558
ENSMUSP00000024711	ENSMODP00000023531
ENSMUSP00000109244	ENSMODP00000023534
ENSMUSP00000049380	ENSMODP00000023556
ENSMUSP00000110422	ENSMODP00000019713
ENSMUSP00000128922	ENSMODP00000020264
ENSMUSP00000095845	ENSMODP00000010276
ENSMUSP00000054545	ENSMODP00000024418
ENSMUSP00000019920	ENSMODP00000022105
ENSMUSP00000035649	ENSMODP00000010406
ENSMUSP00000025208	ENSMODP00000014796
ENSMUSP00000048714	ENSMODP00000004354
ENSMUSP00000048350	ENSMODP00000018917
ENSMUSP00000053431	ENSMODP00000010074
ENSMUSP00000029850	ENSMODP00000023816
ENSMUSP00000044945	ENSMODP00000007213
ENSMUSP00000052544	ENSMODP00000015433
ENSMUSP00000090567	ENSMODP00000017578
ENSMUSP00000081664	ENSMODP00000020393
ENSMUSP00000019290	ENSMODP00000036263
ENSMUSP00000021066	ENSMODP00000004989
ENSMUSP00000082220	ENSMODP00000015030
ENSMUSP00000031423	ENSMODP00000014631
ENSMUSP00000123078	ENSMODP00000017783
ENSMUSP00000101700	ENSMODP00000029570
ENSMUSP00000029575	ENSMODP00000004225
ENSMUSP00000028623	ENSMODP00000024791
ENSMUSP00000030643	ENSMODP00000017558
ENSMUSP00000076505	ENSMODP00000005034
ENSMUSP00000022550	ENSMODP00000028670
ENSMUSP00000122103	ENSMODP00000011019
ENSMUSP00000108302	ENSMODP00000023005
ENSMUSP00000051118	ENSMODP00000010206
ENSMUSP00000084062	ENSMODP00000013329
ENSMUSP00000023171	ENSMODP00000024752
ENSMUSP00000030782	ENSMODP00000007619
ENSMUSP00000097909	ENSMODP00000012713
ENSMUSP00000065205	ENSMODP00000006389
ENSMUSP00000028362	ENSMODP00000006313
ENSMUSP00000027896	ENSMODP00000007629
ENSMUSP00000029307	ENSMODP00000012781
ENSMUSP00000034883	ENSMODP00000037511
ENSMUSP00000030169	ENSMODP00000009598
ENSMUSP00000104732	ENSMODP00000028169
ENSMUSP00000054226	ENSMODP00000014248
ENSMUSP00000107035	ENSMODP00000034116
ENSMUSP00000094076	ENSMODP00000023356
ENSMUSP00000053899	ENSMODP00000003753
ENSMUSP00000106460	ENSMODP00000011237
ENSMUSP00000031868	ENSMODP00000034145
ENSMUSP00000031713	ENSMODP00000034463
ENSMUSP00000029208	ENSMODP00000029074
ENSMUSP00000001122	ENSMODP00000028794
ENSMUSP00000021161	ENSMODP00000020748
ENSMUSP00000080717	ENSMODP00000001267
ENSMUSP00000123979	ENSMODP00000035744
ENSMUSP00000000573	ENSMODP00000001616
ENSMUSP00000022040	ENSMODP00000010196
ENSMUSP00000129216	ENSMODP00000024853
ENSMUSP00000110348	ENSMODP00000028979
ENSMUSP00000095533	ENSMODP00000001626
ENSMUSP00000020441	ENSMODP00000015585
ENSMUSP00000045490	ENSMODP00000007960
ENSMUSP00000068716	ENSMODP00000034890
ENSMUSP00000014545	ENSMODP00000008077
ENSMUSP00000091964	ENSMODP00000007927
ENSMUSP00000128308	ENSMODP00000007157
ENSMUSP00000003659	ENSMODP00000004469
ENSMUSP00000022213	ENSMODP00000024590
ENSMUSP00000029682	ENSMODP00000021330
ENSMUSP00000060441	ENSMODP00000001502
ENSMUSP00000057488	ENSMODP00000004693
ENSMUSP00000064220	ENSMODP00000000505
ENSMUSP00000059654	ENSMODP00000004192
ENSMUSP00000046812	ENSMODP00000004169
ENSMUSP00000040229	ENSMODP00000025233
ENSMUSP00000031607	ENSMODP00000031563
ENSMUSP00000090528	ENSMODP00000028859
ENSMUSP00000113090	ENSMODP00000019532
ENSMUSP00000043633	ENSMODP00000019523
ENSMUSP00000109092	ENSMODP00000023680
ENSMUSP00000006523	ENSMODP00000018283
ENSMUSP00000095169	ENSMODP00000035883
ENSMUSP00000129378	ENSMODP00000011235
ENSMUSP00000088089	ENSMODP00000019655
ENSMUSP00000076751	ENSMODP00000001450
ENSMUSP00000091329	ENSMODP00000023063
ENSMUSP00000124179	ENSMODP00000037216
ENSMUSP00000130758	ENSMODP00000020163
ENSMUSP00000034946	ENSMODP00000013652
ENSMUSP00000030080	ENSMODP00000037031
ENSMUSP00000084578	ENSMODP00000008363
ENSMUSP00000065679	ENSMODP00000023740
ENSMUSP00000061402	ENSMODP00000029161
ENSMUSP00000134894	ENSMODP00000005601
ENSMUSP00000049054	ENSMODP00000019802
ENSMUSP00000101060	ENSMODP00000004893
ENSMUSP00000000574	ENSMODP00000001608
ENSMUSP00000043522	ENSMODP00000035754
ENSMUSP00000060591	ENSMODP00000024714
ENSMUSP00000103897	ENSMODP00000020099
ENSMUSP00000136611	ENSMODP00000040556
ENSMUSP00000125580	ENSMODP00000022442
ENSMUSP00000129696	ENSMODP00000001836
ENSMUSP00000037867	ENSMODP00000004958
ENSMUSP00000049285	ENSMODP00000018134
ENSMUSP00000066239	ENSMODP00000017089
ENSMUSP00000002837	ENSMODP00000006025
ENSMUSP00000092230	ENSMODP00000006515
ENSMUSP00000132514	ENSMODP00000020994
ENSMUSP00000043210	ENSMODP00000011509
ENSMUSP00000100991	ENSMODP00000006215
ENSMUSP00000006027	ENSMODP00000016598
ENSMUSP00000036065	ENSMODP00000015178
ENSMUSP00000112662	ENSMODP00000011747
ENSMUSP00000040162	ENSMODP00000011985
ENSMUSP00000020023	ENSMODP00000021456
ENSMUSP00000036726	ENSMODP00000022547
ENSMUSP00000041599	ENSMODP00000025985
ENSMUSP00000036110	ENSMODP00000035244
ENSMUSP00000059757	ENSMODP00000037000
ENSMUSP00000099509	ENSMODP00000010540
ENSMUSP00000000939	ENSMODP00000015462
ENSMUSP00000091769	ENSMODP00000035353
ENSMUSP00000030187	ENSMODP00000009224
ENSMUSP00000014290	ENSMODP00000010677
ENSMUSP00000028252	ENSMODP00000007192
ENSMUSP00000091011	ENSMODP00000011498
ENSMUSP00000019456	ENSMODP00000033084
ENSMUSP00000034969	ENSMODP00000012038
ENSMUSP00000077899	ENSMODP00000012043
ENSMUSP00000031096	ENSMODP00000025712
ENSMUSP00000073190	ENSMODP00000036164
ENSMUSP00000027053	ENSMODP00000008837
ENSMUSP00000122552	ENSMODP00000035049
ENSMUSP00000031251	ENSMODP00000025938
ENSMUSP00000046298	ENSMODP00000011340
ENSMUSP00000104020	ENSMODP00000011318
ENSMUSP00000026027	ENSMODP00000013890
ENSMUSP00000017821	ENSMODP00000023997
ENSMUSP00000031309	ENSMODP00000019174
ENSMUSP00000028368	ENSMODP00000006105
ENSMUSP00000112833	ENSMODP00000025395
ENSMUSP00000022698	ENSMODP00000012182
ENSMUSP00000046695	ENSMODP00000005759
ENSMUSP00000095103	ENSMODP00000038432
ENSMUSP00000029075	ENSMODP00000020495
ENSMUSP00000043554	ENSMODP00000016953
ENSMUSP00000045150	ENSMODP00000038094
ENSMUSP00000077808	ENSMODP00000036539
ENSMUSP00000031263	ENSMODP00000025949
ENSMUSP00000023835	ENSMODP00000007186
ENSMUSP00000093229	ENSMODP00000014214
ENSMUSP00000131010	ENSMODP00000011506
ENSMUSP00000038203	ENSMODP00000019642
ENSMUSP00000031977	ENSMODP00000034038
ENSMUSP00000065770	ENSMODP00000007314
ENSMUSP00000113913	ENSMODP00000000807
ENSMUSP00000118911	ENSMODP00000025533
ENSMUSP00000109340	ENSMODP00000007786
ENSMUSP00000102481	ENSMODP00000037316
ENSMUSP00000100028	ENSMODP00000009993
ENSMUSP00000107770	ENSMODP00000035575
ENSMUSP00000114175	ENSMODP00000037551
ENSMUSP00000041629	ENSMODP00000039322
ENSMUSP00000135959	ENSMODP00000025647
ENSMUSP00000067541	ENSMODP00000004183
ENSMUSP00000031663	ENSMODP00000037028
ENSMUSP00000022749	ENSMODP00000025406
ENSMUSP00000106317	ENSMODP00000025394
ENSMUSP00000124417	ENSMODP00000025382
ENSMUSP00000064246	ENSMODP00000034209
ENSMUSP00000126281	ENSMODP00000000451
ENSMUSP00000034430	ENSMODP00000002643
ENSMUSP00000043222	ENSMODP00000037704
ENSMUSP00000040775	ENSMODP00000026551
ENSMUSP00000037966	ENSMODP00000010843
ENSMUSP00000126243	ENSMODP00000003741
ENSMUSP00000105250	ENSMODP00000016415
ENSMUSP00000130050	ENSMODP00000034504
ENSMUSP00000001280	ENSMODP00000017159
ENSMUSP00000096258	ENSMODP00000002321
ENSMUSP00000128401	ENSMODP00000017940
ENSMUSP00000031354	ENSMODP00000015526
ENSMUSP00000110729	ENSMODP00000004828
ENSMUSP00000130073	ENSMODP00000023572
ENSMUSP00000037487	ENSMODP00000010212
ENSMUSP00000029905	ENSMODP00000011028
ENSMUSP00000018113	ENSMODP00000020372
ENSMUSP00000129831	ENSMODP00000010574
ENSMUSP00000038833	ENSMODP00000009583
ENSMUSP00000019386	ENSMODP00000026216
ENSMUSP00000034792	ENSMODP00000017759
ENSMUSP00000099975	ENSMODP00000020345
ENSMUSP00000007249	ENSMODP00000018923
ENSMUSP00000034697	ENSMODP00000033680
ENSMUSP00000087394	ENSMODP00000038197
ENSMUSP00000027146	ENSMODP00000019572
ENSMUSP00000114404	ENSMODP00000002177
ENSMUSP00000075992	ENSMODP00000011613
ENSMUSP00000099430	ENSMODP00000016140
ENSMUSP00000035583	ENSMODP00000009690
ENSMUSP00000044457	ENSMODP00000018953
ENSMUSP00000036245	ENSMODP00000002133
ENSMUSP00000030289	ENSMODP00000001843
ENSMUSP00000039943	ENSMODP00000000384
ENSMUSP00000070554	ENSMODP00000025829
ENSMUSP00000000642	ENSMODP00000014169
ENSMUSP00000020277	ENSMODP00000013383
ENSMUSP00000051215	ENSMODP00000006152
ENSMUSP00000099984	ENSMODP00000020206
ENSMUSP00000034903	ENSMODP00000023460
ENSMUSP00000031982	ENSMODP00000024048
ENSMUSP00000045864	ENSMODP00000026649
ENSMUSP00000103546	ENSMODP00000009260
ENSMUSP00000003575	ENSMODP00000018612
ENSMUSP00000017851	ENSMODP00000020260
ENSMUSP00000051261	ENSMODP00000022127
ENSMUSP00000047547	ENSMODP00000024585
ENSMUSP00000028679	ENSMODP00000022138
ENSMUSP00000091163	ENSMODP00000032312
ENSMUSP00000002469	ENSMODP00000018806
ENSMUSP00000087694	ENSMODP00000002965
