ENSMUSP00000129557	ENSCAFP00000018255
ENSMUSP00000036674	ENSCAFP00000013243
ENSMUSP00000090884	ENSCAFP00000024998
ENSMUSP00000042867	ENSCAFP00000014218
ENSMUSP00000012426	ENSCAFP00000001653
ENSMUSP00000104411	ENSCAFP00000042751
ENSMUSP00000018630	ENSCAFP00000019792
ENSMUSP00000006718	ENSCAFP00000022068
ENSMUSP00000106861	ENSCAFP00000017397
ENSMUSP00000004784	ENSCAFP00000029060
ENSMUSP00000003808	ENSCAFP00000021938
ENSMUSP00000024049	ENSCAFP00000023624
ENSMUSP00000018382	ENSCAFP00000001306
ENSMUSP00000039653	ENSCAFP00000020713
ENSMUSP00000128621	ENSCAFP00000023867
ENSMUSP00000031278	ENSCAFP00000013047
ENSMUSP00000037654	ENSCAFP00000006577
ENSMUSP00000105486	ENSCAFP00000026382
ENSMUSP00000094528	ENSCAFP00000009752
ENSMUSP00000093960	ENSCAFP00000023231
ENSMUSP00000065643	ENSCAFP00000025744
ENSMUSP00000033386	ENSCAFP00000034903
ENSMUSP00000022707	ENSCAFP00000007928
ENSMUSP00000064131	ENSCAFP00000027825
ENSMUSP00000033450	ENSCAFP00000027822
ENSMUSP00000124459	ENSCAFP00000021439
ENSMUSP00000047199	ENSCAFP00000018637
ENSMUSP00000088670	ENSCAFP00000009013
ENSMUSP00000071627	ENSCAFP00000002219
ENSMUSP00000043250	ENSCAFP00000038852
ENSMUSP00000038909	ENSCAFP00000037058
ENSMUSP00000068629	ENSCAFP00000036156
ENSMUSP00000048978	ENSCAFP00000004138
ENSMUSP00000109067	ENSCAFP00000021283
ENSMUSP00000067752	ENSCAFP00000025317
ENSMUSP00000030306	ENSCAFP00000027841
ENSMUSP00000046788	ENSCAFP00000042574
ENSMUSP00000034427	ENSCAFP00000029742
ENSMUSP00000101046	ENSCAFP00000016350
ENSMUSP00000103028	ENSCAFP00000025289
ENSMUSP00000095964	ENSCAFP00000029577
ENSMUSP00000115260	ENSCAFP00000005947
ENSMUSP00000075089	ENSCAFP00000021524
ENSMUSP00000126897	ENSCAFP00000019815
ENSMUSP00000015509	ENSCAFP00000001004
ENSMUSP00000074533	ENSCAFP00000016801
ENSMUSP00000044432	ENSCAFP00000017186
ENSMUSP00000104459	ENSCAFP00000019101
ENSMUSP00000041942	ENSCAFP00000002598
ENSMUSP00000089513	ENSCAFP00000031903
ENSMUSP00000109098	ENSCAFP00000030461
ENSMUSP00000044245	ENSCAFP00000036507
ENSMUSP00000037532	ENSCAFP00000019811
ENSMUSP00000041622	ENSCAFP00000029719
ENSMUSP00000047923	ENSCAFP00000022462
ENSMUSP00000019199	ENSCAFP00000024310
ENSMUSP00000004968	ENSCAFP00000020467
ENSMUSP00000125373	ENSCAFP00000011995
ENSMUSP00000007216	ENSCAFP00000018117
ENSMUSP00000019662	ENSCAFP00000021690
ENSMUSP00000117346	ENSCAFP00000022596
ENSMUSP00000128446	ENSCAFP00000008348
ENSMUSP00000111093	ENSCAFP00000026189
ENSMUSP00000003117	ENSCAFP00000023182
ENSMUSP00000109886	ENSCAFP00000018253
ENSMUSP00000030763	ENSCAFP00000002791
ENSMUSP00000033380	ENSCAFP00000022118
ENSMUSP00000027697	ENSCAFP00000014825
ENSMUSP00000030814	ENSCAFP00000007048
ENSMUSP00000033918	ENSCAFP00000012387
ENSMUSP00000033755	ENSCAFP00000017550
ENSMUSP00000033756	ENSCAFP00000037940
ENSMUSP00000046476	ENSCAFP00000007818
ENSMUSP00000027538	ENSCAFP00000018354
ENSMUSP00000033549	ENSCAFP00000024345
ENSMUSP00000000329	ENSCAFP00000023486
ENSMUSP00000019068	ENSCAFP00000023467
ENSMUSP00000021262	ENSCAFP00000024897
ENSMUSP00000035250	ENSCAFP00000024930
ENSMUSP00000021268	ENSCAFP00000024944
ENSMUSP00000026795	ENSCAFP00000010341
ENSMUSP00000033341	ENSCAFP00000010262
ENSMUSP00000001562	ENSCAFP00000022958
ENSMUSP00000103391	ENSCAFP00000005775
ENSMUSP00000049070	ENSCAFP00000001922
ENSMUSP00000049248	ENSCAFP00000000922
ENSMUSP00000082895	ENSCAFP00000005678
ENSMUSP00000080832	ENSCAFP00000000979
ENSMUSP00000033501	ENSCAFP00000022990
ENSMUSP00000112110	ENSCAFP00000013479
ENSMUSP00000102770	ENSCAFP00000021172
ENSMUSP00000106443	ENSCAFP00000003650
ENSMUSP00000133245	ENSCAFP00000001491
ENSMUSP00000021046	ENSCAFP00000018897
ENSMUSP00000055535	ENSCAFP00000002001
ENSMUSP00000021062	ENSCAFP00000017225
ENSMUSP00000057595	ENSCAFP00000022190
ENSMUSP00000029541	ENSCAFP00000025707
ENSMUSP00000025500	ENSCAFP00000001025
ENSMUSP00000078971	ENSCAFP00000029725
ENSMUSP00000034267	ENSCAFP00000022577
ENSMUSP00000079864	ENSCAFP00000013959
ENSMUSP00000138944	ENSCAFP00000013459
ENSMUSP00000107850	ENSCAFP00000012396
ENSMUSP00000028328	ENSCAFP00000028861
ENSMUSP00000110022	ENSCAFP00000028733
ENSMUSP00000036830	ENSCAFP00000007656
ENSMUSP00000066839	ENSCAFP00000021476
ENSMUSP00000002809	ENSCAFP00000042734
ENSMUSP00000031795	ENSCAFP00000004699
ENSMUSP00000001595	ENSCAFP00000023374
ENSMUSP00000072472	ENSCAFP00000033673
ENSMUSP00000077919	ENSCAFP00000015628
ENSMUSP00000058613	ENSCAFP00000017344
ENSMUSP00000099692	ENSCAFP00000029371
ENSMUSP00000027377	ENSCAFP00000021360
ENSMUSP00000020702	ENSCAFP00000018107
ENSMUSP00000023807	ENSCAFP00000041937
ENSMUSP00000020704	ENSCAFP00000018097
ENSMUSP00000046610	ENSCAFP00000021381
ENSMUSP00000017637	ENSCAFP00000023677
ENSMUSP00000023601	ENSCAFP00000020181
ENSMUSP00000084091	ENSCAFP00000003057
ENSMUSP00000092654	ENSCAFP00000042913
ENSMUSP00000036227	ENSCAFP00000030233
ENSMUSP00000099882	ENSCAFP00000029789
ENSMUSP00000099922	ENSCAFP00000007396
ENSMUSP00000083077	ENSCAFP00000018277
ENSMUSP00000106874	ENSCAFP00000018327
ENSMUSP00000007340	ENSCAFP00000011046
ENSMUSP00000042410	ENSCAFP00000041421
ENSMUSP00000031037	ENSCAFP00000007210
ENSMUSP00000101500	ENSCAFP00000018683
ENSMUSP00000035257	ENSCAFP00000001179
ENSMUSP00000005952	ENSCAFP00000032670
ENSMUSP00000058045	ENSCAFP00000010258
ENSMUSP00000101768	ENSCAFP00000005013
ENSMUSP00000010605	ENSCAFP00000027366
ENSMUSP00000126137	ENSCAFP00000027533
ENSMUSP00000022746	ENSCAFP00000027517
ENSMUSP00000138230	ENSCAFP00000037510
ENSMUSP00000127300	ENSCAFP00000002148
ENSMUSP00000003434	ENSCAFP00000028725
ENSMUSP00000026093	ENSCAFP00000019445
ENSMUSP00000074864	ENSCAFP00000042805
ENSMUSP00000002880	ENSCAFP00000027189
ENSMUSP00000042466	ENSCAFP00000001269
ENSMUSP00000047278	ENSCAFP00000015344
ENSMUSP00000107444	ENSCAFP00000015347
ENSMUSP00000064462	ENSCAFP00000001267
ENSMUSP00000026427	ENSCAFP00000036079
ENSMUSP00000038757	ENSCAFP00000011219
ENSMUSP00000098548	ENSCAFP00000007816
ENSMUSP00000105212	ENSCAFP00000011829
ENSMUSP00000041897	ENSCAFP00000030086
ENSMUSP00000043085	ENSCAFP00000023803
ENSMUSP00000126377	ENSCAFP00000020337
ENSMUSP00000034046	ENSCAFP00000011415
ENSMUSP00000104533	ENSCAFP00000001165
ENSMUSP00000046585	ENSCAFP00000016128
ENSMUSP00000042352	ENSCAFP00000039247
ENSMUSP00000025048	ENSCAFP00000035977
ENSMUSP00000034822	ENSCAFP00000020918
ENSMUSP00000107347	ENSCAFP00000040632
ENSMUSP00000031674	ENSCAFP00000003004
ENSMUSP00000053238	ENSCAFP00000025369
ENSMUSP00000093141	ENSCAFP00000029086
ENSMUSP00000030041	ENSCAFP00000004896
ENSMUSP00000021689	ENSCAFP00000026399
ENSMUSP00000077781	ENSCAFP00000023863
ENSMUSP00000090987	ENSCAFP00000004789
ENSMUSP00000046216	ENSCAFP00000008867
ENSMUSP00000020779	ENSCAFP00000025760
ENSMUSP00000099466	ENSCAFP00000025737
ENSMUSP00000121309	ENSCAFP00000021003
ENSMUSP00000066516	ENSCAFP00000015882
ENSMUSP00000027226	ENSCAFP00000003598
ENSMUSP00000022954	ENSCAFP00000001665
ENSMUSP00000095025	ENSCAFP00000030367
ENSMUSP00000081455	ENSCAFP00000014716
ENSMUSP00000054452	ENSCAFP00000012856
ENSMUSP00000006424	ENSCAFP00000004331
ENSMUSP00000003438	ENSCAFP00000028722
ENSMUSP00000030477	ENSCAFP00000034674
ENSMUSP00000061390	ENSCAFP00000030999
ENSMUSP00000020692	ENSCAFP00000013904
ENSMUSP00000110074	ENSCAFP00000020942
ENSMUSP00000048721	ENSCAFP00000039969
ENSMUSP00000025076	ENSCAFP00000005897
ENSMUSP00000099512	ENSCAFP00000027123
ENSMUSP00000076887	ENSCAFP00000035021
ENSMUSP00000023726	ENSCAFP00000013149
ENSMUSP00000037576	ENSCAFP00000036371
ENSMUSP00000050730	ENSCAFP00000016465
ENSMUSP00000093743	ENSCAFP00000006412
ENSMUSP00000121125	ENSCAFP00000028496
ENSMUSP00000136968	ENSCAFP00000032835
ENSMUSP00000071905	ENSCAFP00000028500
ENSMUSP00000124131	ENSCAFP00000025949
ENSMUSP00000128674	ENSCAFP00000006408
ENSMUSP00000044231	ENSCAFP00000020623
ENSMUSP00000023486	ENSCAFP00000019067
ENSMUSP00000031729	ENSCAFP00000021123
ENSMUSP00000031691	ENSCAFP00000002572
ENSMUSP00000031690	ENSCAFP00000002573
ENSMUSP00000010191	ENSCAFP00000015681
ENSMUSP00000010195	ENSCAFP00000015600
ENSMUSP00000042667	ENSCAFP00000015697
ENSMUSP00000032376	ENSCAFP00000008315
ENSMUSP00000032093	ENSCAFP00000010158
ENSMUSP00000127892	ENSCAFP00000023232
ENSMUSP00000104878	ENSCAFP00000014368
ENSMUSP00000110955	ENSCAFP00000003856
ENSMUSP00000063380	ENSCAFP00000001557
ENSMUSP00000122915	ENSCAFP00000019049
ENSMUSP00000030376	ENSCAFP00000004162
ENSMUSP00000009689	ENSCAFP00000042679
ENSMUSP00000053913	ENSCAFP00000031772
ENSMUSP00000025680	ENSCAFP00000023039
ENSMUSP00000025685	ENSCAFP00000031518
ENSMUSP00000053270	ENSCAFP00000023110
ENSMUSP00000045973	ENSCAFP00000006542
ENSMUSP00000036150	ENSCAFP00000022969
ENSMUSP00000059026	ENSCAFP00000040206
ENSMUSP00000125871	ENSCAFP00000003716
ENSMUSP00000135677	ENSCAFP00000003708
ENSMUSP00000021519	ENSCAFP00000022960
ENSMUSP00000079926	ENSCAFP00000020170
ENSMUSP00000022217	ENSCAFP00000012996
ENSMUSP00000021714	ENSCAFP00000027024
ENSMUSP00000092464	ENSCAFP00000021911
ENSMUSP00000084977	ENSCAFP00000030468
ENSMUSP00000036721	ENSCAFP00000028252
ENSMUSP00000102813	ENSCAFP00000018239
ENSMUSP00000132008	ENSCAFP00000001241
ENSMUSP00000106963	ENSCAFP00000013467
ENSMUSP00000111359	ENSCAFP00000039778
ENSMUSP00000085872	ENSCAFP00000006489
ENSMUSP00000112934	ENSCAFP00000019378
ENSMUSP00000021467	ENSCAFP00000021364
ENSMUSP00000113851	ENSCAFP00000006932
ENSMUSP00000041173	ENSCAFP00000014166
ENSMUSP00000042317	ENSCAFP00000009996
ENSMUSP00000021413	ENSCAFP00000019772
ENSMUSP00000024742	ENSCAFP00000002917
ENSMUSP00000021004	ENSCAFP00000004775
ENSMUSP00000111151	ENSCAFP00000010009
ENSMUSP00000105350	ENSCAFP00000011007
ENSMUSP00000037324	ENSCAFP00000030087
ENSMUSP00000041294	ENSCAFP00000001366
ENSMUSP00000020008	ENSCAFP00000001321
ENSMUSP00000087587	ENSCAFP00000029965
ENSMUSP00000109904	ENSCAFP00000043077
ENSMUSP00000024755	ENSCAFP00000002961
ENSMUSP00000058308	ENSCAFP00000040267
ENSMUSP00000029780	ENSCAFP00000029783
ENSMUSP00000099947	ENSCAFP00000004485
ENSMUSP00000126340	ENSCAFP00000040526
ENSMUSP00000122855	ENSCAFP00000015470
ENSMUSP00000137256	ENSCAFP00000042532
ENSMUSP00000085642	ENSCAFP00000007197
ENSMUSP00000006697	ENSCAFP00000022253
ENSMUSP00000126449	ENSCAFP00000013056
ENSMUSP00000006703	ENSCAFP00000035513
ENSMUSP00000026886	ENSCAFP00000007605
ENSMUSP00000046530	ENSCAFP00000007563
ENSMUSP00000090277	ENSCAFP00000012421
ENSMUSP00000041790	ENSCAFP00000024642
ENSMUSP00000058730	ENSCAFP00000010770
ENSMUSP00000137517	ENSCAFP00000024338
ENSMUSP00000028071	ENSCAFP00000006187
ENSMUSP00000104311	ENSCAFP00000025113
ENSMUSP00000031750	ENSCAFP00000005216
ENSMUSP00000006618	ENSCAFP00000023444
ENSMUSP00000066894	ENSCAFP00000017041
ENSMUSP00000030898	ENSCAFP00000039810
ENSMUSP00000078281	ENSCAFP00000012677
ENSMUSP00000045432	ENSCAFP00000002774
ENSMUSP00000073246	ENSCAFP00000002131
ENSMUSP00000092735	ENSCAFP00000028913
ENSMUSP00000002444	ENSCAFP00000027631
ENSMUSP00000126313	ENSCAFP00000003031
ENSMUSP00000005600	ENSCAFP00000024289
ENSMUSP00000051107	ENSCAFP00000002647
ENSMUSP00000116057	ENSCAFP00000001307
ENSMUSP00000121212	ENSCAFP00000003191
ENSMUSP00000001008	ENSCAFP00000026832
ENSMUSP00000019074	ENSCAFP00000026825
ENSMUSP00000039600	ENSCAFP00000026835
ENSMUSP00000091779	ENSCAFP00000040578
ENSMUSP00000000926	ENSCAFP00000020819
ENSMUSP00000062239	ENSCAFP00000042339
ENSMUSP00000056364	ENSCAFP00000008984
ENSMUSP00000044054	ENSCAFP00000031106
ENSMUSP00000124470	ENSCAFP00000036076
ENSMUSP00000079598	ENSCAFP00000001935
ENSMUSP00000041263	ENSCAFP00000027342
ENSMUSP00000111409	ENSCAFP00000031753
ENSMUSP00000101903	ENSCAFP00000008259
ENSMUSP00000031902	ENSCAFP00000005476
ENSMUSP00000018651	ENSCAFP00000026616
ENSMUSP00000099585	ENSCAFP00000028568
ENSMUSP00000053755	ENSCAFP00000028560
ENSMUSP00000132687	ENSCAFP00000022787
ENSMUSP00000115718	ENSCAFP00000041145
ENSMUSP00000027178	ENSCAFP00000018218
ENSMUSP00000024832	ENSCAFP00000031887
ENSMUSP00000030915	ENSCAFP00000028664
ENSMUSP00000031437	ENSCAFP00000012092
ENSMUSP00000062607	ENSCAFP00000014679
ENSMUSP00000092252	ENSCAFP00000014665
ENSMUSP00000087525	ENSCAFP00000014661
ENSMUSP00000070868	ENSCAFP00000020325
ENSMUSP00000026172	ENSCAFP00000035638
ENSMUSP00000025718	ENSCAFP00000010756
ENSMUSP00000041300	ENSCAFP00000004620
ENSMUSP00000102647	ENSCAFP00000008390
ENSMUSP00000081225	ENSCAFP00000020133
ENSMUSP00000040531	ENSCAFP00000023125
ENSMUSP00000085683	ENSCAFP00000028873
ENSMUSP00000042271	ENSCAFP00000025456
ENSMUSP00000038633	ENSCAFP00000009449
ENSMUSP00000043636	ENSCAFP00000011411
ENSMUSP00000076660	ENSCAFP00000011534
ENSMUSP00000003268	ENSCAFP00000028160
ENSMUSP00000030212	ENSCAFP00000002279
ENSMUSP00000032874	ENSCAFP00000019561
ENSMUSP00000129800	ENSCAFP00000030020
ENSMUSP00000028214	ENSCAFP00000029648
ENSMUSP00000034600	ENSCAFP00000018839
ENSMUSP00000107062	ENSCAFP00000041849
ENSMUSP00000066701	ENSCAFP00000019099
ENSMUSP00000126826	ENSCAFP00000042471
ENSMUSP00000062507	ENSCAFP00000037953
ENSMUSP00000110311	ENSCAFP00000018846
ENSMUSP00000107694	ENSCAFP00000035934
ENSMUSP00000032252	ENSCAFP00000035771
ENSMUSP00000061470	ENSCAFP00000009132
ENSMUSP00000056353	ENSCAFP00000015936
ENSMUSP00000046368	ENSCAFP00000008783
ENSMUSP00000109229	ENSCAFP00000003035
ENSMUSP00000024711	ENSCAFP00000003076
ENSMUSP00000109244	ENSCAFP00000003070
ENSMUSP00000049380	ENSCAFP00000003047
ENSMUSP00000110422	ENSCAFP00000031600
ENSMUSP00000128922	ENSCAFP00000013874
ENSMUSP00000095845	ENSCAFP00000039644
ENSMUSP00000054545	ENSCAFP00000017037
ENSMUSP00000019920	ENSCAFP00000001426
ENSMUSP00000035649	ENSCAFP00000010681
ENSMUSP00000026410	ENSCAFP00000000106
ENSMUSP00000025208	ENSCAFP00000008523
ENSMUSP00000122056	ENSCAFP00000021332
ENSMUSP00000048714	ENSCAFP00000023944
ENSMUSP00000048350	ENSCAFP00000021553
ENSMUSP00000053431	ENSCAFP00000029683
ENSMUSP00000044945	ENSCAFP00000020737
ENSMUSP00000052544	ENSCAFP00000000032
ENSMUSP00000047888	ENSCAFP00000039820
ENSMUSP00000081664	ENSCAFP00000025905
ENSMUSP00000019290	ENSCAFP00000039613
ENSMUSP00000138618	ENSCAFP00000037408
ENSMUSP00000082220	ENSCAFP00000029570
ENSMUSP00000092794	ENSCAFP00000038266
ENSMUSP00000032974	ENSCAFP00000025459
ENSMUSP00000021142	ENSCAFP00000020631
ENSMUSP00000031423	ENSCAFP00000025477
ENSMUSP00000123078	ENSCAFP00000024003
ENSMUSP00000101700	ENSCAFP00000005367
ENSMUSP00000122896	ENSCAFP00000027357
ENSMUSP00000040416	ENSCAFP00000022150
ENSMUSP00000029575	ENSCAFP00000029639
ENSMUSP00000028623	ENSCAFP00000013939
ENSMUSP00000030643	ENSCAFP00000018700
ENSMUSP00000076505	ENSCAFP00000001191
ENSMUSP00000022550	ENSCAFP00000012166
ENSMUSP00000122103	ENSCAFP00000018942
ENSMUSP00000015256	ENSCAFP00000003177
ENSMUSP00000108302	ENSCAFP00000023790
ENSMUSP00000057871	ENSCAFP00000024780
ENSMUSP00000051118	ENSCAFP00000028708
ENSMUSP00000084062	ENSCAFP00000018292
ENSMUSP00000030782	ENSCAFP00000028954
ENSMUSP00000097909	ENSCAFP00000019683
ENSMUSP00000065205	ENSCAFP00000014137
ENSMUSP00000027896	ENSCAFP00000020384
ENSMUSP00000029307	ENSCAFP00000009003
ENSMUSP00000034883	ENSCAFP00000026323
ENSMUSP00000096728	ENSCAFP00000034242
ENSMUSP00000054226	ENSCAFP00000037494
ENSMUSP00000107035	ENSCAFP00000017429
ENSMUSP00000094076	ENSCAFP00000036652
ENSMUSP00000053899	ENSCAFP00000008824
ENSMUSP00000106460	ENSCAFP00000024276
ENSMUSP00000031868	ENSCAFP00000004919
ENSMUSP00000031713	ENSCAFP00000005317
ENSMUSP00000029208	ENSCAFP00000015478
ENSMUSP00000001122	ENSCAFP00000027600
ENSMUSP00000021161	ENSCAFP00000022673
ENSMUSP00000080717	ENSCAFP00000015089
ENSMUSP00000000573	ENSCAFP00000020233
ENSMUSP00000022040	ENSCAFP00000001958
ENSMUSP00000103066	ENSCAFP00000016772
ENSMUSP00000129216	ENSCAFP00000012263
ENSMUSP00000110669	ENSCAFP00000004740
ENSMUSP00000110348	ENSCAFP00000006886
ENSMUSP00000063051	ENSCAFP00000032079
ENSMUSP00000036360	ENSCAFP00000032168
ENSMUSP00000045542	ENSCAFP00000040333
ENSMUSP00000046782	ENSCAFP00000023693
ENSMUSP00000020441	ENSCAFP00000024133
ENSMUSP00000045490	ENSCAFP00000000746
ENSMUSP00000068716	ENSCAFP00000002376
ENSMUSP00000014545	ENSCAFP00000013600
ENSMUSP00000091964	ENSCAFP00000013729
ENSMUSP00000044903	ENSCAFP00000012843
ENSMUSP00000003659	ENSCAFP00000021570
ENSMUSP00000022213	ENSCAFP00000013230
ENSMUSP00000029682	ENSCAFP00000025076
ENSMUSP00000060441	ENSCAFP00000036551
ENSMUSP00000057488	ENSCAFP00000002446
ENSMUSP00000025755	ENSCAFP00000002919
ENSMUSP00000064220	ENSCAFP00000038471
ENSMUSP00000059654	ENSCAFP00000002925
ENSMUSP00000046812	ENSCAFP00000002924
ENSMUSP00000106772	ENSCAFP00000020047
ENSMUSP00000040229	ENSCAFP00000011342
ENSMUSP00000044627	ENSCAFP00000031222
ENSMUSP00000090528	ENSCAFP00000027100
ENSMUSP00000113090	ENSCAFP00000010211
ENSMUSP00000043633	ENSCAFP00000040184
ENSMUSP00000031446	ENSCAFP00000010222
ENSMUSP00000025645	ENSCAFP00000024154
ENSMUSP00000109092	ENSCAFP00000002697
ENSMUSP00000006523	ENSCAFP00000027229
ENSMUSP00000095169	ENSCAFP00000038401
ENSMUSP00000129378	ENSCAFP00000013877
