ENSLOCP00000011371	ENSORLP00000011382
ENSLOCP00000008734	ENSORLP00000004298
ENSLOCP00000014576	ENSORLP00000009022
ENSLOCP00000005356	ENSORLP00000010698
ENSLOCP00000005356	ENSORLP00000011805
ENSLOCP00000005033	ENSORLP00000011799
ENSLOCP00000004761	ENSORLP00000010106
ENSLOCP00000000938	ENSORLP00000016231
ENSLOCP00000006533	ENSORLP00000020930
ENSLOCP00000006533	ENSORLP00000018662
ENSLOCP00000006691	ENSORLP00000005348
ENSLOCP00000001361	ENSORLP00000004264
ENSLOCP00000006948	ENSORLP00000005046
ENSLOCP00000006948	ENSORLP00000008900
ENSLOCP00000013471	ENSORLP00000022821
ENSLOCP00000019945	ENSORLP00000016795
ENSLOCP00000001954	ENSORLP00000021772
ENSLOCP00000001962	ENSORLP00000013008
ENSLOCP00000002578	ENSORLP00000010763
ENSLOCP00000009983	ENSORLP00000013654
ENSLOCP00000009983	ENSORLP00000025491
ENSLOCP00000019179	ENSORLP00000002328
ENSLOCP00000012953	ENSORLP00000020331
ENSLOCP00000021847	ENSORLP00000007167
ENSLOCP00000015449	ENSORLP00000025625
ENSLOCP00000007340	ENSORLP00000021655
ENSLOCP00000005920	ENSORLP00000001018
ENSLOCP00000016604	ENSORLP00000012502
ENSLOCP00000019609	ENSORLP00000013287
ENSLOCP00000009405	ENSORLP00000012411
ENSLOCP00000019306	ENSORLP00000018097
ENSLOCP00000011895	ENSORLP00000005077
ENSLOCP00000006448	ENSORLP00000008607
ENSLOCP00000011962	ENSORLP00000009584
ENSLOCP00000011240	ENSORLP00000022020
ENSLOCP00000006499	ENSORLP00000022851
ENSLOCP00000009471	ENSORLP00000009589
ENSLOCP00000007628	ENSORLP00000019677
ENSLOCP00000005310	ENSORLP00000010876
ENSLOCP00000002972	ENSORLP00000007022
ENSLOCP00000009910	ENSORLP00000005015
ENSLOCP00000009918	ENSORLP00000020711
ENSLOCP00000017649	ENSORLP00000010817
ENSLOCP00000013021	ENSORLP00000007342
ENSLOCP00000006143	ENSORLP00000011413
ENSLOCP00000008680	ENSORLP00000022256
ENSLOCP00000018224	ENSORLP00000001811
ENSLOCP00000018185	ENSORLP00000019505
ENSLOCP00000020346	ENSORLP00000004295
ENSLOCP00000019133	ENSORLP00000002403
ENSLOCP00000012778	ENSORLP00000020546
ENSLOCP00000006828	ENSORLP00000013879
ENSLOCP00000006828	ENSORLP00000020030
ENSLOCP00000018546	ENSORLP00000012324
ENSLOCP00000018544	ENSORLP00000012321
ENSLOCP00000016171	ENSORLP00000000585
ENSLOCP00000006853	ENSORLP00000020019
ENSLOCP00000006853	ENSORLP00000013874
ENSLOCP00000010447	ENSORLP00000004387
ENSLOCP00000010447	ENSORLP00000005138
ENSLOCP00000012104	ENSORLP00000004358
ENSLOCP00000013595	ENSORLP00000025595
ENSLOCP00000008505	ENSORLP00000002330
ENSLOCP00000008505	ENSORLP00000014471
ENSLOCP00000017548	ENSORLP00000002265
ENSLOCP00000016248	ENSORLP00000022693
ENSLOCP00000019163	ENSORLP00000005351
ENSLOCP00000009632	ENSORLP00000019519
ENSLOCP00000010916	ENSORLP00000018585
ENSLOCP00000003607	ENSORLP00000018984
ENSLOCP00000015072	ENSORLP00000006254
ENSLOCP00000015072	ENSORLP00000007804
ENSLOCP00000003380	ENSORLP00000025830
ENSLOCP00000002426	ENSORLP00000010622
ENSLOCP00000012613	ENSORLP00000010171
ENSLOCP00000019084	ENSORLP00000003679
ENSLOCP00000002147	ENSORLP00000013378
ENSLOCP00000021122	ENSORLP00000013805
ENSLOCP00000010539	ENSORLP00000021378
ENSLOCP00000006545	ENSORLP00000021967
ENSLOCP00000006545	ENSORLP00000008922
ENSLOCP00000004953	ENSORLP00000010172
ENSLOCP00000000660	ENSORLP00000010172
ENSLOCP00000003234	ENSORLP00000024935
ENSLOCP00000006565	ENSORLP00000023595
ENSLOCP00000009421	ENSORLP00000012679
ENSLOCP00000016126	ENSORLP00000016516
ENSLOCP00000005393	ENSORLP00000011838
ENSLOCP00000019213	ENSORLP00000019208
ENSLOCP00000007722	ENSORLP00000013358
ENSLOCP00000014564	ENSORLP00000015239
ENSLOCP00000011332	ENSORLP00000021947
ENSLOCP00000009470	ENSORLP00000011216
ENSLOCP00000012355	ENSORLP00000022337
ENSLOCP00000011077	ENSORLP00000022670
ENSLOCP00000017982	ENSORLP00000010397
ENSLOCP00000017364	ENSORLP00000012944
ENSLOCP00000016082	ENSORLP00000017118
ENSLOCP00000011435	ENSORLP00000009355
ENSLOCP00000003826	ENSORLP00000008594
ENSLOCP00000020442	ENSORLP00000020183
ENSLOCP00000011874	ENSORLP00000008023
ENSLOCP00000021247	ENSORLP00000022797
ENSLOCP00000018907	ENSORLP00000011723
ENSLOCP00000018175	ENSORLP00000025157
ENSLOCP00000006280	ENSORLP00000001341
ENSLOCP00000016135	ENSORLP00000021264
ENSLOCP00000014009	ENSORLP00000009115
ENSLOCP00000012449	ENSORLP00000001104
ENSLOCP00000014471	ENSORLP00000002977
ENSLOCP00000019926	ENSORLP00000002814
ENSLOCP00000016691	ENSORLP00000018923
ENSLOCP00000016003	ENSORLP00000004009
ENSLOCP00000010143	ENSORLP00000023720
ENSLOCP00000003063	ENSORLP00000012925
ENSLOCP00000010443	ENSORLP00000018812
ENSLOCP00000010443	ENSORLP00000008407
ENSLOCP00000010983	ENSORLP00000000034
ENSLOCP00000018480	ENSORLP00000013671
ENSLOCP00000001254	ENSORLP00000017746
ENSLOCP00000001148	ENSORLP00000006742
ENSLOCP00000009433	ENSORLP00000001903
ENSLOCP00000007419	ENSORLP00000009294
ENSLOCP00000007419	ENSORLP00000006181
ENSLOCP00000007580	ENSORLP00000018956
ENSLOCP00000003101	ENSORLP00000014883
ENSLOCP00000015600	ENSORLP00000017224
ENSLOCP00000015600	ENSORLP00000004455
ENSLOCP00000014762	ENSORLP00000007557
ENSLOCP00000014741	ENSORLP00000007575
ENSLOCP00000015152	ENSORLP00000007606
ENSLOCP00000015152	ENSORLP00000020003
ENSLOCP00000019453	ENSORLP00000019078
ENSLOCP00000011251	ENSORLP00000018441
ENSLOCP00000004793	ENSORLP00000020818
ENSLOCP00000016120	ENSORLP00000016131
ENSLOCP00000016120	ENSORLP00000021474
ENSLOCP00000011258	ENSORLP00000002773
ENSLOCP00000011258	ENSORLP00000018416
ENSLOCP00000016726	ENSORLP00000003316
ENSLOCP00000017308	ENSORLP00000024376
ENSLOCP00000010754	ENSORLP00000015721
ENSLOCP00000005040	ENSORLP00000005075
ENSLOCP00000004226	ENSORLP00000004108
ENSLOCP00000004226	ENSORLP00000005033
ENSLOCP00000005055	ENSORLP00000005082
ENSLOCP00000004207	ENSORLP00000004103
ENSLOCP00000002039	ENSORLP00000003294
ENSLOCP00000020195	ENSORLP00000015324
ENSLOCP00000019518	ENSORLP00000011019
ENSLOCP00000003844	ENSORLP00000002202
ENSLOCP00000016149	ENSORLP00000003059
ENSLOCP00000003765	ENSORLP00000018136
ENSLOCP00000008575	ENSORLP00000018833
ENSLOCP00000015553	ENSORLP00000004173
ENSLOCP00000015536	ENSORLP00000002542
ENSLOCP00000021066	ENSORLP00000025253
ENSLOCP00000007452	ENSORLP00000018825
ENSLOCP00000015909	ENSORLP00000004274
ENSLOCP00000019661	ENSORLP00000015164
ENSLOCP00000014569	ENSORLP00000016308
ENSLOCP00000014579	ENSORLP00000001218
ENSLOCP00000021145	ENSORLP00000024941
ENSLOCP00000021146	ENSORLP00000024951
ENSLOCP00000004485	ENSORLP00000009657
ENSLOCP00000004485	ENSORLP00000018316
ENSLOCP00000003977	ENSORLP00000022635
ENSLOCP00000015256	ENSORLP00000007380
ENSLOCP00000015256	ENSORLP00000013444
ENSLOCP00000017733	ENSORLP00000018715
ENSLOCP00000017733	ENSORLP00000010626
ENSLOCP00000001796	ENSORLP00000012886
ENSLOCP00000001796	ENSORLP00000001311
ENSLOCP00000006578	ENSORLP00000013607
ENSLOCP00000010716	ENSORLP00000025288
ENSLOCP00000005658	ENSORLP00000019460
ENSLOCP00000000809	ENSORLP00000017788
ENSLOCP00000004271	ENSORLP00000013845
ENSLOCP00000008619	ENSORLP00000013381
ENSLOCP00000017785	ENSORLP00000008608
ENSLOCP00000016973	ENSORLP00000010861
ENSLOCP00000012649	ENSORLP00000001374
ENSLOCP00000015071	ENSORLP00000014802
ENSLOCP00000019197	ENSORLP00000013843
ENSLOCP00000001084	ENSORLP00000011582
ENSLOCP00000007361	ENSORLP00000018111
ENSLOCP00000013226	ENSORLP00000005218
ENSLOCP00000018322	ENSORLP00000009200
ENSLOCP00000013456	ENSORLP00000013299
ENSLOCP00000008342	ENSORLP00000016364
ENSLOCP00000018119	ENSORLP00000016628
ENSLOCP00000018119	ENSORLP00000006481
ENSLOCP00000014306	ENSORLP00000019561
ENSLOCP00000014306	ENSORLP00000011906
ENSLOCP00000015075	ENSORLP00000016312
ENSLOCP00000020291	ENSORLP00000022007
ENSLOCP00000008490	ENSORLP00000007691
ENSLOCP00000021287	ENSORLP00000022338
ENSLOCP00000002488	ENSORLP00000014848
ENSLOCP00000002663	ENSORLP00000025861
ENSLOCP00000002663	ENSORLP00000021466
ENSLOCP00000021031	ENSORLP00000012741
ENSLOCP00000004459	ENSORLP00000016856
ENSLOCP00000005530	ENSORLP00000015714
ENSLOCP00000020773	ENSORLP00000011487
ENSLOCP00000018929	ENSORLP00000003892
ENSLOCP00000001299	ENSORLP00000011358
ENSLOCP00000004757	ENSORLP00000020718
ENSLOCP00000013465	ENSORLP00000013293
ENSLOCP00000014258	ENSORLP00000017749
ENSLOCP00000018471	ENSORLP00000019122
ENSLOCP00000005419	ENSORLP00000015603
ENSLOCP00000018476	ENSORLP00000002458
ENSLOCP00000006667	ENSORLP00000002704
ENSLOCP00000006667	ENSORLP00000011850
ENSLOCP00000017850	ENSORLP00000018351
ENSLOCP00000017850	ENSORLP00000018365
ENSLOCP00000011010	ENSORLP00000020399
ENSLOCP00000011010	ENSORLP00000003855
ENSLOCP00000005447	ENSORLP00000008892
ENSLOCP00000020933	ENSORLP00000024191
ENSLOCP00000007705	ENSORLP00000021108
ENSLOCP00000007685	ENSORLP00000021088
ENSLOCP00000017282	ENSORLP00000008411
ENSLOCP00000017282	ENSORLP00000002451
ENSLOCP00000012111	ENSORLP00000002066
ENSLOCP00000012148	ENSORLP00000006366
ENSLOCP00000008429	ENSORLP00000016596
ENSLOCP00000008429	ENSORLP00000012171
ENSLOCP00000019526	ENSORLP00000000631
ENSLOCP00000019528	ENSORLP00000000643
ENSLOCP00000017517	ENSORLP00000004611
ENSLOCP00000017582	ENSORLP00000003863
ENSLOCP00000017755	ENSORLP00000003521
ENSLOCP00000019207	ENSORLP00000024553
ENSLOCP00000016494	ENSORLP00000003946
ENSLOCP00000012612	ENSORLP00000010202
ENSLOCP00000001689	ENSORLP00000004025
ENSLOCP00000019939	ENSORLP00000002826
ENSLOCP00000019939	ENSORLP00000003087
ENSLOCP00000015630	ENSORLP00000008236
ENSLOCP00000001541	ENSORLP00000015074
ENSLOCP00000007379	ENSORLP00000025646
ENSLOCP00000018274	ENSORLP00000008488
ENSLOCP00000012349	ENSORLP00000019732
ENSLOCP00000012336	ENSORLP00000019739
ENSLOCP00000020213	ENSORLP00000005562
ENSLOCP00000018271	ENSORLP00000008483
ENSLOCP00000020214	ENSORLP00000005568
ENSLOCP00000012326	ENSORLP00000019744
ENSLOCP00000001894	ENSORLP00000010004
ENSLOCP00000004643	ENSORLP00000004538
ENSLOCP00000004643	ENSORLP00000020669
ENSLOCP00000006247	ENSORLP00000000954
ENSLOCP00000012176	ENSORLP00000022406
ENSLOCP00000008344	ENSORLP00000019916
ENSLOCP00000012014	ENSORLP00000006018
ENSLOCP00000004731	ENSORLP00000022541
ENSLOCP00000004731	ENSORLP00000021818
ENSLOCP00000009358	ENSORLP00000001585
ENSLOCP00000018216	ENSORLP00000009486
ENSLOCP00000006899	ENSORLP00000024109
ENSLOCP00000019725	ENSORLP00000020061
ENSLOCP00000019725	ENSORLP00000013463
ENSLOCP00000013506	ENSORLP00000019839
ENSLOCP00000018203	ENSORLP00000018070
ENSLOCP00000012560	ENSORLP00000010133
ENSLOCP00000012560	ENSORLP00000013279
ENSLOCP00000014625	ENSORLP00000011283
ENSLOCP00000004516	ENSORLP00000008432
ENSLOCP00000011163	ENSORLP00000022136
ENSLOCP00000011163	ENSORLP00000019865
ENSLOCP00000020287	ENSORLP00000022013
ENSLOCP00000007217	ENSORLP00000021863
ENSLOCP00000000876	ENSORLP00000007508
ENSLOCP00000021189	ENSORLP00000019672
ENSLOCP00000002235	ENSORLP00000013177
ENSLOCP00000003249	ENSORLP00000021900
ENSLOCP00000019473	ENSORLP00000012795
ENSLOCP00000019473	ENSORLP00000005479
ENSLOCP00000013472	ENSORLP00000025635
ENSLOCP00000018778	ENSORLP00000001420
ENSLOCP00000017623	ENSORLP00000000891
ENSLOCP00000017623	ENSORLP00000000591
ENSLOCP00000009993	ENSORLP00000023919
ENSLOCP00000009993	ENSORLP00000017003
ENSLOCP00000001969	ENSORLP00000017575
ENSLOCP00000001969	ENSORLP00000014312
ENSLOCP00000021935	ENSORLP00000021168
ENSLOCP00000021935	ENSORLP00000004254
ENSLOCP00000022309	ENSORLP00000008713
ENSLOCP00000022309	ENSORLP00000023858
ENSLOCP00000019632	ENSORLP00000015312
ENSLOCP00000011378	ENSORLP00000006956
ENSLOCP00000019045	ENSORLP00000020381
ENSLOCP00000019295	ENSORLP00000021195
ENSLOCP00000019299	ENSORLP00000021465
ENSLOCP00000014495	ENSORLP00000002046
ENSLOCP00000002207	ENSORLP00000025494
ENSLOCP00000011741	ENSORLP00000013846
ENSLOCP00000000046	ENSORLP00000004640
ENSLOCP00000016875	ENSORLP00000003433
ENSLOCP00000014518	ENSORLP00000009051
ENSLOCP00000017175	ENSORLP00000008276
ENSLOCP00000010114	ENSORLP00000014984
ENSLOCP00000011158	ENSORLP00000018887
ENSLOCP00000006055	ENSORLP00000005319
ENSLOCP00000002443	ENSORLP00000007383
ENSLOCP00000013984	ENSORLP00000018843
ENSLOCP00000021070	ENSORLP00000014859
ENSLOCP00000001317	ENSORLP00000017630
ENSLOCP00000001059	ENSORLP00000011608
ENSLOCP00000015979	ENSORLP00000009706
ENSLOCP00000007485	ENSORLP00000012878
ENSLOCP00000018776	ENSORLP00000013942
ENSLOCP00000021177	ENSORLP00000023283
ENSLOCP00000007029	ENSORLP00000002967
ENSLOCP00000010750	ENSORLP00000003771
ENSLOCP00000019055	ENSORLP00000019927
ENSLOCP00000013710	ENSORLP00000020153
ENSLOCP00000013710	ENSORLP00000008018
ENSLOCP00000015642	ENSORLP00000009719
ENSLOCP00000010004	ENSORLP00000014935
ENSLOCP00000005107	ENSORLP00000009264
ENSLOCP00000004821	ENSORLP00000016385
ENSLOCP00000001873	ENSORLP00000011881
ENSLOCP00000000044	ENSORLP00000004619
ENSLOCP00000007623	ENSORLP00000012934
ENSLOCP00000003613	ENSORLP00000011736
ENSLOCP00000003613	ENSORLP00000021464
ENSLOCP00000002575	ENSORLP00000014691
ENSLOCP00000013512	ENSORLP00000025699
ENSLOCP00000009795	ENSORLP00000014496
ENSLOCP00000003206	ENSORLP00000018746
ENSLOCP00000004778	ENSORLP00000001680
ENSLOCP00000004697	ENSORLP00000009187
ENSLOCP00000008012	ENSORLP00000004783
ENSLOCP00000008012	ENSORLP00000018713
ENSLOCP00000014668	ENSORLP00000025092
ENSLOCP00000014668	ENSORLP00000008947
ENSLOCP00000006242	ENSORLP00000007330
ENSLOCP00000007493	ENSORLP00000021066
ENSLOCP00000007493	ENSORLP00000017966
ENSLOCP00000000310	ENSORLP00000002965
ENSLOCP00000009760	ENSORLP00000019821
ENSLOCP00000009760	ENSORLP00000011260
ENSLOCP00000001848	ENSORLP00000003189
ENSLOCP00000008215	ENSORLP00000015135
ENSLOCP00000008179	ENSORLP00000015125
ENSLOCP00000008179	ENSORLP00000011254
ENSLOCP00000020161	ENSORLP00000020032
ENSLOCP00000020161	ENSORLP00000018578
ENSLOCP00000020208	ENSORLP00000024718
ENSLOCP00000018594	ENSORLP00000016238
ENSLOCP00000003504	ENSORLP00000013929
ENSLOCP00000018276	ENSORLP00000007935
ENSLOCP00000002245	ENSORLP00000020501
ENSLOCP00000005952	ENSORLP00000005391
ENSLOCP00000017532	ENSORLP00000001836
ENSLOCP00000017532	ENSORLP00000002802
ENSLOCP00000006072	ENSORLP00000004251
ENSLOCP00000005221	ENSORLP00000019486
ENSLOCP00000015458	ENSORLP00000007785
ENSLOCP00000006402	ENSORLP00000008561
ENSLOCP00000002216	ENSORLP00000003224
ENSLOCP00000002216	ENSORLP00000020210
ENSLOCP00000014030	ENSORLP00000003955
ENSLOCP00000014030	ENSORLP00000005716
ENSLOCP00000004614	ENSORLP00000009447
ENSLOCP00000004050	ENSORLP00000016755
ENSLOCP00000004811	ENSORLP00000025680
ENSLOCP00000000246	ENSORLP00000014402
ENSLOCP00000016808	ENSORLP00000017370
ENSLOCP00000006604	ENSORLP00000015976
ENSLOCP00000006604	ENSORLP00000010846
ENSLOCP00000016806	ENSORLP00000012076
ENSLOCP00000000222	ENSORLP00000014408
ENSLOCP00000003174	ENSORLP00000014665
ENSLOCP00000008710	ENSORLP00000019899
ENSLOCP00000008710	ENSORLP00000013511
ENSLOCP00000021302	ENSORLP00000021608
ENSLOCP00000021302	ENSORLP00000014160
ENSLOCP00000002027	ENSORLP00000006974
ENSLOCP00000003711	ENSORLP00000013016
ENSLOCP00000003711	ENSORLP00000010417
ENSLOCP00000001407	ENSORLP00000020789
ENSLOCP00000013996	ENSORLP00000004278
ENSLOCP00000000159	ENSORLP00000020050
ENSLOCP00000003313	ENSORLP00000008218
ENSLOCP00000005911	ENSORLP00000012723
ENSLOCP00000003804	ENSORLP00000007001
ENSLOCP00000003804	ENSORLP00000002142
ENSLOCP00000019706	ENSORLP00000014484
ENSLOCP00000013006	ENSORLP00000008138
ENSLOCP00000000003	ENSORLP00000007930
ENSLOCP00000020482	ENSORLP00000019891
ENSLOCP00000018516	ENSORLP00000001824
ENSLOCP00000005726	ENSORLP00000004962
ENSLOCP00000005353	ENSORLP00000019309
ENSLOCP00000005332	ENSORLP00000019320
ENSLOCP00000005332	ENSORLP00000020797
ENSLOCP00000006003	ENSORLP00000009470
ENSLOCP00000008839	ENSORLP00000006865
ENSLOCP00000013373	ENSORLP00000013786
ENSLOCP00000013953	ENSORLP00000004088
ENSLOCP00000010520	ENSORLP00000005176
ENSLOCP00000010551	ENSORLP00000005255
ENSLOCP00000004872	ENSORLP00000008062
ENSLOCP00000011038	ENSORLP00000010903
ENSLOCP00000010581	ENSORLP00000003924
ENSLOCP00000010581	ENSORLP00000005958
ENSLOCP00000018383	ENSORLP00000009004
ENSLOCP00000005593	ENSORLP00000011879
ENSLOCP00000005593	ENSORLP00000017466
ENSLOCP00000022225	ENSORLP00000016407
ENSLOCP00000001520	ENSORLP00000005899
ENSLOCP00000019545	ENSORLP00000000178
ENSLOCP00000002445	ENSORLP00000018925
ENSLOCP00000006609	ENSORLP00000003200
ENSLOCP00000007633	ENSORLP00000016932
ENSLOCP00000002749	ENSORLP00000006703
ENSLOCP00000007449	ENSORLP00000020649
ENSLOCP00000019935	ENSORLP00000013120
ENSLOCP00000011379	ENSORLP00000021408
ENSLOCP00000017777	ENSORLP00000017806
ENSLOCP00000007280	ENSORLP00000015964
ENSLOCP00000003880	ENSORLP00000024786
ENSLOCP00000018190	ENSORLP00000000640
ENSLOCP00000018932	ENSORLP00000012533
ENSLOCP00000018932	ENSORLP00000004693
ENSLOCP00000015379	ENSORLP00000022311
ENSLOCP00000015379	ENSORLP00000021091
ENSLOCP00000020033	ENSORLP00000013449
ENSLOCP00000001598	ENSORLP00000009845
ENSLOCP00000007296	ENSORLP00000006238
ENSLOCP00000007296	ENSORLP00000011233
ENSLOCP00000010070	ENSORLP00000021090
ENSLOCP00000015471	ENSORLP00000005200
ENSLOCP00000014096	ENSORLP00000025382
ENSLOCP00000007824	ENSORLP00000013273
ENSLOCP00000014117	ENSORLP00000025778
ENSLOCP00000002613	ENSORLP00000019118
ENSLOCP00000008628	ENSORLP00000002793
ENSLOCP00000008628	ENSORLP00000007565
ENSLOCP00000009922	ENSORLP00000016480
ENSLOCP00000004498	ENSORLP00000018319
ENSLOCP00000008216	ENSORLP00000021518
ENSLOCP00000002496	ENSORLP00000019101
ENSLOCP00000007723	ENSORLP00000016960
ENSLOCP00000007620	ENSORLP00000017089
ENSLOCP00000007620	ENSORLP00000013597
ENSLOCP00000002225	ENSORLP00000001810
ENSLOCP00000011965	ENSORLP00000008804
ENSLOCP00000011965	ENSORLP00000010408
ENSLOCP00000020080	ENSORLP00000015382
ENSLOCP00000005783	ENSORLP00000000955
ENSLOCP00000019185	ENSORLP00000024303
ENSLOCP00000012674	ENSORLP00000007370
ENSLOCP00000012674	ENSORLP00000011202
ENSLOCP00000011473	ENSORLP00000002460
ENSLOCP00000018474	ENSORLP00000001945
ENSLOCP00000010604	ENSORLP00000021417
ENSLOCP00000003378	ENSORLP00000014546
ENSLOCP00000010054	ENSORLP00000024006
ENSLOCP00000019819	ENSORLP00000014533
ENSLOCP00000007257	ENSORLP00000025283
ENSLOCP00000007257	ENSORLP00000023562
ENSLOCP00000021652	ENSORLP00000025361
ENSLOCP00000021688	ENSORLP00000011970
ENSLOCP00000017754	ENSORLP00000017810
ENSLOCP00000019618	ENSORLP00000002544
ENSLOCP00000019618	ENSORLP00000013157
ENSLOCP00000022091	ENSORLP00000017189
ENSLOCP00000004204	ENSORLP00000014924
ENSLOCP00000008543	ENSORLP00000019751
ENSLOCP00000008543	ENSORLP00000013289
ENSLOCP00000011839	ENSORLP00000008039
ENSLOCP00000013145	ENSORLP00000020092
ENSLOCP00000013145	ENSORLP00000007978
ENSLOCP00000021590	ENSORLP00000019342
ENSLOCP00000008685	ENSORLP00000022468
ENSLOCP00000008726	ENSORLP00000007005
ENSLOCP00000004373	ENSORLP00000009287
