ENSTGUP00000008915	ENSLOCP00000009128
ENSTGUP00000015654	ENSLOCP00000009433
ENSTGUP00000009469	ENSLOCP00000007580
ENSTGUP00000002508	ENSLOCP00000015600
ENSTGUP00000010870	ENSLOCP00000014762
ENSTGUP00000010505	ENSLOCP00000012489
ENSTGUP00000007392	ENSLOCP00000016111
ENSTGUP00000007382	ENSLOCP00000016120
ENSTGUP00000005260	ENSLOCP00000011258
ENSTGUP00000005613	ENSLOCP00000008502
ENSTGUP00000010013	ENSLOCP00000010754
ENSTGUP00000003654	ENSLOCP00000005040
ENSTGUP00000007258	ENSLOCP00000004226
ENSTGUP00000003652	ENSLOCP00000005055
ENSTGUP00000007261	ENSLOCP00000004207
ENSTGUP00000003258	ENSLOCP00000020195
ENSTGUP00000002891	ENSLOCP00000020758
ENSTGUP00000015287	ENSLOCP00000019518
ENSTGUP00000001094	ENSLOCP00000005716
ENSTGUP00000007581	ENSLOCP00000016149
ENSTGUP00000002648	ENSLOCP00000013403
ENSTGUP00000001638	ENSLOCP00000003765
ENSTGUP00000002188	ENSLOCP00000015553
ENSTGUP00000002190	ENSLOCP00000015536
ENSTGUP00000008066	ENSLOCP00000021066
ENSTGUP00000002551	ENSLOCP00000019661
ENSTGUP00000013312	ENSLOCP00000012721
ENSTGUP00000010642	ENSLOCP00000014558
ENSTGUP00000010646	ENSLOCP00000014569
ENSTGUP00000012303	ENSLOCP00000021145
ENSTGUP00000012301	ENSLOCP00000021146
ENSTGUP00000011871	ENSLOCP00000003977
ENSTGUP00000000742	ENSLOCP00000001796
ENSTGUP00000006629	ENSLOCP00000006578
ENSTGUP00000003796	ENSLOCP00000005658
ENSTGUP00000006934	ENSLOCP00000016973
ENSTGUP00000011117	ENSLOCP00000015071
ENSTGUP00000000374	ENSLOCP00000001084
ENSTGUP00000011415	ENSLOCP00000007361
ENSTGUP00000001560	ENSLOCP00000013226
ENSTGUP00000009514	ENSLOCP00000013456
ENSTGUP00000002561	ENSLOCP00000002711
ENSTGUP00000013124	ENSLOCP00000014306
ENSTGUP00000012102	ENSLOCP00000015075
ENSTGUP00000002417	ENSLOCP00000019744
ENSTGUP00000013346	ENSLOCP00000020291
ENSTGUP00000013353	ENSLOCP00000021287
ENSTGUP00000016403	ENSLOCP00000002488
ENSTGUP00000017623	ENSLOCP00000002663
ENSTGUP00000013167	ENSLOCP00000021031
ENSTGUP00000009670	ENSLOCP00000020394
ENSTGUP00000009752	ENSLOCP00000001781
ENSTGUP00000000287	ENSLOCP00000001299
ENSTGUP00000008638	ENSLOCP00000004757
ENSTGUP00000010255	ENSLOCP00000014258
ENSTGUP00000008451	ENSLOCP00000018471
ENSTGUP00000004287	ENSLOCP00000006667
ENSTGUP00000008720	ENSLOCP00000017850
ENSTGUP00000007254	ENSLOCP00000005447
ENSTGUP00000000599	ENSLOCP00000007685
ENSTGUP00000003357	ENSLOCP00000012148
ENSTGUP00000009842	ENSLOCP00000008429
ENSTGUP00000004389	ENSLOCP00000019522
ENSTGUP00000004395	ENSLOCP00000019528
ENSTGUP00000004777	ENSLOCP00000017521
ENSTGUP00000014311	ENSLOCP00000017582
ENSTGUP00000010722	ENSLOCP00000016494
ENSTGUP00000006018	ENSLOCP00000001689
ENSTGUP00000013065	ENSLOCP00000019939
ENSTGUP00000012921	ENSLOCP00000015630
ENSTGUP00000013073	ENSLOCP00000020623
ENSTGUP00000009461	ENSLOCP00000001021
ENSTGUP00000008600	ENSLOCP00000007379
ENSTGUP00000013380	ENSLOCP00000012349
ENSTGUP00000003980	ENSLOCP00000020213
ENSTGUP00000003970	ENSLOCP00000020214
ENSTGUP00000013381	ENSLOCP00000012326
ENSTGUP00000017814	ENSLOCP00000006247
ENSTGUP00000013262	ENSLOCP00000012176
ENSTGUP00000001041	ENSLOCP00000004731
ENSTGUP00000010929	ENSLOCP00000006899
ENSTGUP00000002766	ENSLOCP00000019725
ENSTGUP00000013550	ENSLOCP00000014625
ENSTGUP00000012344	ENSLOCP00000011163
ENSTGUP00000008206	ENSLOCP00000020251
ENSTGUP00000013344	ENSLOCP00000020287
ENSTGUP00000011271	ENSLOCP00000007217
ENSTGUP00000003913	ENSLOCP00000000876
ENSTGUP00000012263	ENSLOCP00000021189
ENSTGUP00000002408	ENSLOCP00000002235
ENSTGUP00000013640	ENSLOCP00000019473
ENSTGUP00000004846	ENSLOCP00000013472
ENSTGUP00000005066	ENSLOCP00000018778
ENSTGUP00000002184	ENSLOCP00000019433
ENSTGUP00000017308	ENSLOCP00000017623
ENSTGUP00000001303	ENSLOCP00000003471
ENSTGUP00000000660	ENSLOCP00000001969
ENSTGUP00000008161	ENSLOCP00000022429
ENSTGUP00000007176	ENSLOCP00000021935
ENSTGUP00000017739	ENSLOCP00000022309
ENSTGUP00000008762	ENSLOCP00000019632
ENSTGUP00000002152	ENSLOCP00000019295
ENSTGUP00000010598	ENSLOCP00000014495
ENSTGUP00000000131	ENSLOCP00000011741
ENSTGUP00000001243	ENSLOCP00000014518
ENSTGUP00000007549	ENSLOCP00000011158
ENSTGUP00000001271	ENSLOCP00000013253
ENSTGUP00000008110	ENSLOCP00000021070
ENSTGUP00000002531	ENSLOCP00000001317
ENSTGUP00000000391	ENSLOCP00000001059
ENSTGUP00000011372	ENSLOCP00000018776
ENSTGUP00000003950	ENSLOCP00000007029
ENSTGUP00000008770	ENSLOCP00000016847
ENSTGUP00000001715	ENSLOCP00000013710
ENSTGUP00000016151	ENSLOCP00000015642
ENSTGUP00000007634	ENSLOCP00000005107
ENSTGUP00000009034	ENSLOCP00000010365
ENSTGUP00000000219	ENSLOCP00000011542
ENSTGUP00000010553	ENSLOCP00000012590
ENSTGUP00000005825	ENSLOCP00000004821
ENSTGUP00000003563	ENSLOCP00000001873
ENSTGUP00000008691	ENSLOCP00000000044
ENSTGUP00000012771	ENSLOCP00000020944
ENSTGUP00000013311	ENSLOCP00000021298
ENSTGUP00000003264	ENSLOCP00000002575
ENSTGUP00000009628	ENSLOCP00000013512
ENSTGUP00000008404	ENSLOCP00000003206
ENSTGUP00000004600	ENSLOCP00000014668
ENSTGUP00000007997	ENSLOCP00000015875
ENSTGUP00000006527	ENSLOCP00000006242
ENSTGUP00000000237	ENSLOCP00000009760
ENSTGUP00000013904	ENSLOCP00000005861
ENSTGUP00000017637	ENSLOCP00000008215
ENSTGUP00000000233	ENSLOCP00000008179
ENSTGUP00000008091	ENSLOCP00000020161
ENSTGUP00000008275	ENSLOCP00000020208
ENSTGUP00000011245	ENSLOCP00000003504
ENSTGUP00000007184	ENSLOCP00000018276
ENSTGUP00000005413	ENSLOCP00000002245
ENSTGUP00000011588	ENSLOCP00000005952
ENSTGUP00000008513	ENSLOCP00000017532
ENSTGUP00000012176	ENSLOCP00000021347
ENSTGUP00000011569	ENSLOCP00000006072
ENSTGUP00000015744	ENSLOCP00000005221
ENSTGUP00000003599	ENSLOCP00000015051
ENSTGUP00000015009	ENSLOCP00000015458
ENSTGUP00000004590	ENSLOCP00000006402
ENSTGUP00000017430	ENSLOCP00000002216
ENSTGUP00000013582	ENSLOCP00000019565
ENSTGUP00000002938	ENSLOCP00000014030
ENSTGUP00000009423	ENSLOCP00000004614
ENSTGUP00000010729	ENSLOCP00000004050
ENSTGUP00000009389	ENSLOCP00000004811
ENSTGUP00000004504	ENSLOCP00000016808
ENSTGUP00000006373	ENSLOCP00000006604
ENSTGUP00000011052	ENSLOCP00000013803
ENSTGUP00000004516	ENSLOCP00000016806
ENSTGUP00000004460	ENSLOCP00000003170
ENSTGUP00000004279	ENSLOCP00000003174
ENSTGUP00000013320	ENSLOCP00000021302
ENSTGUP00000001792	ENSLOCP00000002027
ENSTGUP00000013464	ENSLOCP00000013996
ENSTGUP00000005217	ENSLOCP00000000159
ENSTGUP00000012701	ENSLOCP00000003804
ENSTGUP00000008583	ENSLOCP00000009318
ENSTGUP00000001687	ENSLOCP00000013492
ENSTGUP00000010139	ENSLOCP00000000003
ENSTGUP00000005561	ENSLOCP00000005353
ENSTGUP00000003162	ENSLOCP00000013953
ENSTGUP00000006712	ENSLOCP00000010520
ENSTGUP00000017666	ENSLOCP00000011038
ENSTGUP00000006931	ENSLOCP00000006693
ENSTGUP00000001831	ENSLOCP00000005299
ENSTGUP00000004740	ENSLOCP00000000480
ENSTGUP00000004803	ENSLOCP00000005593
ENSTGUP00000013116	ENSLOCP00000022225
ENSTGUP00000003663	ENSLOCP00000015485
ENSTGUP00000008481	ENSLOCP00000001520
ENSTGUP00000011888	ENSLOCP00000021137
ENSTGUP00000004522	ENSLOCP00000019545
ENSTGUP00000005546	ENSLOCP00000002445
ENSTGUP00000006158	ENSLOCP00000006609
ENSTGUP00000009193	ENSLOCP00000007633
ENSTGUP00000008651	ENSLOCP00000017868
ENSTGUP00000007870	ENSLOCP00000007449
ENSTGUP00000015337	ENSLOCP00000019935
ENSTGUP00000008844	ENSLOCP00000011379
ENSTGUP00000009196	ENSLOCP00000000818
ENSTGUP00000009228	ENSLOCP00000002181
ENSTGUP00000012466	ENSLOCP00000018932
ENSTGUP00000010031	ENSLOCP00000020033
ENSTGUP00000014507	ENSLOCP00000001598
ENSTGUP00000003709	ENSLOCP00000007296
ENSTGUP00000005681	ENSLOCP00000014096
ENSTGUP00000009575	ENSLOCP00000007844
ENSTGUP00000005669	ENSLOCP00000014117
ENSTGUP00000004672	ENSLOCP00000002613
ENSTGUP00000007357	ENSLOCP00000008628
ENSTGUP00000003986	ENSLOCP00000004498
ENSTGUP00000002936	ENSLOCP00000014035
ENSTGUP00000005160	ENSLOCP00000002496
ENSTGUP00000006525	ENSLOCP00000009982
ENSTGUP00000017458	ENSLOCP00000016722
ENSTGUP00000001355	ENSLOCP00000011965
ENSTGUP00000007730	ENSLOCP00000020080
ENSTGUP00000016201	ENSLOCP00000005783
ENSTGUP00000004958	ENSLOCP00000019185
ENSTGUP00000017828	ENSLOCP00000012674
ENSTGUP00000013013	ENSLOCP00000020893
ENSTGUP00000014041	ENSLOCP00000011473
ENSTGUP00000001481	ENSLOCP00000005296
ENSTGUP00000004119	ENSLOCP00000003287
ENSTGUP00000001167	ENSLOCP00000010604
ENSTGUP00000001284	ENSLOCP00000003378
ENSTGUP00000005641	ENSLOCP00000010054
ENSTGUP00000008758	ENSLOCP00000007257
ENSTGUP00000005051	ENSLOCP00000021652
ENSTGUP00000008220	ENSLOCP00000022460
ENSTGUP00000005553	ENSLOCP00000019618
ENSTGUP00000006849	ENSLOCP00000004204
ENSTGUP00000010366	ENSLOCP00000008543
ENSTGUP00000001424	ENSLOCP00000013145
ENSTGUP00000018065	ENSLOCP00000021590
ENSTGUP00000011327	ENSLOCP00000008685
ENSTGUP00000004064	ENSLOCP00000008726
ENSTGUP00000012708	ENSLOCP00000011092
ENSTGUP00000013371	ENSLOCP00000021278
ENSTGUP00000014657	ENSLOCP00000017639
ENSTGUP00000006126	ENSLOCP00000012831
ENSTGUP00000011714	ENSLOCP00000021018
ENSTGUP00000012054	ENSLOCP00000000167
ENSTGUP00000000875	ENSLOCP00000000654
ENSTGUP00000001057	ENSLOCP00000011013
ENSTGUP00000000004	ENSLOCP00000011651
ENSTGUP00000011132	ENSLOCP00000013287
ENSTGUP00000005347	ENSLOCP00000008358
ENSTGUP00000012638	ENSLOCP00000020447
ENSTGUP00000002235	ENSLOCP00000014891
ENSTGUP00000010871	ENSLOCP00000002608
ENSTGUP00000014902	ENSLOCP00000018708
ENSTGUP00000003269	ENSLOCP00000001338
ENSTGUP00000008191	ENSLOCP00000015784
ENSTGUP00000001177	ENSLOCP00000009322
ENSTGUP00000010058	ENSLOCP00000012690
ENSTGUP00000007219	ENSLOCP00000010217
ENSTGUP00000002306	ENSLOCP00000015129
ENSTGUP00000012158	ENSLOCP00000010059
ENSTGUP00000009157	ENSLOCP00000016032
ENSTGUP00000012145	ENSLOCP00000011120
ENSTGUP00000002564	ENSLOCP00000003772
ENSTGUP00000010617	ENSLOCP00000014513
ENSTGUP00000015957	ENSLOCP00000004014
ENSTGUP00000012594	ENSLOCP00000007253
ENSTGUP00000010318	ENSLOCP00000019030
ENSTGUP00000010848	ENSLOCP00000022199
ENSTGUP00000000419	ENSLOCP00000014694
ENSTGUP00000009545	ENSLOCP00000004225
ENSTGUP00000008754	ENSLOCP00000003011
ENSTGUP00000005134	ENSLOCP00000007157
ENSTGUP00000011142	ENSLOCP00000010525
ENSTGUP00000008315	ENSLOCP00000017345
ENSTGUP00000011770	ENSLOCP00000015305
ENSTGUP00000003893	ENSLOCP00000019775
ENSTGUP00000009747	ENSLOCP00000007894
ENSTGUP00000011981	ENSLOCP00000020501
ENSTGUP00000007205	ENSLOCP00000003311
ENSTGUP00000014107	ENSLOCP00000010259
ENSTGUP00000001972	ENSLOCP00000008128
ENSTGUP00000010482	ENSLOCP00000008481
ENSTGUP00000001775	ENSLOCP00000005652
ENSTGUP00000008537	ENSLOCP00000009356
ENSTGUP00000010492	ENSLOCP00000001805
ENSTGUP00000008173	ENSLOCP00000020186
ENSTGUP00000009905	ENSLOCP00000010723
ENSTGUP00000009932	ENSLOCP00000010751
ENSTGUP00000002220	ENSLOCP00000013990
ENSTGUP00000002273	ENSLOCP00000009672
ENSTGUP00000011073	ENSLOCP00000021427
ENSTGUP00000004253	ENSLOCP00000006662
ENSTGUP00000007190	ENSLOCP00000010135
ENSTGUP00000011516	ENSLOCP00000006228
ENSTGUP00000007729	ENSLOCP00000008781
ENSTGUP00000013806	ENSLOCP00000003646
ENSTGUP00000001358	ENSLOCP00000010444
ENSTGUP00000004537	ENSLOCP00000018454
ENSTGUP00000005720	ENSLOCP00000006716
ENSTGUP00000013634	ENSLOCP00000019560
ENSTGUP00000011596	ENSLOCP00000005913
ENSTGUP00000002243	ENSLOCP00000016038
ENSTGUP00000012150	ENSLOCP00000012784
ENSTGUP00000007063	ENSLOCP00000007220
ENSTGUP00000005584	ENSLOCP00000005472
ENSTGUP00000000273	ENSLOCP00000005232
ENSTGUP00000000348	ENSLOCP00000014168
ENSTGUP00000014702	ENSLOCP00000010130
ENSTGUP00000010766	ENSLOCP00000004123
ENSTGUP00000002968	ENSLOCP00000005379
ENSTGUP00000008158	ENSLOCP00000005993
ENSTGUP00000002315	ENSLOCP00000016715
ENSTGUP00000004524	ENSLOCP00000002485
ENSTGUP00000013743	ENSLOCP00000013462
ENSTGUP00000010115	ENSLOCP00000007915
ENSTGUP00000002464	ENSLOCP00000010992
ENSTGUP00000013397	ENSLOCP00000006907
ENSTGUP00000008113	ENSLOCP00000017392
ENSTGUP00000004045	ENSLOCP00000011195
ENSTGUP00000004114	ENSLOCP00000011223
ENSTGUP00000000496	ENSLOCP00000015154
ENSTGUP00000003646	ENSLOCP00000018674
ENSTGUP00000003236	ENSLOCP00000015904
ENSTGUP00000011148	ENSLOCP00000009105
ENSTGUP00000000739	ENSLOCP00000004176
ENSTGUP00000014708	ENSLOCP00000004282
ENSTGUP00000005396	ENSLOCP00000002233
ENSTGUP00000012194	ENSLOCP00000021344
ENSTGUP00000010522	ENSLOCP00000017437
ENSTGUP00000003660	ENSLOCP00000007332
ENSTGUP00000001609	ENSLOCP00000005108
ENSTGUP00000007834	ENSLOCP00000016692
ENSTGUP00000005998	ENSLOCP00000009637
ENSTGUP00000008103	ENSLOCP00000011477
ENSTGUP00000000081	ENSLOCP00000005346
ENSTGUP00000002845	ENSLOCP00000019684
ENSTGUP00000012497	ENSLOCP00000020509
ENSTGUP00000012368	ENSLOCP00000010718
ENSTGUP00000007495	ENSLOCP00000018366
ENSTGUP00000001329	ENSLOCP00000013425
ENSTGUP00000011194	ENSLOCP00000014830
ENSTGUP00000005970	ENSLOCP00000007760
ENSTGUP00000010901	ENSLOCP00000004463
ENSTGUP00000002852	ENSLOCP00000009569
ENSTGUP00000006607	ENSLOCP00000002448
ENSTGUP00000007643	ENSLOCP00000001500
ENSTGUP00000011495	ENSLOCP00000004242
ENSTGUP00000006741	ENSLOCP00000011089
ENSTGUP00000002579	ENSLOCP00000016565
ENSTGUP00000007324	ENSLOCP00000018142
ENSTGUP00000009243	ENSLOCP00000017846
ENSTGUP00000001909	ENSLOCP00000014700
ENSTGUP00000008195	ENSLOCP00000003529
ENSTGUP00000008899	ENSLOCP00000016401
ENSTGUP00000007251	ENSLOCP00000007057
ENSTGUP00000010036	ENSLOCP00000010689
ENSTGUP00000001501	ENSLOCP00000014210
ENSTGUP00000003402	ENSLOCP00000018245
ENSTGUP00000006993	ENSLOCP00000004841
ENSTGUP00000001979	ENSLOCP00000016283
ENSTGUP00000003320	ENSLOCP00000002447
ENSTGUP00000006703	ENSLOCP00000016582
ENSTGUP00000002413	ENSLOCP00000019749
ENSTGUP00000003515	ENSLOCP00000018694
ENSTGUP00000011559	ENSLOCP00000018478
ENSTGUP00000012311	ENSLOCP00000020976
ENSTGUP00000003197	ENSLOCP00000020203
ENSTGUP00000013348	ENSLOCP00000012519
ENSTGUP00000013170	ENSLOCP00000014207
ENSTGUP00000005123	ENSLOCP00000020679
ENSTGUP00000004095	ENSLOCP00000003330
ENSTGUP00000003775	ENSLOCP00000002611
ENSTGUP00000003758	ENSLOCP00000018089
ENSTGUP00000016505	ENSLOCP00000019143
ENSTGUP00000004184	ENSLOCP00000002743
ENSTGUP00000004199	ENSLOCP00000017875
ENSTGUP00000013333	ENSLOCP00000007152
ENSTGUP00000008695	ENSLOCP00000009744
ENSTGUP00000013829	ENSLOCP00000010411
ENSTGUP00000010235	ENSLOCP00000007095
ENSTGUP00000008367	ENSLOCP00000004760
ENSTGUP00000006827	ENSLOCP00000009579
ENSTGUP00000007212	ENSLOCP00000009822
ENSTGUP00000011398	ENSLOCP00000004134
ENSTGUP00000006292	ENSLOCP00000007716
ENSTGUP00000005243	ENSLOCP00000009183
ENSTGUP00000001022	ENSLOCP00000004543
ENSTGUP00000001800	ENSLOCP00000008045
ENSTGUP00000012221	ENSLOCP00000011743
ENSTGUP00000008143	ENSLOCP00000004852
ENSTGUP00000013134	ENSLOCP00000014275
ENSTGUP00000001280	ENSLOCP00000014296
ENSTGUP00000009392	ENSLOCP00000017734
ENSTGUP00000003813	ENSLOCP00000007190
ENSTGUP00000009322	ENSLOCP00000007552
ENSTGUP00000001078	ENSLOCP00000008912
ENSTGUP00000003805	ENSLOCP00000011268
ENSTGUP00000001706	ENSLOCP00000014255
ENSTGUP00000001137	ENSLOCP00000015416
ENSTGUP00000006709	ENSLOCP00000010301
ENSTGUP00000010923	ENSLOCP00000004403
ENSTGUP00000001933	ENSLOCP00000016384
ENSTGUP00000005580	ENSLOCP00000019211
ENSTGUP00000016909	ENSLOCP00000007969
ENSTGUP00000002295	ENSLOCP00000014935
ENSTGUP00000013795	ENSLOCP00000003263
ENSTGUP00000001543	ENSLOCP00000013149
ENSTGUP00000005490	ENSLOCP00000008084
ENSTGUP00000011756	ENSLOCP00000017316
ENSTGUP00000011455	ENSLOCP00000011921
ENSTGUP00000000350	ENSLOCP00000013274
ENSTGUP00000010374	ENSLOCP00000015509
ENSTGUP00000004992	ENSLOCP00000007657
ENSTGUP00000012752	ENSLOCP00000019895
ENSTGUP00000011386	ENSLOCP00000004097
ENSTGUP00000000411	ENSLOCP00000007064
ENSTGUP00000007694	ENSLOCP00000011679
ENSTGUP00000007820	ENSLOCP00000015277
ENSTGUP00000009536	ENSLOCP00000012075
ENSTGUP00000010849	ENSLOCP00000000813
ENSTGUP00000009494	ENSLOCP00000009666
ENSTGUP00000013097	ENSLOCP00000008113
ENSTGUP00000008190	ENSLOCP00000017376
ENSTGUP00000012093	ENSLOCP00000018940
ENSTGUP00000010286	ENSLOCP00000017609
ENSTGUP00000001824	ENSLOCP00000013227
ENSTGUP00000008731	ENSLOCP00000014125
ENSTGUP00000010802	ENSLOCP00000001838
ENSTGUP00000007994	ENSLOCP00000002962
ENSTGUP00000010703	ENSLOCP00000010450
ENSTGUP00000007952	ENSLOCP00000016723
ENSTGUP00000010731	ENSLOCP00000004098
ENSTGUP00000004821	ENSLOCP00000001908
ENSTGUP00000000696	ENSLOCP00000002105
ENSTGUP00000002072	ENSLOCP00000003347
ENSTGUP00000008622	ENSLOCP00000020568
ENSTGUP00000008792	ENSLOCP00000009151
ENSTGUP00000015019	ENSLOCP00000016453
ENSTGUP00000001637	ENSLOCP00000013460
ENSTGUP00000017492	ENSLOCP00000017197
ENSTGUP00000013822	ENSLOCP00000002012
ENSTGUP00000001646	ENSLOCP00000022407
ENSTGUP00000012821	ENSLOCP00000020924
ENSTGUP00000004796	ENSLOCP00000019441
ENSTGUP00000006097	ENSLOCP00000008031
ENSTGUP00000013715	ENSLOCP00000008516
ENSTGUP00000009109	ENSLOCP00000011043
ENSTGUP00000013659	ENSLOCP00000020169
ENSTGUP00000001729	ENSLOCP00000000807
ENSTGUP00000008641	ENSLOCP00000008421
ENSTGUP00000013657	ENSLOCP00000020167
ENSTGUP00000010367	ENSLOCP00000005140
ENSTGUP00000013586	ENSLOCP00000013816
ENSTGUP00000012185	ENSLOCP00000001079
