ENSCAFP00000014731	ENSDARP00000074624
ENSCAFP00000003004	ENSDARP00000081855
ENSCAFP00000025369	ENSDARP00000076606
ENSCAFP00000025369	ENSDARP00000025648
ENSCAFP00000029086	ENSDARP00000098282
ENSCAFP00000004896	ENSDARP00000011426
ENSCAFP00000026399	ENSDARP00000109709
ENSCAFP00000026399	ENSDARP00000045814
ENSCAFP00000021003	ENSDARP00000105365
ENSCAFP00000003598	ENSDARP00000091908
ENSCAFP00000030367	ENSDARP00000014920
ENSCAFP00000014716	ENSDARP00000106281
ENSCAFP00000014716	ENSDARP00000108347
ENSCAFP00000004331	ENSDARP00000088385
ENSCAFP00000028722	ENSDARP00000120338
ENSCAFP00000034674	ENSDARP00000064175
ENSCAFP00000013904	ENSDARP00000006800
ENSCAFP00000009236	ENSDARP00000031665
ENSCAFP00000020942	ENSDARP00000050948
ENSCAFP00000035021	ENSDARP00000074998
ENSCAFP00000036371	ENSDARP00000078354
ENSCAFP00000016465	ENSDARP00000089497
ENSCAFP00000025949	ENSDARP00000045678
ENSCAFP00000025949	ENSDARP00000109120
ENSCAFP00000020623	ENSDARP00000073505
ENSCAFP00000019067	ENSDARP00000122069
ENSCAFP00000002572	ENSDARP00000128113
ENSCAFP00000002573	ENSDARP00000068002
ENSCAFP00000015697	ENSDARP00000114765
ENSCAFP00000008315	ENSDARP00000128272
ENSCAFP00000023232	ENSDARP00000102221
ENSCAFP00000014368	ENSDARP00000059513
ENSCAFP00000014368	ENSDARP00000067176
ENSCAFP00000004162	ENSDARP00000108227
ENSCAFP00000023110	ENSDARP00000026364
ENSCAFP00000006542	ENSDARP00000123087
ENSCAFP00000040206	ENSDARP00000028379
ENSCAFP00000003716	ENSDARP00000075251
ENSCAFP00000003716	ENSDARP00000071623
ENSCAFP00000012996	ENSDARP00000114103
ENSCAFP00000027024	ENSDARP00000069214
ENSCAFP00000028252	ENSDARP00000077905
ENSCAFP00000018239	ENSDARP00000079578
ENSCAFP00000013467	ENSDARP00000034827
ENSCAFP00000006489	ENSDARP00000118891
ENSCAFP00000006489	ENSDARP00000103999
ENSCAFP00000021364	ENSDARP00000106287
ENSCAFP00000006932	ENSDARP00000112109
ENSCAFP00000014166	ENSDARP00000126959
ENSCAFP00000002917	ENSDARP00000089603
ENSCAFP00000004775	ENSDARP00000077021
ENSCAFP00000010009	ENSDARP00000083042
ENSCAFP00000011007	ENSDARP00000104940
ENSCAFP00000030087	ENSDARP00000067932
ENSCAFP00000001366	ENSDARP00000061163
ENSCAFP00000001321	ENSDARP00000061134
ENSCAFP00000043077	ENSDARP00000119520
ENSCAFP00000041266	ENSDARP00000014010
ENSCAFP00000004485	ENSDARP00000040307
ENSCAFP00000040526	ENSDARP00000117905
ENSCAFP00000015470	ENSDARP00000006334
ENSCAFP00000015470	ENSDARP00000109638
ENSCAFP00000042532	ENSDARP00000114769
ENSCAFP00000035513	ENSDARP00000037689
ENSCAFP00000012421	ENSDARP00000001039
ENSCAFP00000010770	ENSDARP00000095486
ENSCAFP00000010770	ENSDARP00000080646
ENSCAFP00000025113	ENSDARP00000127303
ENSCAFP00000025113	ENSDARP00000122795
ENSCAFP00000005216	ENSDARP00000098618
ENSCAFP00000017041	ENSDARP00000098684
ENSCAFP00000039810	ENSDARP00000111989
ENSCAFP00000020878	ENSDARP00000028542
ENSCAFP00000002131	ENSDARP00000097773
ENSCAFP00000042339	ENSDARP00000126208
ENSCAFP00000036076	ENSDARP00000101821
ENSCAFP00000008259	ENSDARP00000111119
ENSCAFP00000022787	ENSDARP00000068089
ENSCAFP00000031887	ENSDARP00000094167
ENSCAFP00000020325	ENSDARP00000024335
ENSCAFP00000020325	ENSDARP00000090686
ENSCAFP00000035638	ENSDARP00000069315
ENSCAFP00000010756	ENSDARP00000097889
ENSCAFP00000010756	ENSDARP00000098001
ENSCAFP00000028873	ENSDARP00000120365
ENSCAFP00000025456	ENSDARP00000082784
ENSCAFP00000002279	ENSDARP00000067629
ENSCAFP00000002279	ENSDARP00000085044
ENSCAFP00000030020	ENSDARP00000018632
ENSCAFP00000030020	ENSDARP00000045932
ENSCAFP00000029648	ENSDARP00000051402
ENSCAFP00000029648	ENSDARP00000114502
ENSCAFP00000018839	ENSDARP00000095328
ENSCAFP00000018839	ENSDARP00000032601
ENSCAFP00000041849	ENSDARP00000092425
ENSCAFP00000019099	ENSDARP00000101478
ENSCAFP00000042471	ENSDARP00000092068
ENSCAFP00000037953	ENSDARP00000084700
ENSCAFP00000037953	ENSDARP00000079303
ENSCAFP00000018846	ENSDARP00000103451
ENSCAFP00000009132	ENSDARP00000128595
ENSCAFP00000008783	ENSDARP00000109667
ENSCAFP00000013874	ENSDARP00000094710
ENSCAFP00000039644	ENSDARP00000117556
ENSCAFP00000017037	ENSDARP00000095187
ENSCAFP00000017037	ENSDARP00000026805
ENSCAFP00000001426	ENSDARP00000069597
ENSCAFP00000008523	ENSDARP00000091828
ENSCAFP00000021553	ENSDARP00000073439
ENSCAFP00000029683	ENSDARP00000106240
ENSCAFP00000039820	ENSDARP00000128562
ENSCAFP00000039820	ENSDARP00000126045
ENSCAFP00000025905	ENSDARP00000098491
ENSCAFP00000025905	ENSDARP00000055022
ENSCAFP00000037408	ENSDARP00000118548
ENSCAFP00000037408	ENSDARP00000094670
ENSCAFP00000029570	ENSDARP00000078963
ENSCAFP00000024003	ENSDARP00000076873
ENSCAFP00000005367	ENSDARP00000093925
ENSCAFP00000022150	ENSDARP00000066410
ENSCAFP00000029639	ENSDARP00000086549
ENSCAFP00000013939	ENSDARP00000073621
ENSCAFP00000018700	ENSDARP00000107675
ENSCAFP00000001191	ENSDARP00000003397
ENSCAFP00000001191	ENSDARP00000108198
ENSCAFP00000012166	ENSDARP00000124029
ENSCAFP00000003177	ENSDARP00000093555
ENSCAFP00000023790	ENSDARP00000094885
ENSCAFP00000019683	ENSDARP00000102728
ENSCAFP00000014137	ENSDARP00000098758
ENSCAFP00000020384	ENSDARP00000119695
ENSCAFP00000009003	ENSDARP00000107042
ENSCAFP00000009003	ENSDARP00000121180
ENSCAFP00000026323	ENSDARP00000083949
ENSCAFP00000037494	ENSDARP00000064832
ENSCAFP00000017429	ENSDARP00000064615
ENSCAFP00000036652	ENSDARP00000044859
ENSCAFP00000024276	ENSDARP00000118205
ENSCAFP00000004919	ENSDARP00000106725
ENSCAFP00000005317	ENSDARP00000047006
ENSCAFP00000015478	ENSDARP00000091933
ENSCAFP00000027600	ENSDARP00000070437
ENSCAFP00000022673	ENSDARP00000058513
ENSCAFP00000022673	ENSDARP00000098418
ENSCAFP00000001958	ENSDARP00000025120
ENSCAFP00000012263	ENSDARP00000116922
ENSCAFP00000006886	ENSDARP00000094377
ENSCAFP00000002376	ENSDARP00000098114
ENSCAFP00000013729	ENSDARP00000048506
ENSCAFP00000021570	ENSDARP00000070464
ENSCAFP00000013230	ENSDARP00000093348
ENSCAFP00000013230	ENSDARP00000051004
ENSCAFP00000036551	ENSDARP00000057589
ENSCAFP00000002925	ENSDARP00000002460
ENSCAFP00000031222	ENSDARP00000110688
ENSCAFP00000027100	ENSDARP00000107971
ENSCAFP00000024154	ENSDARP00000108491
ENSCAFP00000002697	ENSDARP00000063703
ENSCAFP00000027229	ENSDARP00000112846
ENSCAFP00000038401	ENSDARP00000048886
ENSCAFP00000038401	ENSDARP00000002532
ENSCAFP00000013877	ENSDARP00000053403
ENSCAFP00000005116	ENSDARP00000091516
ENSCAFP00000020107	ENSDARP00000069657
ENSCAFP00000020107	ENSDARP00000123484
ENSCAFP00000019645	ENSDARP00000129096
ENSCAFP00000004554	ENSDARP00000050176
ENSCAFP00000042713	ENSDARP00000014980
ENSCAFP00000042713	ENSDARP00000108067
ENSCAFP00000009964	ENSDARP00000065669
ENSCAFP00000018157	ENSDARP00000118761
ENSCAFP00000018157	ENSDARP00000129035
ENSCAFP00000004942	ENSDARP00000111556
ENSCAFP00000004942	ENSDARP00000111169
ENSCAFP00000020374	ENSDARP00000121566
ENSCAFP00000015121	ENSDARP00000093285
ENSCAFP00000015121	ENSDARP00000101777
ENSCAFP00000027678	ENSDARP00000099736
ENSCAFP00000021753	ENSDARP00000106854
ENSCAFP00000028620	ENSDARP00000112558
ENSCAFP00000020375	ENSDARP00000058495
ENSCAFP00000038936	ENSDARP00000128615
ENSCAFP00000004845	ENSDARP00000016314
ENSCAFP00000026000	ENSDARP00000047070
ENSCAFP00000026000	ENSDARP00000098435
ENSCAFP00000029873	ENSDARP00000014840
ENSCAFP00000000550	ENSDARP00000043315
ENSCAFP00000001786	ENSDARP00000043161
ENSCAFP00000038509	ENSDARP00000123784
ENSCAFP00000037679	ENSDARP00000023124
ENSCAFP00000037679	ENSDARP00000019093
ENSCAFP00000013398	ENSDARP00000104305
ENSCAFP00000035883	ENSDARP00000099211
ENSCAFP00000011536	ENSDARP00000105864
ENSCAFP00000011536	ENSDARP00000079991
ENSCAFP00000020404	ENSDARP00000102404
ENSCAFP00000006427	ENSDARP00000117778
ENSCAFP00000015605	ENSDARP00000089458
ENSCAFP00000005101	ENSDARP00000051165
ENSCAFP00000005101	ENSDARP00000042171
ENSCAFP00000024052	ENSDARP00000062698
ENSCAFP00000025530	ENSDARP00000110875
ENSCAFP00000025530	ENSDARP00000052476
ENSCAFP00000009488	ENSDARP00000124944
ENSCAFP00000023599	ENSDARP00000100285
ENSCAFP00000011875	ENSDARP00000066702
ENSCAFP00000011875	ENSDARP00000104887
ENSCAFP00000024108	ENSDARP00000065852
ENSCAFP00000024108	ENSDARP00000066124
ENSCAFP00000015277	ENSDARP00000015825
ENSCAFP00000027492	ENSDARP00000005989
ENSCAFP00000014581	ENSDARP00000119398
ENSCAFP00000035619	ENSDARP00000105402
ENSCAFP00000024019	ENSDARP00000111440
ENSCAFP00000036252	ENSDARP00000102258
ENSCAFP00000036663	ENSDARP00000050618
ENSCAFP00000008996	ENSDARP00000024256
ENSCAFP00000002884	ENSDARP00000019940
ENSCAFP00000024409	ENSDARP00000113054
ENSCAFP00000007560	ENSDARP00000101191
ENSCAFP00000005895	ENSDARP00000113801
ENSCAFP00000005803	ENSDARP00000011155
ENSCAFP00000026118	ENSDARP00000019087
ENSCAFP00000028279	ENSDARP00000107390
ENSCAFP00000027873	ENSDARP00000069275
ENSCAFP00000029704	ENSDARP00000074797
ENSCAFP00000027380	ENSDARP00000065205
ENSCAFP00000003369	ENSDARP00000123093
ENSCAFP00000000511	ENSDARP00000000748
ENSCAFP00000008964	ENSDARP00000098822
ENSCAFP00000027972	ENSDARP00000119169
ENSCAFP00000027955	ENSDARP00000057735
ENSCAFP00000027458	ENSDARP00000114284
ENSCAFP00000027458	ENSDARP00000118698
ENSCAFP00000013818	ENSDARP00000108405
ENSCAFP00000021258	ENSDARP00000101408
ENSCAFP00000021258	ENSDARP00000127739
ENSCAFP00000021749	ENSDARP00000065118
ENSCAFP00000010606	ENSDARP00000044370
ENSCAFP00000014278	ENSDARP00000101166
ENSCAFP00000008430	ENSDARP00000056543
ENSCAFP00000008430	ENSDARP00000087133
ENSCAFP00000010647	ENSDARP00000100378
ENSCAFP00000026031	ENSDARP00000068009
ENSCAFP00000026031	ENSDARP00000107380
ENSCAFP00000017880	ENSDARP00000082438
ENSCAFP00000001183	ENSDARP00000028924
ENSCAFP00000001183	ENSDARP00000127120
ENSCAFP00000001198	ENSDARP00000124923
ENSCAFP00000011396	ENSDARP00000073110
ENSCAFP00000007003	ENSDARP00000073658
ENSCAFP00000010757	ENSDARP00000020000
ENSCAFP00000010535	ENSDARP00000113850
ENSCAFP00000016804	ENSDARP00000078769
ENSCAFP00000013721	ENSDARP00000101760
ENSCAFP00000013170	ENSDARP00000043125
ENSCAFP00000014998	ENSDARP00000106580
ENSCAFP00000020477	ENSDARP00000073959
ENSCAFP00000004081	ENSDARP00000007186
ENSCAFP00000000938	ENSDARP00000030718
ENSCAFP00000026148	ENSDARP00000023293
ENSCAFP00000026148	ENSDARP00000109007
ENSCAFP00000030253	ENSDARP00000074529
ENSCAFP00000030253	ENSDARP00000121140
ENSCAFP00000036535	ENSDARP00000116091
ENSCAFP00000005014	ENSDARP00000013960
ENSCAFP00000038277	ENSDARP00000005772
ENSCAFP00000024667	ENSDARP00000053683
ENSCAFP00000027739	ENSDARP00000073367
ENSCAFP00000005389	ENSDARP00000101307
ENSCAFP00000012208	ENSDARP00000111926
ENSCAFP00000035961	ENSDARP00000056522
ENSCAFP00000004364	ENSDARP00000112428
ENSCAFP00000013933	ENSDARP00000110892
ENSCAFP00000001409	ENSDARP00000027703
ENSCAFP00000019708	ENSDARP00000089585
ENSCAFP00000013071	ENSDARP00000087966
ENSCAFP00000019667	ENSDARP00000090285
ENSCAFP00000014784	ENSDARP00000098249
ENSCAFP00000034803	ENSDARP00000115648
ENSCAFP00000027335	ENSDARP00000082852
ENSCAFP00000023001	ENSDARP00000009248
ENSCAFP00000042901	ENSDARP00000103866
ENSCAFP00000042901	ENSDARP00000107114
ENSCAFP00000008944	ENSDARP00000087386
ENSCAFP00000024882	ENSDARP00000072649
ENSCAFP00000006746	ENSDARP00000120829
ENSCAFP00000002508	ENSDARP00000064077
ENSCAFP00000037475	ENSDARP00000072426
ENSCAFP00000037475	ENSDARP00000024471
ENSCAFP00000041417	ENSDARP00000054597
ENSCAFP00000041417	ENSDARP00000068226
ENSCAFP00000021028	ENSDARP00000083002
ENSCAFP00000022735	ENSDARP00000051665
ENSCAFP00000042451	ENSDARP00000063550
ENSCAFP00000021134	ENSDARP00000109769
ENSCAFP00000021134	ENSDARP00000086614
ENSCAFP00000042686	ENSDARP00000104731
ENSCAFP00000014131	ENSDARP00000008977
ENSCAFP00000014131	ENSDARP00000103131
ENSCAFP00000017529	ENSDARP00000040170
ENSCAFP00000028361	ENSDARP00000078136
ENSCAFP00000029349	ENSDARP00000045176
ENSCAFP00000042579	ENSDARP00000055472
ENSCAFP00000042579	ENSDARP00000007188
ENSCAFP00000020955	ENSDARP00000067931
ENSCAFP00000019966	ENSDARP00000107433
ENSCAFP00000020445	ENSDARP00000004932
ENSCAFP00000020445	ENSDARP00000018197
ENSCAFP00000020040	ENSDARP00000066500
ENSCAFP00000002028	ENSDARP00000125663
ENSCAFP00000000213	ENSDARP00000125623
ENSCAFP00000023411	ENSDARP00000059319
ENSCAFP00000010967	ENSDARP00000085982
ENSCAFP00000018144	ENSDARP00000019419
ENSCAFP00000020719	ENSDARP00000071683
ENSCAFP00000002550	ENSDARP00000093469
ENSCAFP00000018686	ENSDARP00000098790
ENSCAFP00000008070	ENSDARP00000058551
ENSCAFP00000008070	ENSDARP00000043822
ENSCAFP00000015204	ENSDARP00000099232
ENSCAFP00000026719	ENSDARP00000115356
ENSCAFP00000033564	ENSDARP00000094806
ENSCAFP00000033192	ENSDARP00000010745
ENSCAFP00000015703	ENSDARP00000106315
ENSCAFP00000027307	ENSDARP00000069762
ENSCAFP00000024567	ENSDARP00000088594
ENSCAFP00000024567	ENSDARP00000083835
ENSCAFP00000011460	ENSDARP00000013993
ENSCAFP00000011460	ENSDARP00000062873
ENSCAFP00000022476	ENSDARP00000003281
ENSCAFP00000022476	ENSDARP00000115804
ENSCAFP00000016511	ENSDARP00000069637
ENSCAFP00000041279	ENSDARP00000119579
ENSCAFP00000000786	ENSDARP00000118661
ENSCAFP00000030051	ENSDARP00000019575
ENSCAFP00000030051	ENSDARP00000006495
ENSCAFP00000017095	ENSDARP00000101834
ENSCAFP00000017095	ENSDARP00000098057
ENSCAFP00000018240	ENSDARP00000104333
ENSCAFP00000008426	ENSDARP00000056962
ENSCAFP00000008426	ENSDARP00000110937
ENSCAFP00000000711	ENSDARP00000015367
ENSCAFP00000018208	ENSDARP00000118392
ENSCAFP00000018208	ENSDARP00000118182
ENSCAFP00000026469	ENSDARP00000088317
ENSCAFP00000029071	ENSDARP00000095133
ENSCAFP00000006235	ENSDARP00000031559
ENSCAFP00000020484	ENSDARP00000091884
ENSCAFP00000023862	ENSDARP00000038591
ENSCAFP00000023862	ENSDARP00000101636
ENSCAFP00000036692	ENSDARP00000040954
ENSCAFP00000026420	ENSDARP00000105896
ENSCAFP00000026420	ENSDARP00000078311
ENSCAFP00000017789	ENSDARP00000059139
ENSCAFP00000005569	ENSDARP00000093754
ENSCAFP00000005913	ENSDARP00000100165
ENSCAFP00000020169	ENSDARP00000083566
ENSCAFP00000004319	ENSDARP00000107838
ENSCAFP00000000488	ENSDARP00000101331
ENSCAFP00000020929	ENSDARP00000024532
ENSCAFP00000020929	ENSDARP00000106658
ENSCAFP00000024294	ENSDARP00000118126
ENSCAFP00000000867	ENSDARP00000129223
ENSCAFP00000041094	ENSDARP00000098193
ENSCAFP00000024952	ENSDARP00000093977
ENSCAFP00000024952	ENSDARP00000021648
ENSCAFP00000008454	ENSDARP00000014581
ENSCAFP00000024765	ENSDARP00000122112
ENSCAFP00000024968	ENSDARP00000085966
ENSCAFP00000024968	ENSDARP00000078148
ENSCAFP00000013819	ENSDARP00000089604
ENSCAFP00000013819	ENSDARP00000121254
ENSCAFP00000011416	ENSDARP00000032940
ENSCAFP00000039921	ENSDARP00000115419
ENSCAFP00000000121	ENSDARP00000032448
ENSCAFP00000017820	ENSDARP00000092724
ENSCAFP00000024586	ENSDARP00000121626
ENSCAFP00000014427	ENSDARP00000057866
ENSCAFP00000015058	ENSDARP00000036949
ENSCAFP00000010182	ENSDARP00000070580
ENSCAFP00000018594	ENSDARP00000129510
ENSCAFP00000041042	ENSDARP00000047895
ENSCAFP00000041042	ENSDARP00000120021
ENSCAFP00000017213	ENSDARP00000091395
ENSCAFP00000018712	ENSDARP00000098890
ENSCAFP00000015207	ENSDARP00000074512
ENSCAFP00000015207	ENSDARP00000121706
ENSCAFP00000017680	ENSDARP00000078889
ENSCAFP00000017680	ENSDARP00000102277
ENSCAFP00000008566	ENSDARP00000086172
ENSCAFP00000014939	ENSDARP00000098718
ENSCAFP00000017275	ENSDARP00000106714
ENSCAFP00000026384	ENSDARP00000114663
ENSCAFP00000037413	ENSDARP00000114939
ENSCAFP00000009638	ENSDARP00000115423
ENSCAFP00000007269	ENSDARP00000077321
ENSCAFP00000026870	ENSDARP00000094372
ENSCAFP00000019461	ENSDARP00000005085
ENSCAFP00000007005	ENSDARP00000071771
ENSCAFP00000030275	ENSDARP00000038588
ENSCAFP00000004219	ENSDARP00000092401
ENSCAFP00000014869	ENSDARP00000066758
ENSCAFP00000014452	ENSDARP00000090595
ENSCAFP00000019835	ENSDARP00000123832
ENSCAFP00000019835	ENSDARP00000071871
ENSCAFP00000038493	ENSDARP00000014968
ENSCAFP00000039860	ENSDARP00000060416
ENSCAFP00000036390	ENSDARP00000127594
ENSCAFP00000003118	ENSDARP00000071589
ENSCAFP00000027224	ENSDARP00000045582
ENSCAFP00000034848	ENSDARP00000116176
ENSCAFP00000015466	ENSDARP00000000004
ENSCAFP00000023037	ENSDARP00000076420
ENSCAFP00000005192	ENSDARP00000031200
ENSCAFP00000019298	ENSDARP00000040700
ENSCAFP00000019298	ENSDARP00000089186
ENSCAFP00000011661	ENSDARP00000009928
