ENSCAFP00000014731	ENSTNIP00000004863
ENSCAFP00000005013	ENSTNIP00000000096
ENSCAFP00000027366	ENSTNIP00000004169
ENSCAFP00000027533	ENSTNIP00000019810
ENSCAFP00000019445	ENSTNIP00000012366
ENSCAFP00000042805	ENSTNIP00000005750
ENSCAFP00000015347	ENSTNIP00000015048
ENSCAFP00000036079	ENSTNIP00000018112
ENSCAFP00000036079	ENSTNIP00000017584
ENSCAFP00000007816	ENSTNIP00000010808
ENSCAFP00000007816	ENSTNIP00000008567
ENSCAFP00000011829	ENSTNIP00000016575
ENSCAFP00000030086	ENSTNIP00000021248
ENSCAFP00000023803	ENSTNIP00000005097
ENSCAFP00000001165	ENSTNIP00000019177
ENSCAFP00000016128	ENSTNIP00000017433
ENSCAFP00000040632	ENSTNIP00000000410
ENSCAFP00000003004	ENSTNIP00000022974
ENSCAFP00000025369	ENSTNIP00000006791
ENSCAFP00000025369	ENSTNIP00000015607
ENSCAFP00000029086	ENSTNIP00000015045
ENSCAFP00000004896	ENSTNIP00000004007
ENSCAFP00000026399	ENSTNIP00000001462
ENSCAFP00000026399	ENSTNIP00000013657
ENSCAFP00000008867	ENSTNIP00000001947
ENSCAFP00000021003	ENSTNIP00000007481
ENSCAFP00000003598	ENSTNIP00000019677
ENSCAFP00000014716	ENSTNIP00000009421
ENSCAFP00000028722	ENSTNIP00000013063
ENSCAFP00000034674	ENSTNIP00000009402
ENSCAFP00000030999	ENSTNIP00000004502
ENSCAFP00000009236	ENSTNIP00000013944
ENSCAFP00000020942	ENSTNIP00000010409
ENSCAFP00000036371	ENSTNIP00000013202
ENSCAFP00000036371	ENSTNIP00000012018
ENSCAFP00000016465	ENSTNIP00000018958
ENSCAFP00000025949	ENSTNIP00000012426
ENSCAFP00000025949	ENSTNIP00000012427
ENSCAFP00000019067	ENSTNIP00000016631
ENSCAFP00000019067	ENSTNIP00000010696
ENSCAFP00000021123	ENSTNIP00000007261
ENSCAFP00000002572	ENSTNIP00000000583
ENSCAFP00000002573	ENSTNIP00000013315
ENSCAFP00000015697	ENSTNIP00000007749
ENSCAFP00000008315	ENSTNIP00000020639
ENSCAFP00000023232	ENSTNIP00000015466
ENSCAFP00000014368	ENSTNIP00000019074
ENSCAFP00000001557	ENSTNIP00000008726
ENSCAFP00000004162	ENSTNIP00000005762
ENSCAFP00000004162	ENSTNIP00000000686
ENSCAFP00000023110	ENSTNIP00000005334
ENSCAFP00000006542	ENSTNIP00000010559
ENSCAFP00000022969	ENSTNIP00000002104
ENSCAFP00000040206	ENSTNIP00000020483
ENSCAFP00000003716	ENSTNIP00000010273
ENSCAFP00000003708	ENSTNIP00000010274
ENSCAFP00000027024	ENSTNIP00000015355
ENSCAFP00000028252	ENSTNIP00000006777
ENSCAFP00000028252	ENSTNIP00000018579
ENSCAFP00000018239	ENSTNIP00000004232
ENSCAFP00000018239	ENSTNIP00000021319
ENSCAFP00000013467	ENSTNIP00000017504
ENSCAFP00000006489	ENSTNIP00000014347
ENSCAFP00000006489	ENSTNIP00000015091
ENSCAFP00000021364	ENSTNIP00000022535
ENSCAFP00000014166	ENSTNIP00000013166
ENSCAFP00000002917	ENSTNIP00000019489
ENSCAFP00000004775	ENSTNIP00000008351
ENSCAFP00000010009	ENSTNIP00000011343
ENSCAFP00000011007	ENSTNIP00000009832
ENSCAFP00000030087	ENSTNIP00000011695
ENSCAFP00000001366	ENSTNIP00000012507
ENSCAFP00000001321	ENSTNIP00000010059
ENSCAFP00000043077	ENSTNIP00000005460
ENSCAFP00000041266	ENSTNIP00000018847
ENSCAFP00000004485	ENSTNIP00000005351
ENSCAFP00000040526	ENSTNIP00000006781
ENSCAFP00000015470	ENSTNIP00000019601
ENSCAFP00000042532	ENSTNIP00000018159
ENSCAFP00000042532	ENSTNIP00000000759
ENSCAFP00000035513	ENSTNIP00000017718
ENSCAFP00000012421	ENSTNIP00000016036
ENSCAFP00000010770	ENSTNIP00000008856
ENSCAFP00000024338	ENSTNIP00000017156
ENSCAFP00000006187	ENSTNIP00000010967
ENSCAFP00000025113	ENSTNIP00000005107
ENSCAFP00000005216	ENSTNIP00000011131
ENSCAFP00000017041	ENSTNIP00000009154
ENSCAFP00000017041	ENSTNIP00000009164
ENSCAFP00000039810	ENSTNIP00000014948
ENSCAFP00000020878	ENSTNIP00000005153
ENSCAFP00000020878	ENSTNIP00000013909
ENSCAFP00000002131	ENSTNIP00000007319
ENSCAFP00000028913	ENSTNIP00000007704
ENSCAFP00000042339	ENSTNIP00000016469
ENSCAFP00000008259	ENSTNIP00000012663
ENSCAFP00000022787	ENSTNIP00000015857
ENSCAFP00000020325	ENSTNIP00000021291
ENSCAFP00000010756	ENSTNIP00000008855
ENSCAFP00000028873	ENSTNIP00000000564
ENSCAFP00000025456	ENSTNIP00000004971
ENSCAFP00000011534	ENSTNIP00000004957
ENSCAFP00000002279	ENSTNIP00000008151
ENSCAFP00000002279	ENSTNIP00000001004
ENSCAFP00000030020	ENSTNIP00000022156
ENSCAFP00000018839	ENSTNIP00000001946
ENSCAFP00000018839	ENSTNIP00000005006
ENSCAFP00000041849	ENSTNIP00000000517
ENSCAFP00000042471	ENSTNIP00000009610
ENSCAFP00000037953	ENSTNIP00000009607
ENSCAFP00000018846	ENSTNIP00000000276
ENSCAFP00000009132	ENSTNIP00000016718
ENSCAFP00000008783	ENSTNIP00000018027
ENSCAFP00000013874	ENSTNIP00000015408
ENSCAFP00000039644	ENSTNIP00000005958
ENSCAFP00000017037	ENSTNIP00000013297
ENSCAFP00000017037	ENSTNIP00000012416
ENSCAFP00000001426	ENSTNIP00000005978
ENSCAFP00000010681	ENSTNIP00000009466
ENSCAFP00000008523	ENSTNIP00000012902
ENSCAFP00000021553	ENSTNIP00000014678
ENSCAFP00000029683	ENSTNIP00000012223
ENSCAFP00000039820	ENSTNIP00000017140
ENSCAFP00000025905	ENSTNIP00000014563
ENSCAFP00000025905	ENSTNIP00000008143
ENSCAFP00000037408	ENSTNIP00000010929
ENSCAFP00000029570	ENSTNIP00000008080
ENSCAFP00000024003	ENSTNIP00000020628
ENSCAFP00000024003	ENSTNIP00000013668
ENSCAFP00000005367	ENSTNIP00000012089
ENSCAFP00000022150	ENSTNIP00000015859
ENSCAFP00000029639	ENSTNIP00000018329
ENSCAFP00000013939	ENSTNIP00000012257
ENSCAFP00000018700	ENSTNIP00000020893
ENSCAFP00000001191	ENSTNIP00000022303
ENSCAFP00000012166	ENSTNIP00000015197
ENSCAFP00000023790	ENSTNIP00000011646
ENSCAFP00000041233	ENSTNIP00000011334
ENSCAFP00000018292	ENSTNIP00000017340
ENSCAFP00000018292	ENSTNIP00000018295
ENSCAFP00000019683	ENSTNIP00000014676
ENSCAFP00000014137	ENSTNIP00000012347
ENSCAFP00000020384	ENSTNIP00000002910
ENSCAFP00000009003	ENSTNIP00000022222
ENSCAFP00000009003	ENSTNIP00000012854
ENSCAFP00000026323	ENSTNIP00000011254
ENSCAFP00000037494	ENSTNIP00000003138
ENSCAFP00000017429	ENSTNIP00000020783
ENSCAFP00000036652	ENSTNIP00000002365
ENSCAFP00000024276	ENSTNIP00000007116
ENSCAFP00000004919	ENSTNIP00000007873
ENSCAFP00000005317	ENSTNIP00000003073
ENSCAFP00000015478	ENSTNIP00000015440
ENSCAFP00000022673	ENSTNIP00000002945
ENSCAFP00000022673	ENSTNIP00000010493
ENSCAFP00000001958	ENSTNIP00000000060
ENSCAFP00000012263	ENSTNIP00000011180
ENSCAFP00000006886	ENSTNIP00000012573
ENSCAFP00000002376	ENSTNIP00000001236
ENSCAFP00000013729	ENSTNIP00000013368
ENSCAFP00000021570	ENSTNIP00000012955
ENSCAFP00000013230	ENSTNIP00000017286
ENSCAFP00000036551	ENSTNIP00000001903
ENSCAFP00000002446	ENSTNIP00000005786
ENSCAFP00000002925	ENSTNIP00000018716
ENSCAFP00000011342	ENSTNIP00000008800
ENSCAFP00000031222	ENSTNIP00000018154
ENSCAFP00000027100	ENSTNIP00000013171
ENSCAFP00000013877	ENSTNIP00000012491
ENSCAFP00000005116	ENSTNIP00000019154
ENSCAFP00000020107	ENSTNIP00000009836
ENSCAFP00000020107	ENSTNIP00000006621
ENSCAFP00000013583	ENSTNIP00000013169
ENSCAFP00000019645	ENSTNIP00000020394
ENSCAFP00000042713	ENSTNIP00000005096
ENSCAFP00000042713	ENSTNIP00000021793
ENSCAFP00000009964	ENSTNIP00000021927
ENSCAFP00000018157	ENSTNIP00000000313
ENSCAFP00000004942	ENSTNIP00000011303
ENSCAFP00000004942	ENSTNIP00000002396
ENSCAFP00000020374	ENSTNIP00000014388
ENSCAFP00000020374	ENSTNIP00000008007
ENSCAFP00000015121	ENSTNIP00000010066
ENSCAFP00000015121	ENSTNIP00000018178
ENSCAFP00000027678	ENSTNIP00000001223
ENSCAFP00000021753	ENSTNIP00000011712
ENSCAFP00000028620	ENSTNIP00000018212
ENSCAFP00000020375	ENSTNIP00000010877
ENSCAFP00000020375	ENSTNIP00000008480
ENSCAFP00000004845	ENSTNIP00000020441
ENSCAFP00000026000	ENSTNIP00000008942
ENSCAFP00000026000	ENSTNIP00000017111
ENSCAFP00000029873	ENSTNIP00000008951
ENSCAFP00000000550	ENSTNIP00000005265
ENSCAFP00000009897	ENSTNIP00000018050
ENSCAFP00000031869	ENSTNIP00000005574
ENSCAFP00000032071	ENSTNIP00000022651
ENSCAFP00000001786	ENSTNIP00000013428
ENSCAFP00000038509	ENSTNIP00000004379
ENSCAFP00000037679	ENSTNIP00000006105
ENSCAFP00000005292	ENSTNIP00000007744
ENSCAFP00000013398	ENSTNIP00000008380
ENSCAFP00000035883	ENSTNIP00000016861
ENSCAFP00000011536	ENSTNIP00000018912
ENSCAFP00000011536	ENSTNIP00000000581
ENSCAFP00000020404	ENSTNIP00000009478
ENSCAFP00000015605	ENSTNIP00000019602
ENSCAFP00000005101	ENSTNIP00000022315
ENSCAFP00000005101	ENSTNIP00000012118
ENSCAFP00000024052	ENSTNIP00000014813
ENSCAFP00000025530	ENSTNIP00000011266
ENSCAFP00000025530	ENSTNIP00000004367
ENSCAFP00000009488	ENSTNIP00000004852
ENSCAFP00000023599	ENSTNIP00000017224
ENSCAFP00000007651	ENSTNIP00000001031
ENSCAFP00000011875	ENSTNIP00000011008
ENSCAFP00000024108	ENSTNIP00000015169
ENSCAFP00000015277	ENSTNIP00000015050
ENSCAFP00000027492	ENSTNIP00000007650
ENSCAFP00000014581	ENSTNIP00000018688
ENSCAFP00000035619	ENSTNIP00000012343
ENSCAFP00000031589	ENSTNIP00000011001
ENSCAFP00000036663	ENSTNIP00000003743
ENSCAFP00000008996	ENSTNIP00000020983
ENSCAFP00000002884	ENSTNIP00000020818
ENSCAFP00000007560	ENSTNIP00000020662
ENSCAFP00000007560	ENSTNIP00000014553
ENSCAFP00000005895	ENSTNIP00000010902
ENSCAFP00000001057	ENSTNIP00000013389
ENSCAFP00000001057	ENSTNIP00000011277
ENSCAFP00000005803	ENSTNIP00000011641
ENSCAFP00000026118	ENSTNIP00000011159
ENSCAFP00000028279	ENSTNIP00000018578
ENSCAFP00000027873	ENSTNIP00000022041
ENSCAFP00000003369	ENSTNIP00000016879
ENSCAFP00000027972	ENSTNIP00000010691
ENSCAFP00000027955	ENSTNIP00000010690
ENSCAFP00000027458	ENSTNIP00000001130
ENSCAFP00000027446	ENSTNIP00000004602
ENSCAFP00000013818	ENSTNIP00000005961
ENSCAFP00000013818	ENSTNIP00000012480
ENSCAFP00000021258	ENSTNIP00000008075
ENSCAFP00000021258	ENSTNIP00000011492
ENSCAFP00000013783	ENSTNIP00000009833
ENSCAFP00000013783	ENSTNIP00000008391
ENSCAFP00000014278	ENSTNIP00000007696
ENSCAFP00000008430	ENSTNIP00000010751
ENSCAFP00000008430	ENSTNIP00000006288
ENSCAFP00000010647	ENSTNIP00000007904
ENSCAFP00000026031	ENSTNIP00000005231
ENSCAFP00000017880	ENSTNIP00000020838
ENSCAFP00000001183	ENSTNIP00000004071
ENSCAFP00000001183	ENSTNIP00000014797
ENSCAFP00000001198	ENSTNIP00000004847
ENSCAFP00000011396	ENSTNIP00000022051
ENSCAFP00000007003	ENSTNIP00000011331
ENSCAFP00000010535	ENSTNIP00000021309
ENSCAFP00000016804	ENSTNIP00000017657
ENSCAFP00000013721	ENSTNIP00000006568
ENSCAFP00000013170	ENSTNIP00000010646
ENSCAFP00000014998	ENSTNIP00000011422
ENSCAFP00000020477	ENSTNIP00000010597
ENSCAFP00000000938	ENSTNIP00000006474
ENSCAFP00000026148	ENSTNIP00000001510
ENSCAFP00000030253	ENSTNIP00000002866
ENSCAFP00000030253	ENSTNIP00000000411
ENSCAFP00000036535	ENSTNIP00000018118
ENSCAFP00000036535	ENSTNIP00000003737
ENSCAFP00000005014	ENSTNIP00000006780
ENSCAFP00000024021	ENSTNIP00000017158
ENSCAFP00000038277	ENSTNIP00000007680
ENSCAFP00000024667	ENSTNIP00000017975
ENSCAFP00000014770	ENSTNIP00000018739
ENSCAFP00000027739	ENSTNIP00000021262
ENSCAFP00000005389	ENSTNIP00000020866
ENSCAFP00000012208	ENSTNIP00000019885
ENSCAFP00000035961	ENSTNIP00000016795
ENSCAFP00000024410	ENSTNIP00000010428
ENSCAFP00000004364	ENSTNIP00000019018
ENSCAFP00000013933	ENSTNIP00000006405
ENSCAFP00000001409	ENSTNIP00000022845
ENSCAFP00000019708	ENSTNIP00000021960
ENSCAFP00000013071	ENSTNIP00000018476
ENSCAFP00000019667	ENSTNIP00000022437
ENSCAFP00000019667	ENSTNIP00000013136
ENSCAFP00000034803	ENSTNIP00000011522
ENSCAFP00000023001	ENSTNIP00000014339
ENSCAFP00000042901	ENSTNIP00000005917
ENSCAFP00000042901	ENSTNIP00000012692
ENSCAFP00000008944	ENSTNIP00000022223
ENSCAFP00000008944	ENSTNIP00000014710
ENSCAFP00000024882	ENSTNIP00000001157
ENSCAFP00000006746	ENSTNIP00000021828
ENSCAFP00000002508	ENSTNIP00000015014
ENSCAFP00000002508	ENSTNIP00000002105
ENSCAFP00000037475	ENSTNIP00000019290
ENSCAFP00000037475	ENSTNIP00000019257
ENSCAFP00000041417	ENSTNIP00000016106
ENSCAFP00000041417	ENSTNIP00000015319
ENSCAFP00000021028	ENSTNIP00000014520
ENSCAFP00000042451	ENSTNIP00000010470
ENSCAFP00000021134	ENSTNIP00000010528
ENSCAFP00000021134	ENSTNIP00000018325
ENSCAFP00000014131	ENSTNIP00000013983
ENSCAFP00000017529	ENSTNIP00000021073
ENSCAFP00000017529	ENSTNIP00000017705
ENSCAFP00000028361	ENSTNIP00000013822
ENSCAFP00000029349	ENSTNIP00000011693
ENSCAFP00000042579	ENSTNIP00000006587
ENSCAFP00000020955	ENSTNIP00000011236
ENSCAFP00000019966	ENSTNIP00000009498
ENSCAFP00000020445	ENSTNIP00000001680
ENSCAFP00000020445	ENSTNIP00000011155
ENSCAFP00000002028	ENSTNIP00000017756
ENSCAFP00000000213	ENSTNIP00000013233
ENSCAFP00000023411	ENSTNIP00000012183
ENSCAFP00000010967	ENSTNIP00000019113
ENSCAFP00000018144	ENSTNIP00000013674
ENSCAFP00000020719	ENSTNIP00000016835
ENSCAFP00000002550	ENSTNIP00000016368
ENSCAFP00000018686	ENSTNIP00000011151
ENSCAFP00000015204	ENSTNIP00000013376
ENSCAFP00000026719	ENSTNIP00000000423
ENSCAFP00000033192	ENSTNIP00000002777
ENSCAFP00000015703	ENSTNIP00000009476
ENSCAFP00000027307	ENSTNIP00000018844
ENSCAFP00000024567	ENSTNIP00000014728
ENSCAFP00000024567	ENSTNIP00000007486
ENSCAFP00000011460	ENSTNIP00000010661
ENSCAFP00000011460	ENSTNIP00000000098
ENSCAFP00000022476	ENSTNIP00000016779
ENSCAFP00000022476	ENSTNIP00000017498
ENSCAFP00000016511	ENSTNIP00000018352
ENSCAFP00000030051	ENSTNIP00000012220
ENSCAFP00000030051	ENSTNIP00000015072
ENSCAFP00000017095	ENSTNIP00000021437
ENSCAFP00000018240	ENSTNIP00000006205
ENSCAFP00000008426	ENSTNIP00000010668
ENSCAFP00000014145	ENSTNIP00000007894
ENSCAFP00000000711	ENSTNIP00000012004
ENSCAFP00000018208	ENSTNIP00000008339
ENSCAFP00000018208	ENSTNIP00000012537
ENSCAFP00000029071	ENSTNIP00000009503
ENSCAFP00000006235	ENSTNIP00000010572
ENSCAFP00000023862	ENSTNIP00000017321
ENSCAFP00000036692	ENSTNIP00000015935
ENSCAFP00000026420	ENSTNIP00000013902
ENSCAFP00000017789	ENSTNIP00000017695
ENSCAFP00000013295	ENSTNIP00000018480
ENSCAFP00000005569	ENSTNIP00000005346
ENSCAFP00000005913	ENSTNIP00000011559
ENSCAFP00000020169	ENSTNIP00000016789
ENSCAFP00000004319	ENSTNIP00000018413
ENSCAFP00000000488	ENSTNIP00000011852
ENSCAFP00000020929	ENSTNIP00000017986
ENSCAFP00000020929	ENSTNIP00000022115
ENSCAFP00000024294	ENSTNIP00000007120
ENSCAFP00000041094	ENSTNIP00000018674
ENSCAFP00000019618	ENSTNIP00000014694
ENSCAFP00000024952	ENSTNIP00000014081
ENSCAFP00000008454	ENSTNIP00000019882
ENSCAFP00000024765	ENSTNIP00000014236
ENSCAFP00000024968	ENSTNIP00000020719
ENSCAFP00000013819	ENSTNIP00000016667
ENSCAFP00000018695	ENSTNIP00000022713
ENSCAFP00000039921	ENSTNIP00000012925
ENSCAFP00000000121	ENSTNIP00000021416
ENSCAFP00000024586	ENSTNIP00000011784
ENSCAFP00000014427	ENSTNIP00000011511
ENSCAFP00000015058	ENSTNIP00000006978
ENSCAFP00000010182	ENSTNIP00000016400
ENSCAFP00000018594	ENSTNIP00000011179
ENSCAFP00000041042	ENSTNIP00000004831
ENSCAFP00000041042	ENSTNIP00000016989
ENSCAFP00000017213	ENSTNIP00000018778
ENSCAFP00000018712	ENSTNIP00000006446
ENSCAFP00000018712	ENSTNIP00000003653
ENSCAFP00000015207	ENSTNIP00000019336
ENSCAFP00000015207	ENSTNIP00000014761
ENSCAFP00000017680	ENSTNIP00000019391
ENSCAFP00000017680	ENSTNIP00000012876
ENSCAFP00000014886	ENSTNIP00000006894
ENSCAFP00000010829	ENSTNIP00000011884
ENSCAFP00000008566	ENSTNIP00000007289
ENSCAFP00000014939	ENSTNIP00000016351
ENSCAFP00000014939	ENSTNIP00000014803
ENSCAFP00000017275	ENSTNIP00000010643
ENSCAFP00000026384	ENSTNIP00000015818
ENSCAFP00000037413	ENSTNIP00000020815
ENSCAFP00000007269	ENSTNIP00000014542
ENSCAFP00000026870	ENSTNIP00000017880
ENSCAFP00000019461	ENSTNIP00000006749
ENSCAFP00000007005	ENSTNIP00000001875
ENSCAFP00000030275	ENSTNIP00000013408
ENSCAFP00000004219	ENSTNIP00000015062
ENSCAFP00000014869	ENSTNIP00000010992
ENSCAFP00000014452	ENSTNIP00000002713
ENSCAFP00000019835	ENSTNIP00000006669
ENSCAFP00000039860	ENSTNIP00000016041
ENSCAFP00000036390	ENSTNIP00000020843
ENSCAFP00000027224	ENSTNIP00000022474
ENSCAFP00000034848	ENSTNIP00000006067
ENSCAFP00000015466	ENSTNIP00000014513
ENSCAFP00000023037	ENSTNIP00000005424
ENSCAFP00000019298	ENSTNIP00000020777
ENSCAFP00000014194	ENSTNIP00000008450
ENSCAFP00000017664	ENSTNIP00000006442
ENSCAFP00000003141	ENSTNIP00000006604
ENSCAFP00000037362	ENSTNIP00000012315
ENSCAFP00000035063	ENSTNIP00000016892
ENSCAFP00000024551	ENSTNIP00000010201
ENSCAFP00000020603	ENSTNIP00000018612
ENSCAFP00000006920	ENSTNIP00000020093
ENSCAFP00000003692	ENSTNIP00000010191
ENSCAFP00000021617	ENSTNIP00000010847
ENSCAFP00000010288	ENSTNIP00000003156
ENSCAFP00000010288	ENSTNIP00000016743
ENSCAFP00000023336	ENSTNIP00000014315
ENSCAFP00000012593	ENSTNIP00000014400
ENSCAFP00000023342	ENSTNIP00000015983
ENSCAFP00000033932	ENSTNIP00000005903
ENSCAFP00000009658	ENSTNIP00000012827
ENSCAFP00000009658	ENSTNIP00000019366
ENSCAFP00000035463	ENSTNIP00000012114
ENSCAFP00000014481	ENSTNIP00000018732
ENSCAFP00000009645	ENSTNIP00000015535
ENSCAFP00000009645	ENSTNIP00000010163
