ENSMUSP00000034074	ENSTNIP00000004863
ENSMUSP00000102710	ENSTNIP00000007675
ENSMUSP00000097166	ENSTNIP00000019554
ENSMUSP00000102177	ENSTNIP00000022151
ENSMUSP00000032715	ENSTNIP00000002037
ENSMUSP00000036674	ENSTNIP00000008097
ENSMUSP00000042867	ENSTNIP00000011488
ENSMUSP00000104411	ENSTNIP00000011323
ENSMUSP00000018630	ENSTNIP00000014635
ENSMUSP00000006718	ENSTNIP00000020177
ENSMUSP00000003808	ENSTNIP00000014004
ENSMUSP00000024049	ENSTNIP00000008502
ENSMUSP00000018382	ENSTNIP00000011795
ENSMUSP00000039653	ENSTNIP00000008278
ENSMUSP00000031278	ENSTNIP00000019819
ENSMUSP00000105486	ENSTNIP00000020469
ENSMUSP00000094528	ENSTNIP00000016383
ENSMUSP00000022707	ENSTNIP00000012306
ENSMUSP00000064131	ENSTNIP00000007331
ENSMUSP00000124459	ENSTNIP00000018800
ENSMUSP00000047199	ENSTNIP00000018334
ENSMUSP00000047199	ENSTNIP00000000638
ENSMUSP00000038015	ENSTNIP00000020868
ENSMUSP00000119993	ENSTNIP00000019031
ENSMUSP00000119993	ENSTNIP00000016206
ENSMUSP00000048978	ENSTNIP00000010267
ENSMUSP00000030306	ENSTNIP00000013793
ENSMUSP00000064775	ENSTNIP00000010816
ENSMUSP00000103028	ENSTNIP00000003575
ENSMUSP00000095964	ENSTNIP00000007340
ENSMUSP00000115260	ENSTNIP00000016040
ENSMUSP00000075089	ENSTNIP00000014011
ENSMUSP00000075089	ENSTNIP00000002898
ENSMUSP00000126897	ENSTNIP00000021443
ENSMUSP00000074533	ENSTNIP00000001502
ENSMUSP00000089513	ENSTNIP00000007089
ENSMUSP00000109098	ENSTNIP00000008582
ENSMUSP00000109098	ENSTNIP00000011876
ENSMUSP00000044245	ENSTNIP00000011020
ENSMUSP00000037532	ENSTNIP00000009412
ENSMUSP00000041622	ENSTNIP00000016188
ENSMUSP00000004968	ENSTNIP00000005272
ENSMUSP00000125373	ENSTNIP00000002453
ENSMUSP00000019662	ENSTNIP00000010487
ENSMUSP00000117346	ENSTNIP00000019645
ENSMUSP00000109886	ENSTNIP00000013536
ENSMUSP00000033380	ENSTNIP00000002580
ENSMUSP00000027697	ENSTNIP00000010184
ENSMUSP00000030814	ENSTNIP00000011332
ENSMUSP00000033755	ENSTNIP00000016915
ENSMUSP00000033756	ENSTNIP00000016960
ENSMUSP00000027538	ENSTNIP00000011744
ENSMUSP00000033549	ENSTNIP00000007098
ENSMUSP00000033549	ENSTNIP00000018861
ENSMUSP00000026795	ENSTNIP00000011521
ENSMUSP00000033341	ENSTNIP00000012246
ENSMUSP00000103391	ENSTNIP00000015807
ENSMUSP00000049070	ENSTNIP00000004001
ENSMUSP00000082895	ENSTNIP00000009462
ENSMUSP00000080832	ENSTNIP00000019057
ENSMUSP00000033501	ENSTNIP00000004593
ENSMUSP00000133245	ENSTNIP00000019191
ENSMUSP00000021046	ENSTNIP00000017983
ENSMUSP00000021062	ENSTNIP00000020654
ENSMUSP00000025500	ENSTNIP00000005696
ENSMUSP00000078971	ENSTNIP00000016193
ENSMUSP00000079864	ENSTNIP00000004730
ENSMUSP00000138944	ENSTNIP00000013737
ENSMUSP00000036830	ENSTNIP00000022314
ENSMUSP00000066839	ENSTNIP00000002392
ENSMUSP00000002809	ENSTNIP00000018794
ENSMUSP00000031795	ENSTNIP00000020092
ENSMUSP00000001595	ENSTNIP00000009396
ENSMUSP00000001595	ENSTNIP00000005167
ENSMUSP00000072472	ENSTNIP00000006348
ENSMUSP00000077919	ENSTNIP00000016316
ENSMUSP00000023807	ENSTNIP00000005481
ENSMUSP00000020704	ENSTNIP00000003187
ENSMUSP00000020704	ENSTNIP00000003719
ENSMUSP00000046610	ENSTNIP00000011174
ENSMUSP00000046610	ENSTNIP00000011717
ENSMUSP00000084091	ENSTNIP00000016889
ENSMUSP00000092654	ENSTNIP00000002630
ENSMUSP00000036227	ENSTNIP00000013618
ENSMUSP00000042410	ENSTNIP00000013679
ENSMUSP00000031037	ENSTNIP00000008113
ENSMUSP00000035257	ENSTNIP00000007337
ENSMUSP00000005952	ENSTNIP00000012410
ENSMUSP00000101768	ENSTNIP00000000096
ENSMUSP00000010605	ENSTNIP00000004169
ENSMUSP00000126137	ENSTNIP00000019810
ENSMUSP00000026093	ENSTNIP00000012366
ENSMUSP00000074864	ENSTNIP00000005750
ENSMUSP00000107444	ENSTNIP00000015048
ENSMUSP00000026427	ENSTNIP00000018112
ENSMUSP00000026427	ENSTNIP00000017584
ENSMUSP00000098548	ENSTNIP00000010808
ENSMUSP00000098548	ENSTNIP00000008567
ENSMUSP00000105212	ENSTNIP00000016575
ENSMUSP00000041897	ENSTNIP00000021248
ENSMUSP00000043085	ENSTNIP00000005097
ENSMUSP00000104533	ENSTNIP00000019177
ENSMUSP00000046585	ENSTNIP00000017433
ENSMUSP00000107347	ENSTNIP00000000410
ENSMUSP00000031674	ENSTNIP00000022974
ENSMUSP00000053238	ENSTNIP00000006791
ENSMUSP00000053238	ENSTNIP00000015607
ENSMUSP00000093141	ENSTNIP00000015045
ENSMUSP00000030041	ENSTNIP00000004007
ENSMUSP00000021689	ENSTNIP00000001462
ENSMUSP00000021689	ENSTNIP00000013657
ENSMUSP00000046216	ENSTNIP00000001947
ENSMUSP00000121309	ENSTNIP00000007481
ENSMUSP00000027226	ENSTNIP00000019677
ENSMUSP00000081455	ENSTNIP00000009421
ENSMUSP00000003438	ENSTNIP00000013063
ENSMUSP00000030477	ENSTNIP00000009402
ENSMUSP00000061390	ENSTNIP00000004502
ENSMUSP00000110074	ENSTNIP00000010409
ENSMUSP00000124473	ENSTNIP00000017707
ENSMUSP00000124473	ENSTNIP00000018493
ENSMUSP00000037576	ENSTNIP00000013202
ENSMUSP00000037576	ENSTNIP00000012018
ENSMUSP00000050730	ENSTNIP00000018958
ENSMUSP00000124131	ENSTNIP00000012426
ENSMUSP00000124131	ENSTNIP00000012427
ENSMUSP00000023486	ENSTNIP00000016631
ENSMUSP00000023486	ENSTNIP00000010696
ENSMUSP00000031729	ENSTNIP00000007261
ENSMUSP00000031691	ENSTNIP00000000583
ENSMUSP00000031690	ENSTNIP00000013315
ENSMUSP00000042667	ENSTNIP00000007749
ENSMUSP00000032376	ENSTNIP00000020639
ENSMUSP00000127892	ENSTNIP00000015466
ENSMUSP00000104878	ENSTNIP00000019074
ENSMUSP00000063380	ENSTNIP00000008726
ENSMUSP00000030376	ENSTNIP00000005762
ENSMUSP00000030376	ENSTNIP00000000686
ENSMUSP00000053270	ENSTNIP00000005334
ENSMUSP00000045973	ENSTNIP00000010559
ENSMUSP00000036150	ENSTNIP00000002104
ENSMUSP00000059026	ENSTNIP00000020483
ENSMUSP00000125871	ENSTNIP00000010273
ENSMUSP00000135677	ENSTNIP00000010274
ENSMUSP00000021714	ENSTNIP00000015355
ENSMUSP00000036721	ENSTNIP00000006777
ENSMUSP00000036721	ENSTNIP00000018579
ENSMUSP00000102813	ENSTNIP00000004232
ENSMUSP00000102813	ENSTNIP00000021319
ENSMUSP00000106963	ENSTNIP00000017504
ENSMUSP00000085872	ENSTNIP00000014347
ENSMUSP00000085872	ENSTNIP00000015091
ENSMUSP00000021467	ENSTNIP00000022535
ENSMUSP00000041173	ENSTNIP00000013166
ENSMUSP00000024742	ENSTNIP00000019489
ENSMUSP00000021004	ENSTNIP00000008351
ENSMUSP00000111151	ENSTNIP00000011343
ENSMUSP00000105350	ENSTNIP00000009832
ENSMUSP00000037324	ENSTNIP00000011695
ENSMUSP00000041294	ENSTNIP00000012507
ENSMUSP00000020008	ENSTNIP00000010059
ENSMUSP00000007257	ENSTNIP00000008124
ENSMUSP00000109904	ENSTNIP00000005460
ENSMUSP00000099947	ENSTNIP00000005351
ENSMUSP00000126340	ENSTNIP00000006781
ENSMUSP00000122855	ENSTNIP00000019601
ENSMUSP00000137256	ENSTNIP00000018159
ENSMUSP00000137256	ENSTNIP00000000759
ENSMUSP00000006703	ENSTNIP00000017718
ENSMUSP00000090277	ENSTNIP00000016036
ENSMUSP00000058730	ENSTNIP00000008856
ENSMUSP00000137517	ENSTNIP00000017156
ENSMUSP00000028071	ENSTNIP00000010967
ENSMUSP00000104311	ENSTNIP00000005107
ENSMUSP00000031750	ENSTNIP00000011131
ENSMUSP00000066894	ENSTNIP00000009154
ENSMUSP00000066894	ENSTNIP00000009164
ENSMUSP00000030898	ENSTNIP00000014948
ENSMUSP00000073246	ENSTNIP00000007319
ENSMUSP00000092735	ENSTNIP00000007704
ENSMUSP00000062239	ENSTNIP00000016469
ENSMUSP00000101903	ENSTNIP00000012663
ENSMUSP00000071859	ENSTNIP00000018971
ENSMUSP00000132687	ENSTNIP00000015857
ENSMUSP00000070868	ENSTNIP00000021291
ENSMUSP00000025718	ENSTNIP00000008855
ENSMUSP00000085683	ENSTNIP00000000564
ENSMUSP00000042271	ENSTNIP00000004971
ENSMUSP00000076660	ENSTNIP00000004957
ENSMUSP00000030212	ENSTNIP00000008151
ENSMUSP00000030212	ENSTNIP00000001004
ENSMUSP00000129800	ENSTNIP00000022156
ENSMUSP00000034600	ENSTNIP00000001946
ENSMUSP00000034600	ENSTNIP00000005006
ENSMUSP00000107062	ENSTNIP00000000517
ENSMUSP00000126826	ENSTNIP00000009610
ENSMUSP00000062507	ENSTNIP00000009607
ENSMUSP00000110311	ENSTNIP00000000276
ENSMUSP00000061470	ENSTNIP00000016718
ENSMUSP00000046368	ENSTNIP00000018027
ENSMUSP00000045409	ENSTNIP00000011823
ENSMUSP00000023437	ENSTNIP00000022878
ENSMUSP00000128922	ENSTNIP00000015408
ENSMUSP00000095845	ENSTNIP00000005958
ENSMUSP00000054545	ENSTNIP00000013297
ENSMUSP00000054545	ENSTNIP00000012416
ENSMUSP00000019920	ENSTNIP00000005978
ENSMUSP00000035649	ENSTNIP00000009466
ENSMUSP00000025208	ENSTNIP00000012902
ENSMUSP00000048350	ENSTNIP00000014678
ENSMUSP00000053431	ENSTNIP00000012223
ENSMUSP00000029850	ENSTNIP00000005888
ENSMUSP00000090567	ENSTNIP00000010928
ENSMUSP00000090567	ENSTNIP00000021358
ENSMUSP00000047888	ENSTNIP00000017140
ENSMUSP00000081664	ENSTNIP00000014563
ENSMUSP00000081664	ENSTNIP00000008143
ENSMUSP00000021066	ENSTNIP00000014905
ENSMUSP00000138618	ENSTNIP00000010929
ENSMUSP00000082220	ENSTNIP00000008080
ENSMUSP00000123078	ENSTNIP00000020628
ENSMUSP00000123078	ENSTNIP00000013668
ENSMUSP00000101700	ENSTNIP00000012089
ENSMUSP00000040416	ENSTNIP00000015859
ENSMUSP00000029575	ENSTNIP00000018329
ENSMUSP00000028623	ENSTNIP00000012257
ENSMUSP00000030643	ENSTNIP00000020893
ENSMUSP00000076505	ENSTNIP00000022303
ENSMUSP00000022550	ENSTNIP00000015197
ENSMUSP00000019226	ENSTNIP00000019168
ENSMUSP00000108302	ENSTNIP00000011646
ENSMUSP00000084062	ENSTNIP00000017340
ENSMUSP00000084062	ENSTNIP00000018295
ENSMUSP00000097909	ENSTNIP00000014676
ENSMUSP00000065205	ENSTNIP00000012347
ENSMUSP00000027896	ENSTNIP00000002910
ENSMUSP00000029307	ENSTNIP00000022222
ENSMUSP00000029307	ENSTNIP00000012854
ENSMUSP00000034883	ENSTNIP00000011254
ENSMUSP00000054226	ENSTNIP00000003138
ENSMUSP00000107035	ENSTNIP00000020783
ENSMUSP00000094076	ENSTNIP00000002365
ENSMUSP00000106460	ENSTNIP00000007116
ENSMUSP00000031868	ENSTNIP00000007873
ENSMUSP00000031713	ENSTNIP00000003073
ENSMUSP00000029208	ENSTNIP00000015440
ENSMUSP00000021161	ENSTNIP00000002945
ENSMUSP00000021161	ENSTNIP00000010493
ENSMUSP00000022040	ENSTNIP00000000060
ENSMUSP00000129216	ENSTNIP00000011180
ENSMUSP00000110348	ENSTNIP00000012573
ENSMUSP00000095533	ENSTNIP00000018552
ENSMUSP00000068716	ENSTNIP00000001236
ENSMUSP00000091964	ENSTNIP00000013368
ENSMUSP00000128308	ENSTNIP00000019695
ENSMUSP00000003659	ENSTNIP00000012955
ENSMUSP00000022213	ENSTNIP00000017286
ENSMUSP00000060441	ENSTNIP00000001903
ENSMUSP00000057488	ENSTNIP00000005786
ENSMUSP00000059654	ENSTNIP00000018716
ENSMUSP00000040229	ENSTNIP00000008800
ENSMUSP00000031607	ENSTNIP00000007586
ENSMUSP00000044627	ENSTNIP00000018154
ENSMUSP00000090528	ENSTNIP00000013171
ENSMUSP00000129378	ENSTNIP00000012491
ENSMUSP00000088089	ENSTNIP00000019154
ENSMUSP00000076751	ENSTNIP00000009836
ENSMUSP00000076751	ENSTNIP00000006621
ENSMUSP00000124179	ENSTNIP00000013169
ENSMUSP00000130758	ENSTNIP00000020394
ENSMUSP00000084578	ENSTNIP00000005096
ENSMUSP00000084578	ENSTNIP00000021793
ENSMUSP00000065679	ENSTNIP00000021927
ENSMUSP00000061402	ENSTNIP00000000313
ENSMUSP00000049054	ENSTNIP00000011303
ENSMUSP00000049054	ENSTNIP00000002396
ENSMUSP00000101060	ENSTNIP00000014388
ENSMUSP00000101060	ENSTNIP00000008007
ENSMUSP00000043522	ENSTNIP00000010066
ENSMUSP00000043522	ENSTNIP00000018178
ENSMUSP00000060591	ENSTNIP00000001223
ENSMUSP00000103897	ENSTNIP00000011712
ENSMUSP00000136611	ENSTNIP00000018212
ENSMUSP00000125580	ENSTNIP00000010877
ENSMUSP00000125580	ENSTNIP00000008480
ENSMUSP00000049285	ENSTNIP00000020441
ENSMUSP00000034698	ENSTNIP00000008942
ENSMUSP00000034698	ENSTNIP00000017111
ENSMUSP00000002837	ENSTNIP00000008951
ENSMUSP00000132514	ENSTNIP00000005265
ENSMUSP00000043210	ENSTNIP00000018050
ENSMUSP00000100991	ENSTNIP00000005574
ENSMUSP00000006027	ENSTNIP00000022651
ENSMUSP00000036065	ENSTNIP00000013428
ENSMUSP00000112662	ENSTNIP00000004379
ENSMUSP00000020023	ENSTNIP00000006105
ENSMUSP00000036726	ENSTNIP00000007744
ENSMUSP00000041599	ENSTNIP00000008380
ENSMUSP00000036110	ENSTNIP00000016861
ENSMUSP00000099509	ENSTNIP00000006950
ENSMUSP00000000939	ENSTNIP00000018912
ENSMUSP00000000939	ENSTNIP00000000581
ENSMUSP00000091769	ENSTNIP00000009478
ENSMUSP00000028252	ENSTNIP00000019602
ENSMUSP00000091011	ENSTNIP00000022315
ENSMUSP00000091011	ENSTNIP00000012118
ENSMUSP00000019456	ENSTNIP00000014813
ENSMUSP00000034969	ENSTNIP00000011266
ENSMUSP00000034969	ENSTNIP00000004367
ENSMUSP00000077899	ENSTNIP00000004852
ENSMUSP00000031096	ENSTNIP00000017224
ENSMUSP00000073190	ENSTNIP00000001031
ENSMUSP00000027053	ENSTNIP00000011008
ENSMUSP00000122552	ENSTNIP00000015169
ENSMUSP00000026027	ENSTNIP00000015050
ENSMUSP00000017821	ENSTNIP00000007650
ENSMUSP00000031309	ENSTNIP00000018688
ENSMUSP00000028368	ENSTNIP00000012343
ENSMUSP00000137309	ENSTNIP00000015798
ENSMUSP00000095103	ENSTNIP00000011001
ENSMUSP00000045150	ENSTNIP00000003743
ENSMUSP00000023835	ENSTNIP00000020983
ENSMUSP00000131010	ENSTNIP00000020662
ENSMUSP00000131010	ENSTNIP00000014553
ENSMUSP00000103366	ENSTNIP00000010902
ENSMUSP00000038203	ENSTNIP00000013389
ENSMUSP00000038203	ENSTNIP00000011277
ENSMUSP00000031977	ENSTNIP00000011641
ENSMUSP00000065770	ENSTNIP00000011159
ENSMUSP00000113913	ENSTNIP00000018578
ENSMUSP00000118911	ENSTNIP00000022041
ENSMUSP00000114175	ENSTNIP00000016879
ENSMUSP00000067541	ENSTNIP00000010691
ENSMUSP00000031663	ENSTNIP00000010690
ENSMUSP00000106317	ENSTNIP00000001130
ENSMUSP00000124417	ENSTNIP00000004602
ENSMUSP00000064246	ENSTNIP00000005961
ENSMUSP00000064246	ENSTNIP00000012480
ENSMUSP00000126281	ENSTNIP00000008075
ENSMUSP00000126281	ENSTNIP00000011492
ENSMUSP00000126243	ENSTNIP00000009833
ENSMUSP00000126243	ENSTNIP00000008391
ENSMUSP00000105250	ENSTNIP00000007696
ENSMUSP00000001280	ENSTNIP00000007904
ENSMUSP00000096258	ENSTNIP00000005231
ENSMUSP00000075011	ENSTNIP00000020838
ENSMUSP00000025197	ENSTNIP00000004071
ENSMUSP00000025197	ENSTNIP00000014797
ENSMUSP00000128401	ENSTNIP00000004847
ENSMUSP00000031354	ENSTNIP00000022051
ENSMUSP00000110729	ENSTNIP00000011331
ENSMUSP00000029905	ENSTNIP00000021309
ENSMUSP00000018113	ENSTNIP00000017657
ENSMUSP00000129831	ENSTNIP00000006568
ENSMUSP00000038833	ENSTNIP00000010646
ENSMUSP00000019386	ENSTNIP00000011422
ENSMUSP00000034792	ENSTNIP00000010597
ENSMUSP00000007249	ENSTNIP00000006474
ENSMUSP00000034697	ENSTNIP00000001510
ENSMUSP00000087394	ENSTNIP00000002866
ENSMUSP00000087394	ENSTNIP00000000411
ENSMUSP00000114404	ENSTNIP00000018118
ENSMUSP00000114404	ENSTNIP00000003737
ENSMUSP00000075992	ENSTNIP00000006780
ENSMUSP00000099430	ENSTNIP00000017158
ENSMUSP00000044457	ENSTNIP00000007680
ENSMUSP00000036245	ENSTNIP00000017975
ENSMUSP00000030289	ENSTNIP00000021262
ENSMUSP00000039943	ENSTNIP00000020866
ENSMUSP00000070554	ENSTNIP00000020812
ENSMUSP00000000642	ENSTNIP00000019885
ENSMUSP00000020277	ENSTNIP00000016795
ENSMUSP00000051215	ENSTNIP00000010428
ENSMUSP00000099984	ENSTNIP00000019018
ENSMUSP00000017851	ENSTNIP00000006405
ENSMUSP00000020027	ENSTNIP00000022845
ENSMUSP00000051261	ENSTNIP00000021960
ENSMUSP00000047547	ENSTNIP00000018476
ENSMUSP00000028679	ENSTNIP00000022437
ENSMUSP00000028679	ENSTNIP00000013136
ENSMUSP00000098594	ENSTNIP00000011522
ENSMUSP00000099716	ENSTNIP00000005917
ENSMUSP00000099716	ENSTNIP00000012692
ENSMUSP00000055308	ENSTNIP00000022223
ENSMUSP00000055308	ENSTNIP00000014710
ENSMUSP00000059420	ENSTNIP00000001157
ENSMUSP00000100025	ENSTNIP00000021828
ENSMUSP00000099572	ENSTNIP00000019290
ENSMUSP00000099572	ENSTNIP00000019257
ENSMUSP00000057725	ENSTNIP00000016106
ENSMUSP00000057725	ENSTNIP00000015319
ENSMUSP00000056313	ENSTNIP00000014520
ENSMUSP00000053644	ENSTNIP00000004094
ENSMUSP00000061278	ENSTNIP00000010470
ENSMUSP00000029355	ENSTNIP00000010528
ENSMUSP00000029355	ENSTNIP00000018325
ENSMUSP00000041395	ENSTNIP00000013983
ENSMUSP00000006851	ENSTNIP00000021073
ENSMUSP00000006851	ENSTNIP00000017705
ENSMUSP00000101225	ENSTNIP00000013822
ENSMUSP00000045527	ENSTNIP00000011693
ENSMUSP00000021090	ENSTNIP00000006587
ENSMUSP00000070413	ENSTNIP00000011236
ENSMUSP00000126828	ENSTNIP00000009498
ENSMUSP00000027151	ENSTNIP00000001680
ENSMUSP00000027151	ENSTNIP00000011155
ENSMUSP00000085253	ENSTNIP00000017756
ENSMUSP00000062771	ENSTNIP00000008752
ENSMUSP00000114094	ENSTNIP00000013233
ENSMUSP00000139310	ENSTNIP00000012183
ENSMUSP00000096994	ENSTNIP00000019113
ENSMUSP00000047126	ENSTNIP00000007834
ENSMUSP00000070726	ENSTNIP00000013674
ENSMUSP00000025695	ENSTNIP00000016835
ENSMUSP00000002839	ENSTNIP00000016368
ENSMUSP00000124370	ENSTNIP00000002824
ENSMUSP00000039632	ENSTNIP00000011151
ENSMUSP00000020411	ENSTNIP00000013376
ENSMUSP00000109915	ENSTNIP00000000423
ENSMUSP00000033805	ENSTNIP00000002777
ENSMUSP00000122395	ENSTNIP00000009476
ENSMUSP00000016471	ENSTNIP00000018844
ENSMUSP00000047353	ENSTNIP00000014728
ENSMUSP00000047353	ENSTNIP00000007486
ENSMUSP00000034983	ENSTNIP00000010661
ENSMUSP00000034983	ENSTNIP00000000098
ENSMUSP00000027863	ENSTNIP00000016779
ENSMUSP00000027863	ENSTNIP00000017498
ENSMUSP00000138773	ENSTNIP00000018352
ENSMUSP00000127784	ENSTNIP00000012220
ENSMUSP00000127784	ENSTNIP00000015072
ENSMUSP00000074198	ENSTNIP00000021437
ENSMUSP00000024179	ENSTNIP00000006205
ENSMUSP00000033444	ENSTNIP00000014178
ENSMUSP00000027498	ENSTNIP00000010668
ENSMUSP00000018353	ENSTNIP00000007894
ENSMUSP00000018476	ENSTNIP00000012004
ENSMUSP00000101517	ENSTNIP00000008339
ENSMUSP00000101517	ENSTNIP00000012537
ENSMUSP00000019708	ENSTNIP00000009503
ENSMUSP00000083281	ENSTNIP00000010572
ENSMUSP00000125268	ENSTNIP00000017321
ENSMUSP00000021971	ENSTNIP00000015935
ENSMUSP00000050329	ENSTNIP00000013902
ENSMUSP00000035222	ENSTNIP00000017695
ENSMUSP00000048124	ENSTNIP00000018480
ENSMUSP00000044836	ENSTNIP00000005346
ENSMUSP00000025077	ENSTNIP00000011559
ENSMUSP00000113429	ENSTNIP00000016789
ENSMUSP00000031229	ENSTNIP00000018413
ENSMUSP00000020643	ENSTNIP00000011852
ENSMUSP00000006750	ENSTNIP00000017986
ENSMUSP00000006750	ENSTNIP00000022115
ENSMUSP00000133474	ENSTNIP00000007120
ENSMUSP00000012161	ENSTNIP00000018674
ENSMUSP00000109271	ENSTNIP00000014694
ENSMUSP00000103362	ENSTNIP00000014081
ENSMUSP00000038181	ENSTNIP00000019882
ENSMUSP00000033070	ENSTNIP00000014236
ENSMUSP00000113390	ENSTNIP00000020719
ENSMUSP00000077019	ENSTNIP00000016667
ENSMUSP00000021273	ENSTNIP00000013704
ENSMUSP00000059389	ENSTNIP00000022713
ENSMUSP00000023487	ENSTNIP00000012925
ENSMUSP00000137387	ENSTNIP00000006360
ENSMUSP00000026416	ENSTNIP00000021416
ENSMUSP00000021930	ENSTNIP00000011784
ENSMUSP00000059419	ENSTNIP00000011511
ENSMUSP00000026011	ENSTNIP00000006978
ENSMUSP00000031367	ENSTNIP00000016400
ENSMUSP00000129239	ENSTNIP00000011179
ENSMUSP00000085728	ENSTNIP00000004831
ENSMUSP00000085728	ENSTNIP00000016989
ENSMUSP00000023616	ENSTNIP00000018778
ENSMUSP00000006578	ENSTNIP00000006446
ENSMUSP00000006578	ENSTNIP00000003653
ENSMUSP00000023334	ENSTNIP00000019336
ENSMUSP00000023334	ENSTNIP00000014761
ENSMUSP00000034510	ENSTNIP00000019391
ENSMUSP00000034510	ENSTNIP00000012876
ENSMUSP00000026254	ENSTNIP00000006894
ENSMUSP00000100006	ENSTNIP00000011884
ENSMUSP00000111381	ENSTNIP00000007289
ENSMUSP00000039728	ENSTNIP00000016351
ENSMUSP00000039728	ENSTNIP00000014803
ENSMUSP00000103817	ENSTNIP00000010643
ENSMUSP00000058968	ENSTNIP00000015818
ENSMUSP00000084427	ENSTNIP00000020815
ENSMUSP00000021097	ENSTNIP00000014542
ENSMUSP00000025279	ENSTNIP00000017880
ENSMUSP00000095953	ENSTNIP00000006749
ENSMUSP00000030443	ENSTNIP00000001875
ENSMUSP00000073664	ENSTNIP00000013408
ENSMUSP00000103608	ENSTNIP00000015062
ENSMUSP00000039810	ENSTNIP00000010992
ENSMUSP00000120421	ENSTNIP00000002713
ENSMUSP00000005651	ENSTNIP00000006669
ENSMUSP00000027775	ENSTNIP00000020843
ENSMUSP00000006669	ENSTNIP00000020062
ENSMUSP00000105348	ENSTNIP00000022474
ENSMUSP00000085695	ENSTNIP00000006067
ENSMUSP00000023344	ENSTNIP00000014513
ENSMUSP00000111327	ENSTNIP00000005424
ENSMUSP00000027505	ENSTNIP00000020777
ENSMUSP00000032480	ENSTNIP00000010867
ENSMUSP00000062593	ENSTNIP00000016923
ENSMUSP00000035902	ENSTNIP00000007240
ENSMUSP00000105822	ENSTNIP00000008450
ENSMUSP00000129922	ENSTNIP00000006442
ENSMUSP00000037699	ENSTNIP00000006604
ENSMUSP00000056481	ENSTNIP00000012315
ENSMUSP00000061229	ENSTNIP00000016892
ENSMUSP00000040176	ENSTNIP00000014602
ENSMUSP00000040176	ENSTNIP00000008968
ENSMUSP00000042701	ENSTNIP00000010201
