ENSGACP00000024945	ENSDARP00000122973
ENSGACP00000022084	ENSDARP00000117927
ENSGACP00000022648	ENSDARP00000036715
ENSGACP00000014759	ENSDARP00000013849
ENSGACP00000006839	ENSDARP00000128322
ENSGACP00000022315	ENSDARP00000052396
ENSGACP00000016761	ENSDARP00000096293
ENSGACP00000011561	ENSDARP00000097747
ENSGACP00000002990	ENSDARP00000102479
ENSGACP00000010056	ENSDARP00000039324
ENSGACP00000010471	ENSDARP00000004394
ENSGACP00000021969	ENSDARP00000017456
ENSGACP00000025513	ENSDARP00000075275
ENSGACP00000025845	ENSDARP00000003744
ENSGACP00000023903	ENSDARP00000104468
ENSGACP00000005981	ENSDARP00000097050
ENSGACP00000017996	ENSDARP00000025441
ENSGACP00000011089	ENSDARP00000097768
ENSGACP00000009755	ENSDARP00000115728
ENSGACP00000015915	ENSDARP00000060526
ENSGACP00000013498	ENSDARP00000128832
ENSGACP00000013505	ENSDARP00000128926
ENSGACP00000023103	ENSDARP00000105356
ENSGACP00000018225	ENSDARP00000072778
ENSGACP00000002295	ENSDARP00000123389
ENSGACP00000018209	ENSDARP00000072786
ENSGACP00000012521	ENSDARP00000122905
ENSGACP00000016002	ENSDARP00000129163
ENSGACP00000019518	ENSDARP00000083020
ENSGACP00000004546	ENSDARP00000129294
ENSGACP00000011567	ENSDARP00000036929
ENSGACP00000013013	ENSDARP00000114466
ENSGACP00000006206	ENSDARP00000109018
ENSGACP00000019496	ENSDARP00000098378
ENSGACP00000022493	ENSDARP00000093306
ENSGACP00000015690	ENSDARP00000053157
ENSGACP00000023440	ENSDARP00000099910
ENSGACP00000021682	ENSDARP00000121246
ENSGACP00000011590	ENSDARP00000007140
ENSGACP00000014860	ENSDARP00000111663
ENSGACP00000026389	ENSDARP00000104491
ENSGACP00000013724	ENSDARP00000042193
ENSGACP00000004274	ENSDARP00000099879
ENSGACP00000015475	ENSDARP00000076418
ENSGACP00000017407	ENSDARP00000052791
ENSGACP00000007063	ENSDARP00000070109
ENSGACP00000007544	ENSDARP00000002973
ENSGACP00000013968	ENSDARP00000087079
ENSGACP00000015931	ENSDARP00000033311
ENSGACP00000005141	ENSDARP00000067607
ENSGACP00000007915	ENSDARP00000016139
ENSGACP00000022780	ENSDARP00000009865
ENSGACP00000009128	ENSDARP00000010426
ENSGACP00000005129	ENSDARP00000103041
ENSGACP00000007455	ENSDARP00000106740
ENSGACP00000012449	ENSDARP00000105608
ENSGACP00000005885	ENSDARP00000062853
ENSGACP00000009355	ENSDARP00000015027
ENSGACP00000008256	ENSDARP00000036016
ENSGACP00000021278	ENSDARP00000110537
ENSGACP00000024121	ENSDARP00000066622
ENSGACP00000014218	ENSDARP00000022709
ENSGACP00000012624	ENSDARP00000100111
ENSGACP00000006233	ENSDARP00000101968
ENSGACP00000022472	ENSDARP00000056678
ENSGACP00000018261	ENSDARP00000011396
ENSGACP00000015509	ENSDARP00000122393
ENSGACP00000022347	ENSDARP00000060945
ENSGACP00000007046	ENSDARP00000086789
ENSGACP00000017631	ENSDARP00000078040
ENSGACP00000010032	ENSDARP00000110256
ENSGACP00000016853	ENSDARP00000020784
ENSGACP00000010215	ENSDARP00000111457
ENSGACP00000023764	ENSDARP00000092080
ENSGACP00000007839	ENSDARP00000013157
ENSGACP00000024328	ENSDARP00000052440
ENSGACP00000008850	ENSDARP00000105799
ENSGACP00000003106	ENSDARP00000058512
ENSGACP00000003687	ENSDARP00000107372
ENSGACP00000012330	ENSDARP00000107527
ENSGACP00000013891	ENSDARP00000107947
ENSGACP00000015752	ENSDARP00000053660
ENSGACP00000014390	ENSDARP00000063724
ENSGACP00000024876	ENSDARP00000114340
ENSGACP00000012938	ENSDARP00000117746
ENSGACP00000010785	ENSDARP00000005170
ENSGACP00000005558	ENSDARP00000101407
ENSGACP00000011056	ENSDARP00000056104
ENSGACP00000011849	ENSDARP00000118166
ENSGACP00000015166	ENSDARP00000041684
ENSGACP00000023914	ENSDARP00000098075
ENSGACP00000004412	ENSDARP00000089131
ENSGACP00000013445	ENSDARP00000057623
ENSGACP00000020513	ENSDARP00000052306
ENSGACP00000013838	ENSDARP00000069080
ENSGACP00000010614	ENSDARP00000017762
ENSGACP00000000678	ENSDARP00000052420
ENSGACP00000004693	ENSDARP00000109966
ENSGACP00000006490	ENSDARP00000010384
ENSGACP00000008325	ENSDARP00000086597
ENSGACP00000002669	ENSDARP00000106043
ENSGACP00000007346	ENSDARP00000016959
ENSGACP00000022578	ENSDARP00000003829
ENSGACP00000000019	ENSDARP00000086523
ENSGACP00000025019	ENSDARP00000036828
ENSGACP00000016521	ENSDARP00000123474
ENSGACP00000023637	ENSDARP00000098876
ENSGACP00000011213	ENSDARP00000049623
ENSGACP00000024426	ENSDARP00000119476
ENSGACP00000024432	ENSDARP00000116057
ENSGACP00000023031	ENSDARP00000105575
ENSGACP00000018735	ENSDARP00000055224
ENSGACP00000010089	ENSDARP00000005680
ENSGACP00000012027	ENSDARP00000059973
ENSGACP00000007945	ENSDARP00000129595
ENSGACP00000026908	ENSDARP00000049899
ENSGACP00000020505	ENSDARP00000052060
ENSGACP00000008514	ENSDARP00000121183
ENSGACP00000024791	ENSDARP00000129116
ENSGACP00000024033	ENSDARP00000008475
ENSGACP00000003038	ENSDARP00000058968
ENSGACP00000011235	ENSDARP00000113959
ENSGACP00000023409	ENSDARP00000074144
ENSGACP00000002405	ENSDARP00000079823
ENSGACP00000016753	ENSDARP00000008223
ENSGACP00000011399	ENSDARP00000104791
ENSGACP00000001035	ENSDARP00000075280
ENSGACP00000026319	ENSDARP00000079585
ENSGACP00000010214	ENSDARP00000127915
ENSGACP00000020270	ENSDARP00000108980
ENSGACP00000018406	ENSDARP00000098897
ENSGACP00000024658	ENSDARP00000039553
ENSGACP00000005379	ENSDARP00000052983
ENSGACP00000024661	ENSDARP00000007058
ENSGACP00000021658	ENSDARP00000105944
ENSGACP00000008623	ENSDARP00000106138
ENSGACP00000022764	ENSDARP00000123199
ENSGACP00000015439	ENSDARP00000102041
ENSGACP00000027196	ENSDARP00000102786
ENSGACP00000004121	ENSDARP00000084650
ENSGACP00000001213	ENSDARP00000084598
ENSGACP00000006111	ENSDARP00000121158
ENSGACP00000023493	ENSDARP00000102048
ENSGACP00000009940	ENSDARP00000101583
ENSGACP00000002481	ENSDARP00000062009
ENSGACP00000025422	ENSDARP00000099266
ENSGACP00000022344	ENSDARP00000097967
ENSGACP00000008802	ENSDARP00000057433
ENSGACP00000019210	ENSDARP00000063051
ENSGACP00000023316	ENSDARP00000036150
ENSGACP00000002834	ENSDARP00000081844
ENSGACP00000002348	ENSDARP00000115372
ENSGACP00000002879	ENSDARP00000113492
ENSGACP00000020109	ENSDARP00000044573
ENSGACP00000015815	ENSDARP00000115965
ENSGACP00000022066	ENSDARP00000112407
ENSGACP00000007203	ENSDARP00000064825
ENSGACP00000005237	ENSDARP00000040837
ENSGACP00000024500	ENSDARP00000042673
ENSGACP00000015235	ENSDARP00000018863
ENSGACP00000004374	ENSDARP00000026323
ENSGACP00000025056	ENSDARP00000099506
ENSGACP00000003704	ENSDARP00000110909
ENSGACP00000016370	ENSDARP00000013506
ENSGACP00000022984	ENSDARP00000102910
ENSGACP00000013455	ENSDARP00000102260
ENSGACP00000017542	ENSDARP00000077830
ENSGACP00000004888	ENSDARP00000012147
ENSGACP00000002403	ENSDARP00000073893
ENSGACP00000008807	ENSDARP00000104859
ENSGACP00000017318	ENSDARP00000025072
ENSGACP00000008998	ENSDARP00000057731
ENSGACP00000022304	ENSDARP00000053426
ENSGACP00000020352	ENSDARP00000075572
ENSGACP00000018750	ENSDARP00000091375
ENSGACP00000000372	ENSDARP00000087820
ENSGACP00000014494	ENSDARP00000002635
ENSGACP00000023747	ENSDARP00000108255
ENSGACP00000004440	ENSDARP00000073523
ENSGACP00000005802	ENSDARP00000105139
ENSGACP00000025572	ENSDARP00000112991
ENSGACP00000002886	ENSDARP00000030625
ENSGACP00000007201	ENSDARP00000014061
ENSGACP00000024497	ENSDARP00000054692
ENSGACP00000000952	ENSDARP00000091900
ENSGACP00000020639	ENSDARP00000084007
ENSGACP00000026334	ENSDARP00000087668
ENSGACP00000011727	ENSDARP00000078442
ENSGACP00000006806	ENSDARP00000124333
ENSGACP00000011680	ENSDARP00000118167
ENSGACP00000015215	ENSDARP00000129724
ENSGACP00000017136	ENSDARP00000091436
ENSGACP00000005071	ENSDARP00000109870
ENSGACP00000001491	ENSDARP00000124246
ENSGACP00000010554	ENSDARP00000128596
ENSGACP00000006953	ENSDARP00000100072
ENSGACP00000000220	ENSDARP00000129124
ENSGACP00000012914	ENSDARP00000070686
ENSGACP00000015985	ENSDARP00000092253
ENSGACP00000009347	ENSDARP00000055491
ENSGACP00000019821	ENSDARP00000087935
ENSGACP00000008225	ENSDARP00000109838
ENSGACP00000024285	ENSDARP00000067708
ENSGACP00000024263	ENSDARP00000106457
ENSGACP00000023016	ENSDARP00000012791
ENSGACP00000024823	ENSDARP00000101326
ENSGACP00000013546	ENSDARP00000006540
ENSGACP00000014238	ENSDARP00000056073
ENSGACP00000003505	ENSDARP00000105119
ENSGACP00000023940	ENSDARP00000122424
ENSGACP00000008454	ENSDARP00000111869
ENSGACP00000008243	ENSDARP00000065396
ENSGACP00000000960	ENSDARP00000053775
ENSGACP00000010767	ENSDARP00000059618
ENSGACP00000003473	ENSDARP00000106564
ENSGACP00000006347	ENSDARP00000022147
ENSGACP00000008366	ENSDARP00000066366
ENSGACP00000011689	ENSDARP00000095220
ENSGACP00000021542	ENSDARP00000099181
ENSGACP00000012414	ENSDARP00000127731
ENSGACP00000006985	ENSDARP00000129655
ENSGACP00000010409	ENSDARP00000119088
ENSGACP00000000436	ENSDARP00000121875
ENSGACP00000026167	ENSDARP00000073048
ENSGACP00000000772	ENSDARP00000095343
ENSGACP00000014142	ENSDARP00000109154
ENSGACP00000006410	ENSDARP00000019674
ENSGACP00000017305	ENSDARP00000056452
ENSGACP00000018854	ENSDARP00000068816
ENSGACP00000003269	ENSDARP00000019643
ENSGACP00000027538	ENSDARP00000106374
ENSGACP00000004022	ENSDARP00000122397
ENSGACP00000021129	ENSDARP00000053606
ENSGACP00000021829	ENSDARP00000057298
ENSGACP00000015846	ENSDARP00000063586
ENSGACP00000021132	ENSDARP00000064460
ENSGACP00000021827	ENSDARP00000116789
ENSGACP00000002554	ENSDARP00000095720
ENSGACP00000023370	ENSDARP00000024272
ENSGACP00000013084	ENSDARP00000022487
ENSGACP00000012713	ENSDARP00000071274
ENSGACP00000016079	ENSDARP00000050473
ENSGACP00000003931	ENSDARP00000074794
ENSGACP00000022235	ENSDARP00000025373
ENSGACP00000024618	ENSDARP00000046044
ENSGACP00000018219	ENSDARP00000063985
ENSGACP00000008117	ENSDARP00000062984
ENSGACP00000005801	ENSDARP00000117105
ENSGACP00000020184	ENSDARP00000080352
ENSGACP00000026040	ENSDARP00000128741
ENSGACP00000005941	ENSDARP00000109601
ENSGACP00000025436	ENSDARP00000091774
ENSGACP00000005130	ENSDARP00000099065
ENSGACP00000005832	ENSDARP00000092792
ENSGACP00000012209	ENSDARP00000028904
ENSGACP00000000820	ENSDARP00000114008
ENSGACP00000023196	ENSDARP00000025094
ENSGACP00000019610	ENSDARP00000101279
ENSGACP00000017490	ENSDARP00000001617
ENSGACP00000013771	ENSDARP00000097628
ENSGACP00000020523	ENSDARP00000080655
ENSGACP00000008747	ENSDARP00000097784
ENSGACP00000013296	ENSDARP00000098809
ENSGACP00000023174	ENSDARP00000092056
ENSGACP00000025537	ENSDARP00000052905
ENSGACP00000023395	ENSDARP00000039916
ENSGACP00000024826	ENSDARP00000109890
ENSGACP00000027605	ENSDARP00000079273
ENSGACP00000004758	ENSDARP00000123999
ENSGACP00000014374	ENSDARP00000053749
ENSGACP00000010091	ENSDARP00000107734
ENSGACP00000003129	ENSDARP00000047652
ENSGACP00000008282	ENSDARP00000081855
ENSGACP00000001795	ENSDARP00000091926
ENSGACP00000006053	ENSDARP00000109462
ENSGACP00000007790	ENSDARP00000076606
ENSGACP00000016640	ENSDARP00000025648
ENSGACP00000025425	ENSDARP00000098282
ENSGACP00000023045	ENSDARP00000011426
ENSGACP00000008872	ENSDARP00000089635
ENSGACP00000011374	ENSDARP00000109709
ENSGACP00000016639	ENSDARP00000045814
ENSGACP00000005392	ENSDARP00000019206
ENSGACP00000013919	ENSDARP00000060763
ENSGACP00000025984	ENSDARP00000068773
ENSGACP00000007495	ENSDARP00000046463
ENSGACP00000022681	ENSDARP00000043960
ENSGACP00000007430	ENSDARP00000010533
ENSGACP00000001068	ENSDARP00000105365
ENSGACP00000012167	ENSDARP00000094247
ENSGACP00000008702	ENSDARP00000069273
ENSGACP00000008073	ENSDARP00000091908
ENSGACP00000011673	ENSDARP00000106068
ENSGACP00000004199	ENSDARP00000020217
ENSGACP00000017036	ENSDARP00000113517
ENSGACP00000014609	ENSDARP00000106281
ENSGACP00000020943	ENSDARP00000124516
ENSGACP00000010177	ENSDARP00000120338
ENSGACP00000015729	ENSDARP00000064175
ENSGACP00000006616	ENSDARP00000012382
ENSGACP00000016633	ENSDARP00000049239
ENSGACP00000026169	ENSDARP00000031665
ENSGACP00000027541	ENSDARP00000050948
ENSGACP00000026691	ENSDARP00000119208
ENSGACP00000009975	ENSDARP00000129242
ENSGACP00000013293	ENSDARP00000078459
ENSGACP00000019511	ENSDARP00000106886
ENSGACP00000017434	ENSDARP00000078354
ENSGACP00000011768	ENSDARP00000089497
ENSGACP00000022403	ENSDARP00000127848
ENSGACP00000000857	ENSDARP00000075190
ENSGACP00000015212	ENSDARP00000096338
ENSGACP00000015220	ENSDARP00000117865
ENSGACP00000006905	ENSDARP00000045678
ENSGACP00000022342	ENSDARP00000109120
ENSGACP00000018068	ENSDARP00000073505
ENSGACP00000021629	ENSDARP00000122069
ENSGACP00000011518	ENSDARP00000128113
ENSGACP00000011514	ENSDARP00000068002
ENSGACP00000007653	ENSDARP00000114765
ENSGACP00000007537	ENSDARP00000122045
ENSGACP00000012152	ENSDARP00000068054
ENSGACP00000005156	ENSDARP00000128272
ENSGACP00000012277	ENSDARP00000054743
ENSGACP00000003753	ENSDARP00000012600
ENSGACP00000015987	ENSDARP00000102221
ENSGACP00000005372	ENSDARP00000059513
ENSGACP00000015965	ENSDARP00000093008
ENSGACP00000023911	ENSDARP00000079805
ENSGACP00000006133	ENSDARP00000122368
ENSGACP00000006436	ENSDARP00000108227
ENSGACP00000022656	ENSDARP00000077949
ENSGACP00000013194	ENSDARP00000026364
ENSGACP00000012821	ENSDARP00000123087
ENSGACP00000011147	ENSDARP00000028379
ENSGACP00000014281	ENSDARP00000075251
ENSGACP00000012830	ENSDARP00000072527
ENSGACP00000011138	ENSDARP00000110487
ENSGACP00000025165	ENSDARP00000093395
ENSGACP00000011630	ENSDARP00000102577
ENSGACP00000006350	ENSDARP00000069214
ENSGACP00000010944	ENSDARP00000116818
ENSGACP00000021347	ENSDARP00000077012
ENSGACP00000022338	ENSDARP00000077905
ENSGACP00000014174	ENSDARP00000077013
ENSGACP00000020152	ENSDARP00000034827
ENSGACP00000026379	ENSDARP00000118891
ENSGACP00000015814	ENSDARP00000103999
ENSGACP00000006309	ENSDARP00000117089
ENSGACP00000014601	ENSDARP00000099612
ENSGACP00000001037	ENSDARP00000064393
ENSGACP00000016075	ENSDARP00000113608
ENSGACP00000012318	ENSDARP00000044422
ENSGACP00000003744	ENSDARP00000119378
ENSGACP00000015693	ENSDARP00000106287
ENSGACP00000018115	ENSDARP00000126959
ENSGACP00000010283	ENSDARP00000098186
ENSGACP00000016549	ENSDARP00000015303
ENSGACP00000006709	ENSDARP00000109941
ENSGACP00000017867	ENSDARP00000089603
ENSGACP00000007480	ENSDARP00000077021
ENSGACP00000023702	ENSDARP00000083042
ENSGACP00000008047	ENSDARP00000104940
ENSGACP00000002773	ENSDARP00000067932
ENSGACP00000009197	ENSDARP00000061163
ENSGACP00000007682	ENSDARP00000061134
ENSGACP00000003774	ENSDARP00000076249
ENSGACP00000023139	ENSDARP00000119520
ENSGACP00000009670	ENSDARP00000035859
ENSGACP00000019711	ENSDARP00000030813
ENSGACP00000020139	ENSDARP00000088399
ENSGACP00000022997	ENSDARP00000014010
ENSGACP00000026639	ENSDARP00000110320
ENSGACP00000001220	ENSDARP00000109557
ENSGACP00000019660	ENSDARP00000036256
ENSGACP00000017963	ENSDARP00000039821
ENSGACP00000014611	ENSDARP00000011705
ENSGACP00000003972	ENSDARP00000117905
ENSGACP00000007261	ENSDARP00000006334
ENSGACP00000011199	ENSDARP00000114769
ENSGACP00000005865	ENSDARP00000029675
ENSGACP00000013405	ENSDARP00000105398
ENSGACP00000015077	ENSDARP00000072911
ENSGACP00000026557	ENSDARP00000066933
ENSGACP00000026559	ENSDARP00000066932
ENSGACP00000003636	ENSDARP00000092355
ENSGACP00000022041	ENSDARP00000001039
ENSGACP00000014617	ENSDARP00000095486
ENSGACP00000025585	ENSDARP00000127303
ENSGACP00000013823	ENSDARP00000098618
ENSGACP00000006910	ENSDARP00000098410
ENSGACP00000008541	ENSDARP00000111989
ENSGACP00000006743	ENSDARP00000077638
ENSGACP00000023733	ENSDARP00000102224
ENSGACP00000005245	ENSDARP00000111319
ENSGACP00000021564	ENSDARP00000097773
ENSGACP00000010018	ENSDARP00000108057
ENSGACP00000022273	ENSDARP00000041235
ENSGACP00000025098	ENSDARP00000124460
ENSGACP00000016434	ENSDARP00000104544
ENSGACP00000015645	ENSDARP00000032295
ENSGACP00000007726	ENSDARP00000116051
ENSGACP00000002959	ENSDARP00000093979
ENSGACP00000015785	ENSDARP00000109588
ENSGACP00000026399	ENSDARP00000038316
ENSGACP00000010158	ENSDARP00000066188
ENSGACP00000010766	ENSDARP00000116649
ENSGACP00000001488	ENSDARP00000058320
ENSGACP00000014594	ENSDARP00000111119
ENSGACP00000013836	ENSDARP00000104626
ENSGACP00000012065	ENSDARP00000121795
ENSGACP00000002976	ENSDARP00000094167
ENSGACP00000009782	ENSDARP00000024335
ENSGACP00000014610	ENSDARP00000098001
ENSGACP00000016740	ENSDARP00000101793
ENSGACP00000005835	ENSDARP00000110965
ENSGACP00000017221	ENSDARP00000120365
ENSGACP00000006610	ENSDARP00000082784
ENSGACP00000016627	ENSDARP00000098142
ENSGACP00000014035	ENSDARP00000103750
ENSGACP00000017022	ENSDARP00000030418
ENSGACP00000020724	ENSDARP00000077039
ENSGACP00000003172	ENSDARP00000111021
ENSGACP00000016230	ENSDARP00000091264
ENSGACP00000020231	ENSDARP00000110333
ENSGACP00000024519	ENSDARP00000067629
ENSGACP00000022977	ENSDARP00000085044
ENSGACP00000018950	ENSDARP00000005975
ENSGACP00000002710	ENSDARP00000018632
ENSGACP00000004756	ENSDARP00000051402
ENSGACP00000024428	ENSDARP00000114502
ENSGACP00000008120	ENSDARP00000095328
ENSGACP00000026911	ENSDARP00000032601
ENSGACP00000023362	ENSDARP00000101478
ENSGACP00000009622	ENSDARP00000092068
ENSGACP00000009627	ENSDARP00000084700
ENSGACP00000026912	ENSDARP00000079303
ENSGACP00000008126	ENSDARP00000103451
ENSGACP00000018009	ENSDARP00000051104
ENSGACP00000026115	ENSDARP00000067260
ENSGACP00000012368	ENSDARP00000128595
ENSGACP00000025431	ENSDARP00000086446
ENSGACP00000002501	ENSDARP00000109667
ENSGACP00000015442	ENSDARP00000129129
ENSGACP00000005650	ENSDARP00000113889
ENSGACP00000015186	ENSDARP00000094710
ENSGACP00000019007	ENSDARP00000117556
ENSGACP00000009364	ENSDARP00000095187
ENSGACP00000022283	ENSDARP00000026805
ENSGACP00000016040	ENSDARP00000069597
ENSGACP00000000574	ENSDARP00000109180
ENSGACP00000023040	ENSDARP00000093113
ENSGACP00000027323	ENSDARP00000091828
ENSGACP00000011344	ENSDARP00000057524
ENSGACP00000007394	ENSDARP00000077702
ENSGACP00000010244	ENSDARP00000080290
ENSGACP00000015467	ENSDARP00000101110
ENSGACP00000012004	ENSDARP00000073439
ENSGACP00000020774	ENSDARP00000106240
ENSGACP00000019686	ENSDARP00000118753
ENSGACP00000014077	ENSDARP00000119475
ENSGACP00000002623	ENSDARP00000122486
ENSGACP00000015404	ENSDARP00000128562
ENSGACP00000024486	ENSDARP00000126045
ENSGACP00000018930	ENSDARP00000098491
ENSGACP00000022151	ENSDARP00000055022
ENSGACP00000024490	ENSDARP00000057324
ENSGACP00000016156	ENSDARP00000099217
ENSGACP00000014072	ENSDARP00000094670
ENSGACP00000003890	ENSDARP00000078963
ENSGACP00000017424	ENSDARP00000043931
ENSGACP00000009823	ENSDARP00000096674
ENSGACP00000026723	ENSDARP00000121065
ENSGACP00000017760	ENSDARP00000113858
ENSGACP00000023207	ENSDARP00000047200
ENSGACP00000021575	ENSDARP00000118986
ENSGACP00000008971	ENSDARP00000076873
ENSGACP00000009867	ENSDARP00000093925
ENSGACP00000005055	ENSDARP00000054451
ENSGACP00000019506	ENSDARP00000113100
ENSGACP00000010781	ENSDARP00000002935
ENSGACP00000004213	ENSDARP00000124605
ENSGACP00000012507	ENSDARP00000066410
ENSGACP00000018335	ENSDARP00000086549
ENSGACP00000020593	ENSDARP00000073621
ENSGACP00000003601	ENSDARP00000107675
ENSGACP00000008287	ENSDARP00000003397
ENSGACP00000003954	ENSDARP00000108198
ENSGACP00000011110	ENSDARP00000124029
ENSGACP00000006586	ENSDARP00000104823
ENSGACP00000008952	ENSDARP00000093555
ENSGACP00000013060	ENSDARP00000014929
ENSGACP00000006976	ENSDARP00000094162
ENSGACP00000018118	ENSDARP00000094885
ENSGACP00000023081	ENSDARP00000111917
ENSGACP00000009773	ENSDARP00000123895
ENSGACP00000008404	ENSDARP00000044079
ENSGACP00000012231	ENSDARP00000018393
ENSGACP00000009734	ENSDARP00000073394
ENSGACP00000005364	ENSDARP00000098436
ENSGACP00000011957	ENSDARP00000102728
ENSGACP00000020024	ENSDARP00000098758
ENSGACP00000020028	ENSDARP00000011500
ENSGACP00000010507	ENSDARP00000119695
ENSGACP00000015759	ENSDARP00000107042
ENSGACP00000027242	ENSDARP00000121180
ENSGACP00000006238	ENSDARP00000083949
ENSGACP00000013450	ENSDARP00000099244
ENSGACP00000007062	ENSDARP00000064832
ENSGACP00000006011	ENSDARP00000044859
ENSGACP00000018621	ENSDARP00000118205
ENSGACP00000025390	ENSDARP00000106725
ENSGACP00000015595	ENSDARP00000091933
ENSGACP00000027075	ENSDARP00000070437
ENSGACP00000014438	ENSDARP00000058513
ENSGACP00000002482	ENSDARP00000098418
ENSGACP00000015200	ENSDARP00000067816
ENSGACP00000010138	ENSDARP00000025120
ENSGACP00000014484	ENSDARP00000116922
ENSGACP00000007335	ENSDARP00000094377
ENSGACP00000014770	ENSDARP00000113955
ENSGACP00000016172	ENSDARP00000003150
ENSGACP00000024357	ENSDARP00000008085
ENSGACP00000019523	ENSDARP00000049108
ENSGACP00000016778	ENSDARP00000046612
ENSGACP00000023333	ENSDARP00000102140
ENSGACP00000010547	ENSDARP00000098114
ENSGACP00000014945	ENSDARP00000059885
ENSGACP00000014826	ENSDARP00000048506
ENSGACP00000001426	ENSDARP00000013329
ENSGACP00000005705	ENSDARP00000106067
ENSGACP00000010458	ENSDARP00000012255
ENSGACP00000007957	ENSDARP00000087115
ENSGACP00000011322	ENSDARP00000070464
ENSGACP00000021331	ENSDARP00000093348
ENSGACP00000013049	ENSDARP00000051004
ENSGACP00000004140	ENSDARP00000057304
ENSGACP00000014740	ENSDARP00000057589
ENSGACP00000019148	ENSDARP00000108943
ENSGACP00000009024	ENSDARP00000093167
ENSGACP00000019139	ENSDARP00000002460
ENSGACP00000019142	ENSDARP00000051145
ENSGACP00000015799	ENSDARP00000085707
ENSGACP00000000812	ENSDARP00000103082
ENSGACP00000011290	ENSDARP00000110688
ENSGACP00000016109	ENSDARP00000101176
ENSGACP00000016160	ENSDARP00000101258
ENSGACP00000018103	ENSDARP00000085013
ENSGACP00000021467	ENSDARP00000108491
ENSGACP00000015967	ENSDARP00000040556
ENSGACP00000006721	ENSDARP00000048886
ENSGACP00000012822	ENSDARP00000002532
ENSGACP00000025732	ENSDARP00000014325
ENSGACP00000022562	ENSDARP00000053403
ENSGACP00000011924	ENSDARP00000091516
ENSGACP00000008097	ENSDARP00000069657
ENSGACP00000013458	ENSDARP00000123484
ENSGACP00000009115	ENSDARP00000101201
ENSGACP00000012763	ENSDARP00000129096
ENSGACP00000009720	ENSDARP00000069669
ENSGACP00000022499	ENSDARP00000095533
ENSGACP00000002436	ENSDARP00000069870
ENSGACP00000023501	ENSDARP00000050176
ENSGACP00000001210	ENSDARP00000105882
ENSGACP00000014750	ENSDARP00000006228
ENSGACP00000024048	ENSDARP00000091676
ENSGACP00000014637	ENSDARP00000108067
ENSGACP00000017766	ENSDARP00000065669
ENSGACP00000014967	ENSDARP00000123464
ENSGACP00000026775	ENSDARP00000113432
ENSGACP00000017720	ENSDARP00000121566
ENSGACP00000006850	ENSDARP00000078258
ENSGACP00000000388	ENSDARP00000093285
ENSGACP00000010687	ENSDARP00000101777
ENSGACP00000027546	ENSDARP00000099736
ENSGACP00000022436	ENSDARP00000106854
ENSGACP00000009783	ENSDARP00000112558
