ENSMODP00000016222	ENSLOCP00000009128
ENSMODP00000035509	ENSLOCP00000002248
ENSMODP00000037658	ENSLOCP00000021874
ENSMODP00000014612	ENSLOCP00000018849
ENSMODP00000000679	ENSLOCP00000009980
ENSMODP00000025796	ENSLOCP00000014738
ENSMODP00000010442	ENSLOCP00000012061
ENSMODP00000016379	ENSLOCP00000003317
ENSMODP00000008107	ENSLOCP00000011989
ENSMODP00000010998	ENSLOCP00000017354
ENSMODP00000026124	ENSLOCP00000018208
ENSMODP00000011474	ENSLOCP00000012353
ENSMODP00000026122	ENSLOCP00000018214
ENSMODP00000023478	ENSLOCP00000007900
ENSMODP00000015235	ENSLOCP00000015688
ENSMODP00000041284	ENSLOCP00000010023
ENSMODP00000004541	ENSLOCP00000004830
ENSMODP00000003832	ENSLOCP00000020756
ENSMODP00000006867	ENSLOCP00000013047
ENSMODP00000000092	ENSLOCP00000012968
ENSMODP00000000179	ENSLOCP00000016356
ENSMODP00000014712	ENSLOCP00000009007
ENSMODP00000004891	ENSLOCP00000012360
ENSMODP00000000959	ENSLOCP00000014277
ENSMODP00000012028	ENSLOCP00000008437
ENSMODP00000029754	ENSLOCP00000020956
ENSMODP00000012160	ENSLOCP00000015752
ENSMODP00000004041	ENSLOCP00000013775
ENSMODP00000025585	ENSLOCP00000004341
ENSMODP00000016495	ENSLOCP00000017705
ENSMODP00000024060	ENSLOCP00000011055
ENSMODP00000014171	ENSLOCP00000010892
ENSMODP00000015986	ENSLOCP00000006526
ENSMODP00000003492	ENSLOCP00000001142
ENSMODP00000013925	ENSLOCP00000020785
ENSMODP00000007623	ENSLOCP00000007583
ENSMODP00000030239	ENSLOCP00000004907
ENSMODP00000013412	ENSLOCP00000006346
ENSMODP00000012859	ENSLOCP00000017659
ENSMODP00000016741	ENSLOCP00000000889
ENSMODP00000037068	ENSLOCP00000020036
ENSMODP00000015720	ENSLOCP00000008734
ENSMODP00000000761	ENSLOCP00000005356
ENSMODP00000036453	ENSLOCP00000004761
ENSMODP00000024298	ENSLOCP00000006533
ENSMODP00000011108	ENSLOCP00000019487
ENSMODP00000013611	ENSLOCP00000001361
ENSMODP00000002121	ENSLOCP00000007874
ENSMODP00000034167	ENSLOCP00000013471
ENSMODP00000021361	ENSLOCP00000001954
ENSMODP00000025206	ENSLOCP00000001962
ENSMODP00000014344	ENSLOCP00000002578
ENSMODP00000016010	ENSLOCP00000017726
ENSMODP00000023381	ENSLOCP00000009983
ENSMODP00000029105	ENSLOCP00000021847
ENSMODP00000011376	ENSLOCP00000005920
ENSMODP00000020886	ENSLOCP00000019306
ENSMODP00000013331	ENSLOCP00000006448
ENSMODP00000017273	ENSLOCP00000011240
ENSMODP00000036044	ENSLOCP00000006499
ENSMODP00000022560	ENSLOCP00000005310
ENSMODP00000006951	ENSLOCP00000002972
ENSMODP00000008288	ENSLOCP00000009918
ENSMODP00000032324	ENSLOCP00000001682
ENSMODP00000013900	ENSLOCP00000017649
ENSMODP00000017320	ENSLOCP00000013021
ENSMODP00000015229	ENSLOCP00000006143
ENSMODP00000002540	ENSLOCP00000004694
ENSMODP00000025996	ENSLOCP00000008680
ENSMODP00000016389	ENSLOCP00000018185
ENSMODP00000000402	ENSLOCP00000020346
ENSMODP00000002182	ENSLOCP00000019133
ENSMODP00000011765	ENSLOCP00000005737
ENSMODP00000019074	ENSLOCP00000018546
ENSMODP00000005435	ENSLOCP00000016171
ENSMODP00000016852	ENSLOCP00000006853
ENSMODP00000000500	ENSLOCP00000010912
ENSMODP00000024292	ENSLOCP00000008505
ENSMODP00000013464	ENSLOCP00000019163
ENSMODP00000008628	ENSLOCP00000009632
ENSMODP00000004044	ENSLOCP00000010916
ENSMODP00000002679	ENSLOCP00000003607
ENSMODP00000007893	ENSLOCP00000015072
ENSMODP00000023606	ENSLOCP00000003380
ENSMODP00000004519	ENSLOCP00000002426
ENSMODP00000039634	ENSLOCP00000012613
ENSMODP00000037970	ENSLOCP00000019084
ENSMODP00000004963	ENSLOCP00000016794
ENSMODP00000024799	ENSLOCP00000007049
ENSMODP00000001757	ENSLOCP00000021122
ENSMODP00000016775	ENSLOCP00000010539
ENSMODP00000036437	ENSLOCP00000004953
ENSMODP00000005386	ENSLOCP00000012614
ENSMODP00000007425	ENSLOCP00000003234
ENSMODP00000005390	ENSLOCP00000010397
ENSMODP00000006172	ENSLOCP00000017388
ENSMODP00000026554	ENSLOCP00000009421
ENSMODP00000004039	ENSLOCP00000010161
ENSMODP00000005255	ENSLOCP00000016126
ENSMODP00000000790	ENSLOCP00000005393
ENSMODP00000020405	ENSLOCP00000012552
ENSMODP00000013151	ENSLOCP00000012928
ENSMODP00000002193	ENSLOCP00000014564
ENSMODP00000009886	ENSLOCP00000019362
ENSMODP00000005016	ENSLOCP00000011332
ENSMODP00000021509	ENSLOCP00000009470
ENSMODP00000021545	ENSLOCP00000012355
ENSMODP00000023068	ENSLOCP00000019262
ENSMODP00000002877	ENSLOCP00000011077
ENSMODP00000008929	ENSLOCP00000017982
ENSMODP00000013499	ENSLOCP00000011435
ENSMODP00000034760	ENSLOCP00000003826
ENSMODP00000031383	ENSLOCP00000011874
ENSMODP00000027887	ENSLOCP00000021247
ENSMODP00000006876	ENSLOCP00000018907
ENSMODP00000012731	ENSLOCP00000018175
ENSMODP00000001749	ENSLOCP00000014009
ENSMODP00000020580	ENSLOCP00000011105
ENSMODP00000017923	ENSLOCP00000012449
ENSMODP00000012407	ENSLOCP00000014471
ENSMODP00000012104	ENSLOCP00000014491
ENSMODP00000004582	ENSLOCP00000016691
ENSMODP00000021647	ENSLOCP00000010175
ENSMODP00000007382	ENSLOCP00000003063
ENSMODP00000005455	ENSLOCP00000003082
ENSMODP00000004284	ENSLOCP00000010983
ENSMODP00000020969	ENSLOCP00000018480
ENSMODP00000019075	ENSLOCP00000001148
ENSMODP00000019115	ENSLOCP00000007419
ENSMODP00000012345	ENSLOCP00000007580
ENSMODP00000026928	ENSLOCP00000003101
ENSMODP00000018395	ENSLOCP00000015600
ENSMODP00000013451	ENSLOCP00000014762
ENSMODP00000013531	ENSLOCP00000014741
ENSMODP00000035351	ENSLOCP00000012489
ENSMODP00000011895	ENSLOCP00000016111
ENSMODP00000033297	ENSLOCP00000016120
ENSMODP00000019398	ENSLOCP00000011258
ENSMODP00000016648	ENSLOCP00000008502
ENSMODP00000003179	ENSLOCP00000010754
ENSMODP00000007000	ENSLOCP00000005040
ENSMODP00000024699	ENSLOCP00000004226
ENSMODP00000003320	ENSLOCP00000020195
ENSMODP00000005329	ENSLOCP00000020758
ENSMODP00000017619	ENSLOCP00000005716
ENSMODP00000021986	ENSLOCP00000016149
ENSMODP00000024349	ENSLOCP00000013403
ENSMODP00000022203	ENSLOCP00000003765
ENSMODP00000001020	ENSLOCP00000008575
ENSMODP00000025425	ENSLOCP00000015553
ENSMODP00000039684	ENSLOCP00000002907
ENSMODP00000016658	ENSLOCP00000021066
ENSMODP00000024177	ENSLOCP00000015909
ENSMODP00000006059	ENSLOCP00000019661
ENSMODP00000032132	ENSLOCP00000012721
ENSMODP00000013827	ENSLOCP00000014558
ENSMODP00000013818	ENSLOCP00000014569
ENSMODP00000022239	ENSLOCP00000021146
ENSMODP00000023168	ENSLOCP00000003977
ENSMODP00000006713	ENSLOCP00000015256
ENSMODP00000016086	ENSLOCP00000017733
ENSMODP00000025150	ENSLOCP00000001796
ENSMODP00000000370	ENSLOCP00000006578
ENSMODP00000018131	ENSLOCP00000010716
ENSMODP00000005345	ENSLOCP00000005658
ENSMODP00000012871	ENSLOCP00000016973
ENSMODP00000017612	ENSLOCP00000012649
ENSMODP00000012865	ENSLOCP00000015071
ENSMODP00000014616	ENSLOCP00000018253
ENSMODP00000013397	ENSLOCP00000007361
ENSMODP00000015857	ENSLOCP00000013456
ENSMODP00000020847	ENSLOCP00000008342
ENSMODP00000004951	ENSLOCP00000002711
ENSMODP00000031789	ENSLOCP00000014306
ENSMODP00000033636	ENSLOCP00000015075
ENSMODP00000028502	ENSLOCP00000019744
ENSMODP00000017863	ENSLOCP00000020291
ENSMODP00000012360	ENSLOCP00000007166
ENSMODP00000038839	ENSLOCP00000002488
ENSMODP00000023326	ENSLOCP00000021031
ENSMODP00000007984	ENSLOCP00000020394
ENSMODP00000013862	ENSLOCP00000001781
ENSMODP00000023828	ENSLOCP00000014227
ENSMODP00000005289	ENSLOCP00000003808
ENSMODP00000005633	ENSLOCP00000001299
ENSMODP00000002353	ENSLOCP00000004757
ENSMODP00000020662	ENSLOCP00000014258
ENSMODP00000001296	ENSLOCP00000013970
ENSMODP00000003778	ENSLOCP00000006667
ENSMODP00000016652	ENSLOCP00000017850
ENSMODP00000023397	ENSLOCP00000011010
ENSMODP00000003368	ENSLOCP00000005447
ENSMODP00000000346	ENSLOCP00000007685
ENSMODP00000034629	ENSLOCP00000017282
ENSMODP00000005649	ENSLOCP00000016725
ENSMODP00000019186	ENSLOCP00000019522
ENSMODP00000019189	ENSLOCP00000019526
ENSMODP00000019192	ENSLOCP00000019528
ENSMODP00000015197	ENSLOCP00000017521
ENSMODP00000015236	ENSLOCP00000017582
ENSMODP00000005729	ENSLOCP00000016494
ENSMODP00000011064	ENSLOCP00000001689
ENSMODP00000001454	ENSLOCP00000015630
ENSMODP00000021931	ENSLOCP00000001541
ENSMODP00000024509	ENSLOCP00000007379
ENSMODP00000010755	ENSLOCP00000012349
ENSMODP00000010746	ENSLOCP00000012336
ENSMODP00000000909	ENSLOCP00000020213
ENSMODP00000000902	ENSLOCP00000020214
ENSMODP00000010740	ENSLOCP00000012326
ENSMODP00000024234	ENSLOCP00000006247
ENSMODP00000016933	ENSLOCP00000012176
ENSMODP00000035258	ENSLOCP00000008344
ENSMODP00000005846	ENSLOCP00000014722
ENSMODP00000000835	ENSLOCP00000004731
ENSMODP00000013547	ENSLOCP00000020426
ENSMODP00000024821	ENSLOCP00000006899
ENSMODP00000021392	ENSLOCP00000019725
ENSMODP00000016401	ENSLOCP00000014625
ENSMODP00000002302	ENSLOCP00000011702
ENSMODP00000016796	ENSLOCP00000017471
ENSMODP00000023618	ENSLOCP00000020251
ENSMODP00000017858	ENSLOCP00000020287
ENSMODP00000012397	ENSLOCP00000007217
ENSMODP00000003704	ENSLOCP00000000876
ENSMODP00000003835	ENSLOCP00000003376
ENSMODP00000002775	ENSLOCP00000011255
ENSMODP00000022195	ENSLOCP00000021189
ENSMODP00000021585	ENSLOCP00000002235
ENSMODP00000017428	ENSLOCP00000003249
ENSMODP00000026323	ENSLOCP00000013472
ENSMODP00000007727	ENSLOCP00000018778
ENSMODP00000016781	ENSLOCP00000017623
ENSMODP00000006815	ENSLOCP00000003471
ENSMODP00000007822	ENSLOCP00000001969
ENSMODP00000033334	ENSLOCP00000022429
ENSMODP00000007124	ENSLOCP00000021935
ENSMODP00000019317	ENSLOCP00000019632
ENSMODP00000026127	ENSLOCP00000019045
ENSMODP00000035640	ENSLOCP00000014495
ENSMODP00000006054	ENSLOCP00000002207
ENSMODP00000007035	ENSLOCP00000011741
ENSMODP00000008417	ENSLOCP00000000046
ENSMODP00000015774	ENSLOCP00000016875
ENSMODP00000011325	ENSLOCP00000014518
ENSMODP00000009929	ENSLOCP00000017175
ENSMODP00000002001	ENSLOCP00000010114
ENSMODP00000004035	ENSLOCP00000009013
ENSMODP00000013128	ENSLOCP00000011158
ENSMODP00000026470	ENSLOCP00000006055
ENSMODP00000016349	ENSLOCP00000013984
ENSMODP00000016685	ENSLOCP00000021070
ENSMODP00000021636	ENSLOCP00000001317
ENSMODP00000001690	ENSLOCP00000001059
ENSMODP00000024626	ENSLOCP00000007029
ENSMODP00000017180	ENSLOCP00000013710
ENSMODP00000010191	ENSLOCP00000010365
ENSMODP00000017347	ENSLOCP00000011542
ENSMODP00000020407	ENSLOCP00000012590
ENSMODP00000026357	ENSLOCP00000004821
ENSMODP00000038369	ENSLOCP00000006897
ENSMODP00000014773	ENSLOCP00000001873
ENSMODP00000008455	ENSLOCP00000000044
ENSMODP00000022788	ENSLOCP00000020944
ENSMODP00000023496	ENSLOCP00000009374
ENSMODP00000009509	ENSLOCP00000007623
ENSMODP00000017746	ENSLOCP00000021298
ENSMODP00000020177	ENSLOCP00000002575
ENSMODP00000015849	ENSLOCP00000013512
ENSMODP00000018579	ENSLOCP00000014668
ENSMODP00000040020	ENSLOCP00000006242
ENSMODP00000029534	ENSLOCP00000007493
ENSMODP00000016929	ENSLOCP00000009760
ENSMODP00000006206	ENSLOCP00000001848
ENSMODP00000016948	ENSLOCP00000008215
ENSMODP00000016950	ENSLOCP00000008179
ENSMODP00000025635	ENSLOCP00000020161
ENSMODP00000025666	ENSLOCP00000020208
ENSMODP00000009215	ENSLOCP00000003504
ENSMODP00000005689	ENSLOCP00000018276
ENSMODP00000020264	ENSLOCP00000002245
ENSMODP00000010276	ENSLOCP00000005952
ENSMODP00000024418	ENSLOCP00000017532
ENSMODP00000022105	ENSLOCP00000021347
ENSMODP00000010406	ENSLOCP00000006072
ENSMODP00000014796	ENSLOCP00000015458
ENSMODP00000037021	ENSLOCP00000006402
ENSMODP00000002608	ENSLOCP00000019565
ENSMODP00000018917	ENSLOCP00000014030
ENSMODP00000010074	ENSLOCP00000004614
ENSMODP00000023816	ENSLOCP00000004050
ENSMODP00000007213	ENSLOCP00000011185
ENSMODP00000015433	ENSLOCP00000004811
ENSMODP00000017578	ENSLOCP00000000246
ENSMODP00000020393	ENSLOCP00000006604
ENSMODP00000036263	ENSLOCP00000013803
ENSMODP00000004989	ENSLOCP00000016806
ENSMODP00000015030	ENSLOCP00000001823
ENSMODP00000005946	ENSLOCP00000003170
ENSMODP00000017783	ENSLOCP00000021302
ENSMODP00000029570	ENSLOCP00000002027
ENSMODP00000004225	ENSLOCP00000000159
ENSMODP00000024791	ENSLOCP00000003313
ENSMODP00000017558	ENSLOCP00000005911
ENSMODP00000005034	ENSLOCP00000003804
ENSMODP00000028670	ENSLOCP00000019706
ENSMODP00000011019	ENSLOCP00000009318
ENSMODP00000023005	ENSLOCP00000020482
ENSMODP00000013329	ENSLOCP00000005332
ENSMODP00000007619	ENSLOCP00000006122
ENSMODP00000012713	ENSLOCP00000013953
ENSMODP00000006389	ENSLOCP00000010520
ENSMODP00000006313	ENSLOCP00000010551
ENSMODP00000007629	ENSLOCP00000011038
ENSMODP00000012781	ENSLOCP00000010581
ENSMODP00000024518	ENSLOCP00000006693
ENSMODP00000037511	ENSLOCP00000018383
ENSMODP00000009598	ENSLOCP00000005299
ENSMODP00000028169	ENSLOCP00000000480
ENSMODP00000000643	ENSLOCP00000005593
ENSMODP00000014248	ENSLOCP00000022225
ENSMODP00000003753	ENSLOCP00000015485
ENSMODP00000011237	ENSLOCP00000001520
ENSMODP00000034145	ENSLOCP00000021137
ENSMODP00000034463	ENSLOCP00000019545
ENSMODP00000029074	ENSLOCP00000002445
ENSMODP00000028794	ENSLOCP00000006609
ENSMODP00000020748	ENSLOCP00000007633
ENSMODP00000010196	ENSLOCP00000002749
ENSMODP00000024458	ENSLOCP00000017868
ENSMODP00000024853	ENSLOCP00000007449
ENSMODP00000028979	ENSLOCP00000019935
ENSMODP00000001626	ENSLOCP00000011379
ENSMODP00000034890	ENSLOCP00000012033
ENSMODP00000007927	ENSLOCP00000002181
ENSMODP00000000814	ENSLOCP00000015379
ENSMODP00000007157	ENSLOCP00000020033
ENSMODP00000004469	ENSLOCP00000001598
ENSMODP00000024590	ENSLOCP00000007296
ENSMODP00000001502	ENSLOCP00000011440
ENSMODP00000004693	ENSLOCP00000015471
ENSMODP00000000505	ENSLOCP00000007844
ENSMODP00000004192	ENSLOCP00000014117
ENSMODP00000028503	ENSLOCP00000002613
ENSMODP00000025233	ENSLOCP00000008628
ENSMODP00000031563	ENSLOCP00000009922
ENSMODP00000028859	ENSLOCP00000002496
ENSMODP00000023680	ENSLOCP00000019193
ENSMODP00000018283	ENSLOCP00000016722
ENSMODP00000035883	ENSLOCP00000011965
ENSMODP00000011235	ENSLOCP00000005783
ENSMODP00000019655	ENSLOCP00000019185
ENSMODP00000001450	ENSLOCP00000012674
ENSMODP00000023063	ENSLOCP00000020893
ENSMODP00000037216	ENSLOCP00000011473
ENSMODP00000020163	ENSLOCP00000005296
ENSMODP00000022916	ENSLOCP00000003287
ENSMODP00000037031	ENSLOCP00000003378
ENSMODP00000004914	ENSLOCP00000010054
ENSMODP00000008363	ENSLOCP00000007257
ENSMODP00000023740	ENSLOCP00000021652
ENSMODP00000029161	ENSLOCP00000022460
ENSMODP00000019802	ENSLOCP00000019618
ENSMODP00000013887	ENSLOCP00000004204
ENSMODP00000004893	ENSLOCP00000008543
ENSMODP00000035754	ENSLOCP00000013145
ENSMODP00000024714	ENSLOCP00000021590
ENSMODP00000020099	ENSLOCP00000008685
ENSMODP00000040556	ENSLOCP00000008726
ENSMODP00000022442	ENSLOCP00000010061
ENSMODP00000004958	ENSLOCP00000011092
ENSMODP00000018134	ENSLOCP00000021278
ENSMODP00000024244	ENSLOCP00000017639
ENSMODP00000006025	ENSLOCP00000012831
ENSMODP00000003796	ENSLOCP00000003355
ENSMODP00000020994	ENSLOCP00000021018
ENSMODP00000011509	ENSLOCP00000000167
ENSMODP00000004108	ENSLOCP00000015252
ENSMODP00000006215	ENSLOCP00000000654
ENSMODP00000016598	ENSLOCP00000011013
ENSMODP00000015178	ENSLOCP00000011651
ENSMODP00000011747	ENSLOCP00000013287
ENSMODP00000021456	ENSLOCP00000008358
ENSMODP00000022547	ENSLOCP00000020447
ENSMODP00000025985	ENSLOCP00000014891
ENSMODP00000035244	ENSLOCP00000002608
ENSMODP00000037000	ENSLOCP00000006896
ENSMODP00000010540	ENSLOCP00000018708
ENSMODP00000015462	ENSLOCP00000006698
ENSMODP00000028490	ENSLOCP00000001338
ENSMODP00000035353	ENSLOCP00000015784
ENSMODP00000014112	ENSLOCP00000018164
ENSMODP00000010677	ENSLOCP00000009322
ENSMODP00000007192	ENSLOCP00000010217
ENSMODP00000033084	ENSLOCP00000015129
ENSMODP00000012038	ENSLOCP00000017122
ENSMODP00000012043	ENSLOCP00000010059
ENSMODP00000025712	ENSLOCP00000016032
ENSMODP00000036164	ENSLOCP00000011120
ENSMODP00000008837	ENSLOCP00000004451
ENSMODP00000035049	ENSLOCP00000003772
ENSMODP00000013890	ENSLOCP00000014513
ENSMODP00000023997	ENSLOCP00000005710
ENSMODP00000019174	ENSLOCP00000004014
ENSMODP00000006105	ENSLOCP00000007253
ENSMODP00000011310	ENSLOCP00000019030
ENSMODP00000005759	ENSLOCP00000014694
ENSMODP00000038432	ENSLOCP00000004225
ENSMODP00000020495	ENSLOCP00000003011
ENSMODP00000016953	ENSLOCP00000007157
ENSMODP00000038094	ENSLOCP00000021695
ENSMODP00000025949	ENSLOCP00000005017
ENSMODP00000007186	ENSLOCP00000010525
ENSMODP00000025808	ENSLOCP00000017345
ENSMODP00000014214	ENSLOCP00000015305
ENSMODP00000011506	ENSLOCP00000016622
ENSMODP00000019642	ENSLOCP00000019775
ENSMODP00000013017	ENSLOCP00000007894
ENSMODP00000034038	ENSLOCP00000020501
ENSMODP00000024630	ENSLOCP00000003311
ENSMODP00000007314	ENSLOCP00000010259
ENSMODP00000000807	ENSLOCP00000004705
ENSMODP00000025533	ENSLOCP00000008128
ENSMODP00000037316	ENSLOCP00000008481
ENSMODP00000009993	ENSLOCP00000005652
ENSMODP00000035575	ENSLOCP00000009356
ENSMODP00000037551	ENSLOCP00000001805
ENSMODP00000004628	ENSLOCP00000014068
ENSMODP00000025647	ENSLOCP00000020186
ENSMODP00000004183	ENSLOCP00000010723
ENSMODP00000037028	ENSLOCP00000010751
ENSMODP00000025394	ENSLOCP00000009672
ENSMODP00000025382	ENSLOCP00000009644
ENSMODP00000034209	ENSLOCP00000021427
ENSMODP00000000451	ENSLOCP00000006662
ENSMODP00000037704	ENSLOCP00000021899
ENSMODP00000025104	ENSLOCP00000010135
ENSMODP00000010843	ENSLOCP00000006228
ENSMODP00000003741	ENSLOCP00000000800
ENSMODP00000016415	ENSLOCP00000008781
ENSMODP00000034504	ENSLOCP00000002761
ENSMODP00000017159	ENSLOCP00000005977
ENSMODP00000022651	ENSLOCP00000003646
ENSMODP00000001221	ENSLOCP00000010444
ENSMODP00000002321	ENSLOCP00000018454
ENSMODP00000015526	ENSLOCP00000006716
ENSMODP00000004828	ENSLOCP00000011321
ENSMODP00000023572	ENSLOCP00000019560
ENSMODP00000010212	ENSLOCP00000005913
ENSMODP00000020372	ENSLOCP00000003782
ENSMODP00000010574	ENSLOCP00000016038
ENSMODP00000009583	ENSLOCP00000012784
ENSMODP00000026216	ENSLOCP00000005472
ENSMODP00000017759	ENSLOCP00000005232
ENSMODP00000020345	ENSLOCP00000014168
ENSMODP00000018923	ENSLOCP00000000168
ENSMODP00000033680	ENSLOCP00000010130
ENSMODP00000038197	ENSLOCP00000004123
ENSMODP00000002177	ENSLOCP00000009388
ENSMODP00000011613	ENSLOCP00000005993
ENSMODP00000016140	ENSLOCP00000016715
ENSMODP00000018953	ENSLOCP00000002485
ENSMODP00000009558	ENSLOCP00000010022
ENSMODP00000002133	ENSLOCP00000004068
ENSMODP00000006650	ENSLOCP00000013462
ENSMODP00000007345	ENSLOCP00000018255
ENSMODP00000001843	ENSLOCP00000007915
ENSMODP00000000384	ENSLOCP00000010992
ENSMODP00000005851	ENSLOCP00000006907
ENSMODP00000025829	ENSLOCP00000017392
ENSMODP00000014169	ENSLOCP00000018843
ENSMODP00000013383	ENSLOCP00000011195
ENSMODP00000013333	ENSLOCP00000011223
ENSMODP00000006152	ENSLOCP00000015154
ENSMODP00000020206	ENSLOCP00000018674
ENSMODP00000024048	ENSLOCP00000015904
ENSMODP00000021326	ENSLOCP00000004282
ENSMODP00000020260	ENSLOCP00000002233
ENSMODP00000022127	ENSLOCP00000017437
ENSMODP00000024585	ENSLOCP00000007332
ENSMODP00000022138	ENSLOCP00000017678
ENSMODP00000024224	ENSLOCP00000005108
ENSMODP00000002965	ENSLOCP00000016692
ENSMODP00000002646	ENSLOCP00000009637
ENSMODP00000037712	ENSLOCP00000011477
ENSMODP00000004691	ENSLOCP00000005346
ENSMODP00000022880	ENSLOCP00000020448
ENSMODP00000022440	ENSLOCP00000020509
ENSMODP00000021633	ENSLOCP00000003567
ENSMODP00000012958	ENSLOCP00000010718
ENSMODP00000006141	ENSLOCP00000018366
ENSMODP00000012151	ENSLOCP00000013425
ENSMODP00000038229	ENSLOCP00000014830
ENSMODP00000013223	ENSLOCP00000007760
ENSMODP00000011589	ENSLOCP00000004463
ENSMODP00000000422	ENSLOCP00000004011
ENSMODP00000022092	ENSLOCP00000002374
ENSMODP00000018288	ENSLOCP00000001500
ENSMODP00000020371	ENSLOCP00000004242
ENSMODP00000019866	ENSLOCP00000011089
ENSMODP00000024020	ENSLOCP00000016565
ENSMODP00000005441	ENSLOCP00000018142
ENSMODP00000027864	ENSLOCP00000017846
ENSMODP00000006870	ENSLOCP00000006398
ENSMODP00000035953	ENSLOCP00000007534
ENSMODP00000004283	ENSLOCP00000003529
ENSMODP00000009105	ENSLOCP00000016401
ENSMODP00000001146	ENSLOCP00000007057
ENSMODP00000023122	ENSLOCP00000009233
ENSMODP00000003094	ENSLOCP00000010689
ENSMODP00000014640	ENSLOCP00000018245
ENSMODP00000016641	ENSLOCP00000004841
ENSMODP00000019725	ENSLOCP00000005570
ENSMODP00000013632	ENSLOCP00000016283
ENSMODP00000011273	ENSLOCP00000002447
ENSMODP00000025604	ENSLOCP00000004148
ENSMODP00000009936	ENSLOCP00000016582
ENSMODP00000004115	ENSLOCP00000019749
ENSMODP00000017343	ENSLOCP00000018694
ENSMODP00000020508	ENSLOCP00000017826
ENSMODP00000002789	ENSLOCP00000018478
ENSMODP00000022250	ENSLOCP00000020976
ENSMODP00000003583	ENSLOCP00000020203
ENSMODP00000011192	ENSLOCP00000012519
ENSMODP00000016585	ENSLOCP00000014207
ENSMODP00000023723	ENSLOCP00000020679
ENSMODP00000001117	ENSLOCP00000012005
ENSMODP00000022920	ENSLOCP00000003330
ENSMODP00000033234	ENSLOCP00000001895
ENSMODP00000015131	ENSLOCP00000018089
ENSMODP00000017053	ENSLOCP00000021223
ENSMODP00000012030	ENSLOCP00000005462
ENSMODP00000020543	ENSLOCP00000002743
ENSMODP00000014545	ENSLOCP00000017875
ENSMODP00000005518	ENSLOCP00000007152
ENSMODP00000012900	ENSLOCP00000018765
ENSMODP00000037115	ENSLOCP00000012122
ENSMODP00000009001	ENSLOCP00000016689
ENSMODP00000003619	ENSLOCP00000010411
ENSMODP00000003336	ENSLOCP00000004760
ENSMODP00000020450	ENSLOCP00000002781
ENSMODP00000006508	ENSLOCP00000009822
ENSMODP00000010412	ENSLOCP00000004134
ENSMODP00000019135	ENSLOCP00000017556
ENSMODP00000020242	ENSLOCP00000009183
ENSMODP00000008035	ENSLOCP00000011977
ENSMODP00000017981	ENSLOCP00000004543
ENSMODP00000040608	ENSLOCP00000008045
ENSMODP00000007047	ENSLOCP00000002797
ENSMODP00000011322	ENSLOCP00000018336
ENSMODP00000021927	ENSLOCP00000011743
ENSMODP00000006088	ENSLOCP00000017324
ENSMODP00000026493	ENSLOCP00000004852
ENSMODP00000016433	ENSLOCP00000014275
ENSMODP00000018082	ENSLOCP00000014296
ENSMODP00000016445	ENSLOCP00000014267
ENSMODP00000037709	ENSLOCP00000007190
ENSMODP00000000740	ENSLOCP00000007552
