ENSORLP00000017023	ENSMODP00000016222
ENSORLP00000008607	ENSMODP00000013331
ENSORLP00000022020	ENSMODP00000017273
ENSORLP00000005695	ENSMODP00000013863
ENSORLP00000022851	ENSMODP00000036044
ENSORLP00000010876	ENSMODP00000022560
ENSORLP00000007022	ENSMODP00000006951
ENSORLP00000020711	ENSMODP00000008288
ENSORLP00000010817	ENSMODP00000013900
ENSORLP00000007342	ENSMODP00000017320
ENSORLP00000011413	ENSMODP00000015229
ENSORLP00000022256	ENSMODP00000025996
ENSORLP00000019505	ENSMODP00000016389
ENSORLP00000004295	ENSMODP00000000402
ENSORLP00000014720	ENSMODP00000009650
ENSORLP00000002403	ENSMODP00000002182
ENSORLP00000012324	ENSMODP00000019074
ENSORLP00000000585	ENSMODP00000005435
ENSORLP00000020019	ENSMODP00000016852
ENSORLP00000013874	ENSMODP00000016852
ENSORLP00000002330	ENSMODP00000024292
ENSORLP00000014471	ENSMODP00000024292
ENSORLP00000005351	ENSMODP00000013464
ENSORLP00000019519	ENSMODP00000008628
ENSORLP00000018585	ENSMODP00000004044
ENSORLP00000018984	ENSMODP00000002679
ENSORLP00000006254	ENSMODP00000007893
ENSORLP00000007804	ENSMODP00000007893
ENSORLP00000012489	ENSMODP00000021412
ENSORLP00000002135	ENSMODP00000006018
ENSORLP00000025830	ENSMODP00000023606
ENSORLP00000010622	ENSMODP00000004519
ENSORLP00000010171	ENSMODP00000039634
ENSORLP00000003679	ENSMODP00000037970
ENSORLP00000013805	ENSMODP00000001757
ENSORLP00000021378	ENSMODP00000016775
ENSORLP00000010172	ENSMODP00000036437
ENSORLP00000024935	ENSMODP00000007425
ENSORLP00000012679	ENSMODP00000026554
ENSORLP00000016516	ENSMODP00000005255
ENSORLP00000011838	ENSMODP00000000790
ENSORLP00000022565	ENSMODP00000031750
ENSORLP00000015239	ENSMODP00000002193
ENSORLP00000021947	ENSMODP00000005016
ENSORLP00000011216	ENSMODP00000021509
ENSORLP00000022337	ENSMODP00000021545
ENSORLP00000022670	ENSMODP00000002877
ENSORLP00000010397	ENSMODP00000008929
ENSORLP00000009355	ENSMODP00000013499
ENSORLP00000008594	ENSMODP00000034760
ENSORLP00000008023	ENSMODP00000031383
ENSORLP00000022797	ENSMODP00000027887
ENSORLP00000011723	ENSMODP00000006876
ENSORLP00000025157	ENSMODP00000012731
ENSORLP00000009115	ENSMODP00000001749
ENSORLP00000001104	ENSMODP00000017923
ENSORLP00000002977	ENSMODP00000012407
ENSORLP00000018923	ENSMODP00000004582
ENSORLP00000012925	ENSMODP00000007382
ENSORLP00000000034	ENSMODP00000004284
ENSORLP00000013671	ENSMODP00000020969
ENSORLP00000006742	ENSMODP00000019075
ENSORLP00000009294	ENSMODP00000019115
ENSORLP00000006181	ENSMODP00000019115
ENSORLP00000018956	ENSMODP00000012345
ENSORLP00000014883	ENSMODP00000026928
ENSORLP00000017224	ENSMODP00000018395
ENSORLP00000004455	ENSMODP00000018395
ENSORLP00000007557	ENSMODP00000013451
ENSORLP00000007575	ENSMODP00000013531
ENSORLP00000016131	ENSMODP00000033297
ENSORLP00000021474	ENSMODP00000033297
ENSORLP00000002773	ENSMODP00000019398
ENSORLP00000018416	ENSMODP00000019398
ENSORLP00000015721	ENSMODP00000003179
ENSORLP00000005075	ENSMODP00000007000
ENSORLP00000004108	ENSMODP00000024699
ENSORLP00000005033	ENSMODP00000024699
ENSORLP00000015324	ENSMODP00000003320
ENSORLP00000003059	ENSMODP00000021986
ENSORLP00000018136	ENSMODP00000022203
ENSORLP00000018833	ENSMODP00000001020
ENSORLP00000004173	ENSMODP00000025425
ENSORLP00000025253	ENSMODP00000016658
ENSORLP00000004274	ENSMODP00000024177
ENSORLP00000015164	ENSMODP00000006059
ENSORLP00000016308	ENSMODP00000013818
ENSORLP00000024951	ENSMODP00000022239
ENSORLP00000022635	ENSMODP00000023168
ENSORLP00000007380	ENSMODP00000006713
ENSORLP00000013444	ENSMODP00000006713
ENSORLP00000018715	ENSMODP00000016086
ENSORLP00000010626	ENSMODP00000016086
ENSORLP00000012886	ENSMODP00000025150
ENSORLP00000001311	ENSMODP00000025150
ENSORLP00000013607	ENSMODP00000000370
ENSORLP00000025288	ENSMODP00000018131
ENSORLP00000019460	ENSMODP00000005345
ENSORLP00000010861	ENSMODP00000012871
ENSORLP00000001374	ENSMODP00000017612
ENSORLP00000014802	ENSMODP00000012865
ENSORLP00000018111	ENSMODP00000013397
ENSORLP00000013299	ENSMODP00000015857
ENSORLP00000016364	ENSMODP00000020847
ENSORLP00000019561	ENSMODP00000031789
ENSORLP00000011906	ENSMODP00000031789
ENSORLP00000016312	ENSMODP00000033636
ENSORLP00000022007	ENSMODP00000017863
ENSORLP00000014848	ENSMODP00000038839
ENSORLP00000012741	ENSMODP00000023326
ENSORLP00000011358	ENSMODP00000005633
ENSORLP00000020718	ENSMODP00000002353
ENSORLP00000017749	ENSMODP00000020662
ENSORLP00000019397	ENSMODP00000018114
ENSORLP00000002704	ENSMODP00000003778
ENSORLP00000011850	ENSMODP00000003778
ENSORLP00000018351	ENSMODP00000016652
ENSORLP00000018365	ENSMODP00000016652
ENSORLP00000020399	ENSMODP00000023397
ENSORLP00000003855	ENSMODP00000023397
ENSORLP00000008892	ENSMODP00000003368
ENSORLP00000021088	ENSMODP00000000346
ENSORLP00000008411	ENSMODP00000034629
ENSORLP00000002451	ENSMODP00000034629
ENSORLP00000001579	ENSMODP00000012753
ENSORLP00000000631	ENSMODP00000019189
ENSORLP00000000643	ENSMODP00000019192
ENSORLP00000003863	ENSMODP00000015236
ENSORLP00000003946	ENSMODP00000005729
ENSORLP00000004025	ENSMODP00000011064
ENSORLP00000008236	ENSMODP00000001454
ENSORLP00000015074	ENSMODP00000021931
ENSORLP00000001383	ENSMODP00000001163
ENSORLP00000025646	ENSMODP00000024509
ENSORLP00000019732	ENSMODP00000010755
ENSORLP00000019739	ENSMODP00000010746
ENSORLP00000005562	ENSMODP00000000909
ENSORLP00000005568	ENSMODP00000000902
ENSORLP00000019744	ENSMODP00000010740
ENSORLP00000000954	ENSMODP00000024234
ENSORLP00000022406	ENSMODP00000016933
ENSORLP00000019916	ENSMODP00000035258
ENSORLP00000022541	ENSMODP00000000835
ENSORLP00000021818	ENSMODP00000000835
ENSORLP00000024109	ENSMODP00000024821
ENSORLP00000020061	ENSMODP00000021392
ENSORLP00000013463	ENSMODP00000021392
ENSORLP00000011283	ENSMODP00000016401
ENSORLP00000022013	ENSMODP00000017858
ENSORLP00000021863	ENSMODP00000012397
ENSORLP00000007508	ENSMODP00000003704
ENSORLP00000019672	ENSMODP00000022195
ENSORLP00000002659	ENSMODP00000019036
ENSORLP00000013177	ENSMODP00000021585
ENSORLP00000021900	ENSMODP00000017428
ENSORLP00000025635	ENSMODP00000026323
ENSORLP00000001420	ENSMODP00000007727
ENSORLP00000000891	ENSMODP00000016781
ENSORLP00000000591	ENSMODP00000016781
ENSORLP00000017575	ENSMODP00000007822
ENSORLP00000014312	ENSMODP00000007822
ENSORLP00000021168	ENSMODP00000007124
ENSORLP00000004254	ENSMODP00000007124
ENSORLP00000015312	ENSMODP00000019317
ENSORLP00000020381	ENSMODP00000026127
ENSORLP00000002046	ENSMODP00000035640
ENSORLP00000025494	ENSMODP00000006054
ENSORLP00000013846	ENSMODP00000007035
ENSORLP00000004640	ENSMODP00000008417
ENSORLP00000003433	ENSMODP00000015774
ENSORLP00000009051	ENSMODP00000011325
ENSORLP00000008276	ENSMODP00000009929
ENSORLP00000014984	ENSMODP00000002001
ENSORLP00000018887	ENSMODP00000013128
ENSORLP00000005319	ENSMODP00000026470
ENSORLP00000018843	ENSMODP00000016349
ENSORLP00000014859	ENSMODP00000016685
ENSORLP00000017630	ENSMODP00000021636
ENSORLP00000011608	ENSMODP00000001690
ENSORLP00000002967	ENSMODP00000024626
ENSORLP00000020153	ENSMODP00000017180
ENSORLP00000008018	ENSMODP00000017180
ENSORLP00000016385	ENSMODP00000026357
ENSORLP00000011881	ENSMODP00000014773
ENSORLP00000004619	ENSMODP00000008455
ENSORLP00000012934	ENSMODP00000009509
ENSORLP00000014691	ENSMODP00000020177
ENSORLP00000025699	ENSMODP00000015849
ENSORLP00000025092	ENSMODP00000018579
ENSORLP00000008947	ENSMODP00000018579
ENSORLP00000007330	ENSMODP00000040020
ENSORLP00000021066	ENSMODP00000029534
ENSORLP00000017966	ENSMODP00000029534
ENSORLP00000019821	ENSMODP00000016929
ENSORLP00000011260	ENSMODP00000016929
ENSORLP00000003189	ENSMODP00000006206
ENSORLP00000015135	ENSMODP00000016948
ENSORLP00000015125	ENSMODP00000016950
ENSORLP00000011254	ENSMODP00000016950
ENSORLP00000020032	ENSMODP00000025635
ENSORLP00000018578	ENSMODP00000025635
ENSORLP00000024718	ENSMODP00000025666
ENSORLP00000013929	ENSMODP00000009215
ENSORLP00000007935	ENSMODP00000005689
ENSORLP00000020501	ENSMODP00000020264
ENSORLP00000005391	ENSMODP00000010276
ENSORLP00000001836	ENSMODP00000024418
ENSORLP00000002802	ENSMODP00000024418
ENSORLP00000004251	ENSMODP00000010406
ENSORLP00000007785	ENSMODP00000014796
ENSORLP00000008561	ENSMODP00000037021
ENSORLP00000003955	ENSMODP00000018917
ENSORLP00000005716	ENSMODP00000018917
ENSORLP00000009447	ENSMODP00000010074
ENSORLP00000016755	ENSMODP00000023816
ENSORLP00000025680	ENSMODP00000015433
ENSORLP00000014402	ENSMODP00000017578
ENSORLP00000015976	ENSMODP00000020393
ENSORLP00000010846	ENSMODP00000020393
ENSORLP00000012076	ENSMODP00000004989
ENSORLP00000021608	ENSMODP00000017783
ENSORLP00000014160	ENSMODP00000017783
ENSORLP00000006974	ENSMODP00000029570
ENSORLP00000020050	ENSMODP00000004225
ENSORLP00000008218	ENSMODP00000024791
ENSORLP00000012723	ENSMODP00000017558
ENSORLP00000007001	ENSMODP00000005034
ENSORLP00000002142	ENSMODP00000005034
ENSORLP00000014484	ENSMODP00000028670
ENSORLP00000019891	ENSMODP00000023005
ENSORLP00000019320	ENSMODP00000013329
ENSORLP00000020797	ENSMODP00000013329
ENSORLP00000004088	ENSMODP00000012713
ENSORLP00000005176	ENSMODP00000006389
ENSORLP00000005255	ENSMODP00000006313
ENSORLP00000010903	ENSMODP00000007629
ENSORLP00000003924	ENSMODP00000012781
ENSORLP00000005958	ENSMODP00000012781
ENSORLP00000009004	ENSMODP00000037511
ENSORLP00000011879	ENSMODP00000000643
ENSORLP00000017466	ENSMODP00000000643
ENSORLP00000016407	ENSMODP00000014248
ENSORLP00000002498	ENSMODP00000034116
ENSORLP00000005899	ENSMODP00000011237
ENSORLP00000000178	ENSMODP00000034463
ENSORLP00000018925	ENSMODP00000029074
ENSORLP00000003200	ENSMODP00000028794
ENSORLP00000016932	ENSMODP00000020748
ENSORLP00000006703	ENSMODP00000010196
ENSORLP00000020649	ENSMODP00000024853
ENSORLP00000013120	ENSMODP00000028979
ENSORLP00000021408	ENSMODP00000001626
ENSORLP00000022311	ENSMODP00000000814
ENSORLP00000021091	ENSMODP00000000814
ENSORLP00000013449	ENSMODP00000007157
ENSORLP00000009845	ENSMODP00000004469
ENSORLP00000006238	ENSMODP00000024590
ENSORLP00000011233	ENSMODP00000024590
ENSORLP00000005200	ENSMODP00000004693
ENSORLP00000025778	ENSMODP00000004192
ENSORLP00000019118	ENSMODP00000028503
ENSORLP00000002793	ENSMODP00000025233
ENSORLP00000007565	ENSMODP00000025233
ENSORLP00000016480	ENSMODP00000031563
ENSORLP00000019101	ENSMODP00000028859
ENSORLP00000008804	ENSMODP00000035883
ENSORLP00000010408	ENSMODP00000035883
ENSORLP00000000955	ENSMODP00000011235
ENSORLP00000024303	ENSMODP00000019655
ENSORLP00000007370	ENSMODP00000001450
ENSORLP00000011202	ENSMODP00000001450
ENSORLP00000002460	ENSMODP00000037216
ENSORLP00000014546	ENSMODP00000037031
ENSORLP00000024006	ENSMODP00000004914
ENSORLP00000025283	ENSMODP00000008363
ENSORLP00000023562	ENSMODP00000008363
ENSORLP00000025361	ENSMODP00000023740
ENSORLP00000002544	ENSMODP00000019802
ENSORLP00000013157	ENSMODP00000019802
ENSORLP00000014924	ENSMODP00000013887
ENSORLP00000019751	ENSMODP00000004893
ENSORLP00000013289	ENSMODP00000004893
ENSORLP00000020092	ENSMODP00000035754
ENSORLP00000007978	ENSMODP00000035754
ENSORLP00000019342	ENSMODP00000024714
ENSORLP00000022468	ENSMODP00000020099
ENSORLP00000007005	ENSMODP00000040556
ENSORLP00000015046	ENSMODP00000022442
ENSORLP00000007689	ENSMODP00000022442
ENSORLP00000006193	ENSMODP00000004958
ENSORLP00000018788	ENSMODP00000018134
ENSORLP00000015748	ENSMODP00000024244
ENSORLP00000002291	ENSMODP00000006025
ENSORLP00000019066	ENSMODP00000003796
ENSORLP00000019227	ENSMODP00000020994
ENSORLP00000014563	ENSMODP00000011509
ENSORLP00000014904	ENSMODP00000004108
ENSORLP00000016522	ENSMODP00000006215
ENSORLP00000018166	ENSMODP00000016598
ENSORLP00000006852	ENSMODP00000015178
ENSORLP00000019932	ENSMODP00000011747
ENSORLP00000018275	ENSMODP00000021456
ENSORLP00000005287	ENSMODP00000022547
ENSORLP00000006617	ENSMODP00000037000
ENSORLP00000015378	ENSMODP00000010540
ENSORLP00000007697	ENSMODP00000015462
ENSORLP00000001913	ENSMODP00000015462
ENSORLP00000014432	ENSMODP00000028490
ENSORLP00000021170	ENSMODP00000007192
ENSORLP00000006700	ENSMODP00000011498
ENSORLP00000017682	ENSMODP00000033084
ENSORLP00000008593	ENSMODP00000012038
ENSORLP00000004579	ENSMODP00000012043
ENSORLP00000005540	ENSMODP00000025712
ENSORLP00000022648	ENSMODP00000036164
ENSORLP00000010020	ENSMODP00000008837
ENSORLP00000021423	ENSMODP00000035049
ENSORLP00000016275	ENSMODP00000013890
ENSORLP00000017243	ENSMODP00000023997
ENSORLP00000001337	ENSMODP00000019174
ENSORLP00000005361	ENSMODP00000006105
ENSORLP00000020996	ENSMODP00000006105
ENSORLP00000024525	ENSMODP00000011310
ENSORLP00000009804	ENSMODP00000038432
ENSORLP00000019121	ENSMODP00000038094
ENSORLP00000024813	ENSMODP00000007186
ENSORLP00000000315	ENSMODP00000025808
ENSORLP00000021052	ENSMODP00000014214
ENSORLP00000000841	ENSMODP00000011506
ENSORLP00000015688	ENSMODP00000011506
ENSORLP00000014648	ENSMODP00000019642
ENSORLP00000013260	ENSMODP00000013017
ENSORLP00000019946	ENSMODP00000034038
ENSORLP00000012742	ENSMODP00000024630
ENSORLP00000020510	ENSMODP00000007314
ENSORLP00000021804	ENSMODP00000000807
ENSORLP00000021576	ENSMODP00000025533
ENSORLP00000015998	ENSMODP00000007786
ENSORLP00000015424	ENSMODP00000037551
ENSORLP00000023222	ENSMODP00000004628
ENSORLP00000002566	ENSMODP00000001075
ENSORLP00000012302	ENSMODP00000004183
ENSORLP00000012334	ENSMODP00000037028
ENSORLP00000018569	ENSMODP00000025394
ENSORLP00000005246	ENSMODP00000025394
ENSORLP00000018612	ENSMODP00000025382
ENSORLP00000000570	ENSMODP00000034209
ENSORLP00000001147	ENSMODP00000034209
ENSORLP00000011697	ENSMODP00000000451
ENSORLP00000008639	ENSMODP00000000451
ENSORLP00000020054	ENSMODP00000037704
ENSORLP00000004401	ENSMODP00000025104
ENSORLP00000016781	ENSMODP00000010843
ENSORLP00000007482	ENSMODP00000003741
ENSORLP00000006064	ENSMODP00000003741
ENSORLP00000015107	ENSMODP00000007578
ENSORLP00000011026	ENSMODP00000007578
ENSORLP00000020990	ENSMODP00000017159
ENSORLP00000020220	ENSMODP00000017940
ENSORLP00000023486	ENSMODP00000015526
ENSORLP00000021952	ENSMODP00000004828
ENSORLP00000009060	ENSMODP00000010212
ENSORLP00000009935	ENSMODP00000011028
ENSORLP00000000805	ENSMODP00000020372
ENSORLP00000021561	ENSMODP00000010574
ENSORLP00000010554	ENSMODP00000009583
ENSORLP00000015653	ENSMODP00000026216
ENSORLP00000009407	ENSMODP00000017759
ENSORLP00000007507	ENSMODP00000020345
ENSORLP00000025418	ENSMODP00000020345
ENSORLP00000002376	ENSMODP00000018923
ENSORLP00000020582	ENSMODP00000033680
ENSORLP00000023533	ENSMODP00000033680
ENSORLP00000005021	ENSMODP00000038197
ENSORLP00000009566	ENSMODP00000002177
ENSORLP00000001925	ENSMODP00000002177
ENSORLP00000025471	ENSMODP00000011613
ENSORLP00000003329	ENSMODP00000016140
ENSORLP00000017612	ENSMODP00000018953
ENSORLP00000010833	ENSMODP00000009558
ENSORLP00000002721	ENSMODP00000002133
ENSORLP00000010780	ENSMODP00000006650
ENSORLP00000008011	ENSMODP00000007345
ENSORLP00000013167	ENSMODP00000001843
ENSORLP00000023378	ENSMODP00000000384
ENSORLP00000000556	ENSMODP00000025829
ENSORLP00000019339	ENSMODP00000014169
ENSORLP00000012858	ENSMODP00000013383
ENSORLP00000024341	ENSMODP00000006152
ENSORLP00000002505	ENSMODP00000020206
ENSORLP00000010552	ENSMODP00000021326
ENSORLP00000024673	ENSMODP00000021326
ENSORLP00000012495	ENSMODP00000020260
ENSORLP00000023753	ENSMODP00000022127
ENSORLP00000011177	ENSMODP00000024585
ENSORLP00000010429	ENSMODP00000022138
ENSORLP00000015853	ENSMODP00000022138
ENSORLP00000000800	ENSMODP00000024224
ENSORLP00000021619	ENSMODP00000024224
ENSORLP00000009376	ENSMODP00000037712
ENSORLP00000020197	ENSMODP00000022880
ENSORLP00000017836	ENSMODP00000021633
ENSORLP00000010308	ENSMODP00000021633
ENSORLP00000003871	ENSMODP00000012958
ENSORLP00000009664	ENSMODP00000012958
ENSORLP00000022395	ENSMODP00000012151
ENSORLP00000018310	ENSMODP00000038229
ENSORLP00000019175	ENSMODP00000038229
ENSORLP00000006121	ENSMODP00000013223
ENSORLP00000004141	ENSMODP00000013223
ENSORLP00000016759	ENSMODP00000000422
ENSORLP00000021644	ENSMODP00000022092
ENSORLP00000017858	ENSMODP00000018288
ENSORLP00000007854	ENSMODP00000020371
ENSORLP00000020087	ENSMODP00000020371
ENSORLP00000023047	ENSMODP00000019866
ENSORLP00000008712	ENSMODP00000024020
ENSORLP00000003369	ENSMODP00000024020
ENSORLP00000013373	ENSMODP00000027864
ENSORLP00000003415	ENSMODP00000027864
ENSORLP00000022884	ENSMODP00000006870
ENSORLP00000000238	ENSMODP00000035953
ENSORLP00000019096	ENSMODP00000004283
ENSORLP00000019098	ENSMODP00000009105
ENSORLP00000011080	ENSMODP00000001146
ENSORLP00000015725	ENSMODP00000001146
ENSORLP00000012449	ENSMODP00000023122
ENSORLP00000009345	ENSMODP00000014640
ENSORLP00000020004	ENSMODP00000019725
ENSORLP00000003021	ENSMODP00000019725
ENSORLP00000024871	ENSMODP00000016921
ENSORLP00000006399	ENSMODP00000011273
ENSORLP00000018782	ENSMODP00000025604
ENSORLP00000010963	ENSMODP00000009936
ENSORLP00000012068	ENSMODP00000017343
ENSORLP00000017568	ENSMODP00000020508
ENSORLP00000005390	ENSMODP00000002789
ENSORLP00000022513	ENSMODP00000022250
ENSORLP00000015200	ENSMODP00000003583
ENSORLP00000022595	ENSMODP00000011192
ENSORLP00000003948	ENSMODP00000023723
ENSORLP00000021534	ENSMODP00000001117
ENSORLP00000002389	ENSMODP00000022920
ENSORLP00000019504	ENSMODP00000033234
ENSORLP00000009948	ENSMODP00000015131
ENSORLP00000021650	ENSMODP00000017053
ENSORLP00000012393	ENSMODP00000012030
ENSORLP00000020094	ENSMODP00000020543
ENSORLP00000010119	ENSMODP00000014545
ENSORLP00000024224	ENSMODP00000015214
ENSORLP00000001322	ENSMODP00000012900
ENSORLP00000010128	ENSMODP00000009001
ENSORLP00000019655	ENSMODP00000003619
ENSORLP00000009527	ENSMODP00000003336
ENSORLP00000012965	ENSMODP00000003336
ENSORLP00000020236	ENSMODP00000020450
ENSORLP00000014987	ENSMODP00000006508
ENSORLP00000022063	ENSMODP00000010412
ENSORLP00000003559	ENSMODP00000010412
ENSORLP00000004136	ENSMODP00000019135
ENSORLP00000024937	ENSMODP00000020242
ENSORLP00000023002	ENSMODP00000008035
ENSORLP00000005534	ENSMODP00000017981
ENSORLP00000021704	ENSMODP00000040608
ENSORLP00000010296	ENSMODP00000007047
ENSORLP00000008681	ENSMODP00000011322
ENSORLP00000013360	ENSMODP00000021927
ENSORLP00000013025	ENSMODP00000006088
ENSORLP00000019892	ENSMODP00000026493
ENSORLP00000011572	ENSMODP00000026493
ENSORLP00000014379	ENSMODP00000018082
ENSORLP00000021970	ENSMODP00000016445
ENSORLP00000011273	ENSMODP00000037709
ENSORLP00000016465	ENSMODP00000000740
ENSORLP00000005631	ENSMODP00000009858
ENSORLP00000005442	ENSMODP00000009575
ENSORLP00000013229	ENSMODP00000021575
ENSORLP00000024752	ENSMODP00000038702
ENSORLP00000008749	ENSMODP00000011718
ENSORLP00000003095	ENSMODP00000014505
ENSORLP00000007089	ENSMODP00000014505
ENSORLP00000018447	ENSMODP00000019625
ENSORLP00000009350	ENSMODP00000011971
ENSORLP00000020926	ENSMODP00000015208
ENSORLP00000019177	ENSMODP00000017666
ENSORLP00000001403	ENSMODP00000002268
ENSORLP00000003191	ENSMODP00000033852
ENSORLP00000015686	ENSMODP00000012204
ENSORLP00000012914	ENSMODP00000009679
ENSORLP00000003431	ENSMODP00000006685
ENSORLP00000008375	ENSMODP00000037070
ENSORLP00000005056	ENSMODP00000026793
ENSORLP00000005122	ENSMODP00000013501
ENSORLP00000007024	ENSMODP00000007285
ENSORLP00000009202	ENSMODP00000014942
ENSORLP00000017009	ENSMODP00000019529
ENSORLP00000020666	ENSMODP00000022314
ENSORLP00000003654	ENSMODP00000010391
ENSORLP00000022073	ENSMODP00000010391
ENSORLP00000012544	ENSMODP00000022783
ENSORLP00000003476	ENSMODP00000006646
ENSORLP00000005239	ENSMODP00000022543
ENSORLP00000011455	ENSMODP00000022543
ENSORLP00000003137	ENSMODP00000016502
ENSORLP00000007160	ENSMODP00000016502
ENSORLP00000001406	ENSMODP00000014221
ENSORLP00000009050	ENSMODP00000017230
ENSORLP00000012144	ENSMODP00000014738
ENSORLP00000003645	ENSMODP00000035593
ENSORLP00000016043	ENSMODP00000035593
ENSORLP00000010245	ENSMODP00000008768
ENSORLP00000002565	ENSMODP00000000980
ENSORLP00000000220	ENSMODP00000025824
ENSORLP00000016099	ENSMODP00000022198
ENSORLP00000010178	ENSMODP00000024262
ENSORLP00000015387	ENSMODP00000009347
ENSORLP00000022133	ENSMODP00000026857
ENSORLP00000016102	ENSMODP00000020173
ENSORLP00000020198	ENSMODP00000003066
ENSORLP00000008179	ENSMODP00000022677
ENSORLP00000018854	ENSMODP00000026042
ENSORLP00000009678	ENSMODP00000002568
ENSORLP00000001295	ENSMODP00000030466
ENSORLP00000014273	ENSMODP00000028496
ENSORLP00000001266	ENSMODP00000025295
ENSORLP00000013872	ENSMODP00000040249
ENSORLP00000005600	ENSMODP00000020618
ENSORLP00000013956	ENSMODP00000018323
ENSORLP00000016851	ENSMODP00000022584
ENSORLP00000023310	ENSMODP00000012587
ENSORLP00000014269	ENSMODP00000022830
ENSORLP00000001915	ENSMODP00000010747
ENSORLP00000015230	ENSMODP00000022570
ENSORLP00000022617	ENSMODP00000005573
ENSORLP00000015380	ENSMODP00000005181
ENSORLP00000008328	ENSMODP00000012905
ENSORLP00000007748	ENSMODP00000020538
ENSORLP00000022151	ENSMODP00000023494
ENSORLP00000019445	ENSMODP00000026682
