ENSGACP00000003450	ENSCAFP00000014731
ENSGACP00000023031	ENSCAFP00000042751
ENSGACP00000018735	ENSCAFP00000019792
ENSGACP00000010089	ENSCAFP00000022068
ENSGACP00000024791	ENSCAFP00000023624
ENSGACP00000024033	ENSCAFP00000001306
ENSGACP00000003038	ENSCAFP00000020713
ENSGACP00000002405	ENSCAFP00000013047
ENSGACP00000011399	ENSCAFP00000026382
ENSGACP00000016404	ENSCAFP00000009752
ENSGACP00000001035	ENSCAFP00000023231
ENSGACP00000020270	ENSCAFP00000007928
ENSGACP00000024658	ENSCAFP00000027825
ENSGACP00000021658	ENSCAFP00000021439
ENSGACP00000018417	ENSCAFP00000018637
ENSGACP00000008623	ENSCAFP00000018637
ENSGACP00000014394	ENSCAFP00000004138
ENSGACP00000008802	ENSCAFP00000025317
ENSGACP00000019210	ENSCAFP00000027841
ENSGACP00000002834	ENSCAFP00000029742
ENSGACP00000015815	ENSCAFP00000025289
ENSGACP00000022066	ENSCAFP00000005947
ENSGACP00000010750	ENSCAFP00000021524
ENSGACP00000012695	ENSCAFP00000019815
ENSGACP00000007203	ENSCAFP00000019815
ENSGACP00000024500	ENSCAFP00000016801
ENSGACP00000022065	ENSCAFP00000030461
ENSGACP00000003704	ENSCAFP00000036507
ENSGACP00000016370	ENSCAFP00000019811
ENSGACP00000022984	ENSCAFP00000029719
ENSGACP00000004888	ENSCAFP00000011995
ENSGACP00000002403	ENSCAFP00000021690
ENSGACP00000008807	ENSCAFP00000022596
ENSGACP00000022304	ENSCAFP00000023182
ENSGACP00000020352	ENSCAFP00000018253
ENSGACP00000018750	ENSCAFP00000002791
ENSGACP00000000372	ENSCAFP00000022118
ENSGACP00000014494	ENSCAFP00000014825
ENSGACP00000023747	ENSCAFP00000007048
ENSGACP00000004440	ENSCAFP00000017550
ENSGACP00000005070	ENSCAFP00000037940
ENSGACP00000002886	ENSCAFP00000018354
ENSGACP00000007201	ENSCAFP00000024345
ENSGACP00000024497	ENSCAFP00000024345
ENSGACP00000010311	ENSCAFP00000010341
ENSGACP00000020639	ENSCAFP00000010262
ENSGACP00000011727	ENSCAFP00000005775
ENSGACP00000006806	ENSCAFP00000001922
ENSGACP00000017136	ENSCAFP00000005678
ENSGACP00000005071	ENSCAFP00000000979
ENSGACP00000001491	ENSCAFP00000022990
ENSGACP00000000220	ENSCAFP00000001491
ENSGACP00000012914	ENSCAFP00000018897
ENSGACP00000009347	ENSCAFP00000017225
ENSGACP00000025450	ENSCAFP00000017225
ENSGACP00000024285	ENSCAFP00000025707
ENSGACP00000024263	ENSCAFP00000001025
ENSGACP00000023016	ENSCAFP00000029725
ENSGACP00000019572	ENSCAFP00000013959
ENSGACP00000014238	ENSCAFP00000013459
ENSGACP00000008454	ENSCAFP00000007656
ENSGACP00000008243	ENSCAFP00000021476
ENSGACP00000010767	ENSCAFP00000004543
ENSGACP00000009332	ENSCAFP00000004543
ENSGACP00000003473	ENSCAFP00000042734
ENSGACP00000006347	ENSCAFP00000004699
ENSGACP00000008366	ENSCAFP00000023374
ENSGACP00000011689	ENSCAFP00000023374
ENSGACP00000021542	ENSCAFP00000033673
ENSGACP00000012439	ENSCAFP00000033673
ENSGACP00000012414	ENSCAFP00000015628
ENSGACP00000000772	ENSCAFP00000041937
ENSGACP00000014142	ENSCAFP00000041937
ENSGACP00000006410	ENSCAFP00000018097
ENSGACP00000017305	ENSCAFP00000018097
ENSGACP00000018854	ENSCAFP00000021381
ENSGACP00000003269	ENSCAFP00000021381
ENSGACP00000004022	ENSCAFP00000003057
ENSGACP00000021129	ENSCAFP00000042913
ENSGACP00000021829	ENSCAFP00000030233
ENSGACP00000015846	ENSCAFP00000030233
ENSGACP00000013084	ENSCAFP00000041421
ENSGACP00000016079	ENSCAFP00000007210
ENSGACP00000003931	ENSCAFP00000001179
ENSGACP00000022235	ENSCAFP00000032670
ENSGACP00000018219	ENSCAFP00000005013
ENSGACP00000019166	ENSCAFP00000027366
ENSGACP00000008117	ENSCAFP00000027533
ENSGACP00000019859	ENSCAFP00000019445
ENSGACP00000005941	ENSCAFP00000042805
ENSGACP00000005138	ENSCAFP00000015344
ENSGACP00000025436	ENSCAFP00000015347
ENSGACP00000005837	ENSCAFP00000001267
ENSGACP00000012209	ENSCAFP00000036079
ENSGACP00000000820	ENSCAFP00000036079
ENSGACP00000023196	ENSCAFP00000007816
ENSGACP00000005211	ENSCAFP00000007816
ENSGACP00000013771	ENSCAFP00000011829
ENSGACP00000020523	ENSCAFP00000011829
ENSGACP00000008747	ENSCAFP00000030086
ENSGACP00000013296	ENSCAFP00000023803
ENSGACP00000027605	ENSCAFP00000001165
ENSGACP00000004758	ENSCAFP00000016128
ENSGACP00000003129	ENSCAFP00000040632
ENSGACP00000008282	ENSCAFP00000003004
ENSGACP00000007790	ENSCAFP00000025369
ENSGACP00000016640	ENSCAFP00000025369
ENSGACP00000025425	ENSCAFP00000029086
ENSGACP00000023045	ENSCAFP00000004896
ENSGACP00000011374	ENSCAFP00000026399
ENSGACP00000016639	ENSCAFP00000026399
ENSGACP00000017297	ENSCAFP00000008867
ENSGACP00000001068	ENSCAFP00000021003
ENSGACP00000008073	ENSCAFP00000003598
ENSGACP00000014609	ENSCAFP00000014716
ENSGACP00000010177	ENSCAFP00000028722
ENSGACP00000015729	ENSCAFP00000034674
ENSGACP00000010104	ENSCAFP00000030999
ENSGACP00000026169	ENSCAFP00000009236
ENSGACP00000027541	ENSCAFP00000020942
ENSGACP00000017434	ENSCAFP00000036371
ENSGACP00000005074	ENSCAFP00000036371
ENSGACP00000011768	ENSCAFP00000016465
ENSGACP00000006905	ENSCAFP00000025949
ENSGACP00000022342	ENSCAFP00000025949
ENSGACP00000018068	ENSCAFP00000020623
ENSGACP00000007159	ENSCAFP00000019067
ENSGACP00000021629	ENSCAFP00000019067
ENSGACP00000001510	ENSCAFP00000021123
ENSGACP00000011518	ENSCAFP00000002572
ENSGACP00000011514	ENSCAFP00000002573
ENSGACP00000007653	ENSCAFP00000015697
ENSGACP00000005156	ENSCAFP00000008315
ENSGACP00000015987	ENSCAFP00000023232
ENSGACP00000005372	ENSCAFP00000014368
ENSGACP00000020863	ENSCAFP00000001557
ENSGACP00000006436	ENSCAFP00000004162
ENSGACP00000013194	ENSCAFP00000023110
ENSGACP00000012821	ENSCAFP00000006542
ENSGACP00000011152	ENSCAFP00000022969
ENSGACP00000011147	ENSCAFP00000040206
ENSGACP00000014281	ENSCAFP00000003716
ENSGACP00000006350	ENSCAFP00000027024
ENSGACP00000022338	ENSCAFP00000028252
ENSGACP00000014096	ENSCAFP00000028252
ENSGACP00000013148	ENSCAFP00000018239
ENSGACP00000020152	ENSCAFP00000013467
ENSGACP00000026379	ENSCAFP00000006489
ENSGACP00000015814	ENSCAFP00000006489
ENSGACP00000015693	ENSCAFP00000021364
ENSGACP00000018115	ENSCAFP00000014166
ENSGACP00000017867	ENSCAFP00000002917
ENSGACP00000007480	ENSCAFP00000004775
ENSGACP00000023702	ENSCAFP00000010009
ENSGACP00000008047	ENSCAFP00000011007
ENSGACP00000002773	ENSCAFP00000030087
ENSGACP00000009197	ENSCAFP00000001366
ENSGACP00000007682	ENSCAFP00000001321
ENSGACP00000023139	ENSCAFP00000043077
ENSGACP00000022997	ENSCAFP00000041266
ENSGACP00000003972	ENSCAFP00000040526
ENSGACP00000007261	ENSCAFP00000015470
ENSGACP00000011199	ENSCAFP00000042532
ENSGACP00000022041	ENSCAFP00000012421
ENSGACP00000022171	ENSCAFP00000024642
ENSGACP00000014617	ENSCAFP00000010770
ENSGACP00000023960	ENSCAFP00000024338
ENSGACP00000003253	ENSCAFP00000006187
ENSGACP00000025585	ENSCAFP00000025113
ENSGACP00000013823	ENSCAFP00000005216
ENSGACP00000000546	ENSCAFP00000017041
ENSGACP00000008541	ENSCAFP00000039810
ENSGACP00000016976	ENSCAFP00000020878
ENSGACP00000021564	ENSCAFP00000002131
ENSGACP00000023933	ENSCAFP00000028913
ENSGACP00000014594	ENSCAFP00000008259
ENSGACP00000002976	ENSCAFP00000031887
ENSGACP00000009782	ENSCAFP00000020325
ENSGACP00000014610	ENSCAFP00000010756
ENSGACP00000010870	ENSCAFP00000008390
ENSGACP00000017221	ENSCAFP00000028873
ENSGACP00000006610	ENSCAFP00000025456
ENSGACP00000024519	ENSCAFP00000002279
ENSGACP00000022977	ENSCAFP00000002279
ENSGACP00000002710	ENSCAFP00000030020
ENSGACP00000004756	ENSCAFP00000029648
ENSGACP00000024428	ENSCAFP00000029648
ENSGACP00000008120	ENSCAFP00000018839
ENSGACP00000026911	ENSCAFP00000018839
ENSGACP00000023362	ENSCAFP00000019099
ENSGACP00000009622	ENSCAFP00000042471
ENSGACP00000009627	ENSCAFP00000037953
ENSGACP00000026912	ENSCAFP00000037953
ENSGACP00000008126	ENSCAFP00000018846
ENSGACP00000012368	ENSCAFP00000009132
ENSGACP00000002501	ENSCAFP00000008783
ENSGACP00000015186	ENSCAFP00000013874
ENSGACP00000019007	ENSCAFP00000039644
ENSGACP00000009364	ENSCAFP00000017037
ENSGACP00000022283	ENSCAFP00000017037
ENSGACP00000016040	ENSCAFP00000001426
ENSGACP00000027323	ENSCAFP00000008523
ENSGACP00000012004	ENSCAFP00000021553
ENSGACP00000008427	ENSCAFP00000021553
ENSGACP00000020774	ENSCAFP00000029683
ENSGACP00000007393	ENSCAFP00000000032
ENSGACP00000015404	ENSCAFP00000039820
ENSGACP00000024486	ENSCAFP00000039820
ENSGACP00000018930	ENSCAFP00000025905
ENSGACP00000022151	ENSCAFP00000025905
ENSGACP00000014072	ENSCAFP00000037408
ENSGACP00000003890	ENSCAFP00000029570
ENSGACP00000008971	ENSCAFP00000024003
ENSGACP00000010715	ENSCAFP00000024003
ENSGACP00000009867	ENSCAFP00000005367
ENSGACP00000012507	ENSCAFP00000022150
ENSGACP00000018335	ENSCAFP00000029639
ENSGACP00000020593	ENSCAFP00000013939
ENSGACP00000003601	ENSCAFP00000018700
ENSGACP00000008287	ENSCAFP00000001191
ENSGACP00000003954	ENSCAFP00000001191
ENSGACP00000011110	ENSCAFP00000012166
ENSGACP00000008952	ENSCAFP00000003177
ENSGACP00000018118	ENSCAFP00000023790
ENSGACP00000023726	ENSCAFP00000041233
ENSGACP00000017819	ENSCAFP00000018292
ENSGACP00000011957	ENSCAFP00000019683
ENSGACP00000020024	ENSCAFP00000014137
ENSGACP00000010507	ENSCAFP00000020384
ENSGACP00000015759	ENSCAFP00000009003
ENSGACP00000027242	ENSCAFP00000009003
ENSGACP00000006238	ENSCAFP00000026323
ENSGACP00000007062	ENSCAFP00000037494
ENSGACP00000006011	ENSCAFP00000036652
ENSGACP00000018621	ENSCAFP00000024276
ENSGACP00000025390	ENSCAFP00000004919
ENSGACP00000015595	ENSCAFP00000015478
ENSGACP00000027075	ENSCAFP00000027600
ENSGACP00000011371	ENSCAFP00000027600
ENSGACP00000014438	ENSCAFP00000022673
ENSGACP00000002482	ENSCAFP00000022673
ENSGACP00000010138	ENSCAFP00000001958
ENSGACP00000014484	ENSCAFP00000012263
ENSGACP00000007335	ENSCAFP00000006886
ENSGACP00000010547	ENSCAFP00000002376
ENSGACP00000014826	ENSCAFP00000013729
ENSGACP00000011322	ENSCAFP00000021570
ENSGACP00000021331	ENSCAFP00000013230
ENSGACP00000013049	ENSCAFP00000013230
ENSGACP00000014740	ENSCAFP00000036551
ENSGACP00000025750	ENSCAFP00000002446
ENSGACP00000019139	ENSCAFP00000002925
ENSGACP00000021558	ENSCAFP00000011342
ENSGACP00000025677	ENSCAFP00000011342
ENSGACP00000011290	ENSCAFP00000031222
ENSGACP00000021467	ENSCAFP00000024154
ENSGACP00000006721	ENSCAFP00000038401
ENSGACP00000012822	ENSCAFP00000038401
ENSGACP00000022562	ENSCAFP00000013877
ENSGACP00000011924	ENSCAFP00000005116
ENSGACP00000008097	ENSCAFP00000020107
ENSGACP00000013458	ENSCAFP00000020107
ENSGACP00000018946	ENSCAFP00000013583
ENSGACP00000012763	ENSCAFP00000019645
ENSGACP00000023501	ENSCAFP00000004554
ENSGACP00000014637	ENSCAFP00000042713
ENSGACP00000017766	ENSCAFP00000009964
ENSGACP00000017720	ENSCAFP00000020374
ENSGACP00000023168	ENSCAFP00000020374
ENSGACP00000000388	ENSCAFP00000015121
ENSGACP00000010687	ENSCAFP00000015121
ENSGACP00000027546	ENSCAFP00000027678
ENSGACP00000022436	ENSCAFP00000021753
ENSGACP00000009783	ENSCAFP00000028620
ENSGACP00000013794	ENSCAFP00000020375
ENSGACP00000002583	ENSCAFP00000020375
ENSGACP00000008851	ENSCAFP00000038936
ENSGACP00000011962	ENSCAFP00000004845
ENSGACP00000013617	ENSCAFP00000026000
ENSGACP00000024845	ENSCAFP00000026000
ENSGACP00000007476	ENSCAFP00000029873
ENSGACP00000008862	ENSCAFP00000000550
ENSGACP00000002243	ENSCAFP00000009897
ENSGACP00000004347	ENSCAFP00000031869
ENSGACP00000024642	ENSCAFP00000032071
ENSGACP00000023961	ENSCAFP00000001786
ENSGACP00000010920	ENSCAFP00000038509
ENSGACP00000020256	ENSCAFP00000037679
ENSGACP00000018674	ENSCAFP00000005292
ENSGACP00000001541	ENSCAFP00000013398
ENSGACP00000025293	ENSCAFP00000035883
ENSGACP00000010883	ENSCAFP00000011536
ENSGACP00000016455	ENSCAFP00000020404
ENSGACP00000007247	ENSCAFP00000015605
ENSGACP00000008515	ENSCAFP00000005101
ENSGACP00000010891	ENSCAFP00000005101
ENSGACP00000005764	ENSCAFP00000024052
ENSGACP00000006690	ENSCAFP00000025530
ENSGACP00000027174	ENSCAFP00000009488
ENSGACP00000023717	ENSCAFP00000023599
ENSGACP00000003615	ENSCAFP00000011875
ENSGACP00000005917	ENSCAFP00000024108
ENSGACP00000024117	ENSCAFP00000015277
ENSGACP00000018050	ENSCAFP00000027492
ENSGACP00000018757	ENSCAFP00000014581
ENSGACP00000020047	ENSCAFP00000035619
ENSGACP00000007585	ENSCAFP00000035619
ENSGACP00000003547	ENSCAFP00000031589
ENSGACP00000019183	ENSCAFP00000036252
ENSGACP00000002744	ENSCAFP00000036663
ENSGACP00000002016	ENSCAFP00000008996
ENSGACP00000018705	ENSCAFP00000002884
ENSGACP00000010376	ENSCAFP00000024409
ENSGACP00000007930	ENSCAFP00000024409
ENSGACP00000025486	ENSCAFP00000007560
ENSGACP00000016795	ENSCAFP00000007560
ENSGACP00000015259	ENSCAFP00000005895
ENSGACP00000025138	ENSCAFP00000001057
ENSGACP00000011755	ENSCAFP00000001057
ENSGACP00000018076	ENSCAFP00000005803
ENSGACP00000008295	ENSCAFP00000026118
ENSGACP00000014107	ENSCAFP00000028279
ENSGACP00000006667	ENSCAFP00000027873
ENSGACP00000024356	ENSCAFP00000029704
ENSGACP00000011466	ENSCAFP00000040628
ENSGACP00000003847	ENSCAFP00000003369
ENSGACP00000022310	ENSCAFP00000000511
ENSGACP00000021571	ENSCAFP00000027972
ENSGACP00000021553	ENSCAFP00000027955
ENSGACP00000023675	ENSCAFP00000027458
ENSGACP00000009161	ENSCAFP00000027458
ENSGACP00000023666	ENSCAFP00000027446
ENSGACP00000022606	ENSCAFP00000013818
ENSGACP00000003183	ENSCAFP00000021258
ENSGACP00000011082	ENSCAFP00000021258
ENSGACP00000018264	ENSCAFP00000021749
ENSGACP00000008056	ENSCAFP00000013783
ENSGACP00000009168	ENSCAFP00000013783
ENSGACP00000022048	ENSCAFP00000014278
ENSGACP00000018629	ENSCAFP00000008430
ENSGACP00000024982	ENSCAFP00000008430
ENSGACP00000016335	ENSCAFP00000010647
ENSGACP00000021346	ENSCAFP00000017880
ENSGACP00000005446	ENSCAFP00000001183
ENSGACP00000017279	ENSCAFP00000001198
ENSGACP00000006884	ENSCAFP00000011396
ENSGACP00000023755	ENSCAFP00000007003
ENSGACP00000002114	ENSCAFP00000010757
ENSGACP00000019214	ENSCAFP00000010535
ENSGACP00000023011	ENSCAFP00000008003
ENSGACP00000001216	ENSCAFP00000016804
ENSGACP00000001729	ENSCAFP00000016804
ENSGACP00000017178	ENSCAFP00000013721
ENSGACP00000021150	ENSCAFP00000013170
ENSGACP00000026689	ENSCAFP00000014998
ENSGACP00000012092	ENSCAFP00000020477
ENSGACP00000023826	ENSCAFP00000004081
ENSGACP00000021508	ENSCAFP00000004081
ENSGACP00000003882	ENSCAFP00000000938
ENSGACP00000008443	ENSCAFP00000026148
ENSGACP00000025295	ENSCAFP00000026148
ENSGACP00000015893	ENSCAFP00000030253
ENSGACP00000019478	ENSCAFP00000030253
ENSGACP00000012018	ENSCAFP00000036535
ENSGACP00000000954	ENSCAFP00000036535
ENSGACP00000003981	ENSCAFP00000005014
ENSGACP00000023947	ENSCAFP00000024021
ENSGACP00000019749	ENSCAFP00000038277
ENSGACP00000018081	ENSCAFP00000024667
ENSGACP00000001845	ENSCAFP00000014770
ENSGACP00000009082	ENSCAFP00000027739
ENSGACP00000022777	ENSCAFP00000005389
ENSGACP00000017417	ENSCAFP00000012208
ENSGACP00000021216	ENSCAFP00000035961
ENSGACP00000027504	ENSCAFP00000024410
ENSGACP00000005858	ENSCAFP00000004364
ENSGACP00000015141	ENSCAFP00000013933
ENSGACP00000005329	ENSCAFP00000001409
ENSGACP00000023030	ENSCAFP00000019708
ENSGACP00000013038	ENSCAFP00000013071
ENSGACP00000014266	ENSCAFP00000019667
ENSGACP00000021767	ENSCAFP00000019667
ENSGACP00000010282	ENSCAFP00000034803
ENSGACP00000026330	ENSCAFP00000023001
ENSGACP00000018424	ENSCAFP00000042901
ENSGACP00000010363	ENSCAFP00000042901
ENSGACP00000015764	ENSCAFP00000008944
ENSGACP00000027003	ENSCAFP00000008944
ENSGACP00000022490	ENSCAFP00000024882
ENSGACP00000022529	ENSCAFP00000006746
ENSGACP00000025239	ENSCAFP00000002508
ENSGACP00000009059	ENSCAFP00000002508
ENSGACP00000014363	ENSCAFP00000037475
ENSGACP00000027136	ENSCAFP00000037475
ENSGACP00000023567	ENSCAFP00000041417
ENSGACP00000024371	ENSCAFP00000041417
ENSGACP00000010873	ENSCAFP00000021028
ENSGACP00000005024	ENSCAFP00000022735
ENSGACP00000027593	ENSCAFP00000042451
ENSGACP00000013327	ENSCAFP00000021134
ENSGACP00000018279	ENSCAFP00000021134
ENSGACP00000006461	ENSCAFP00000042686
ENSGACP00000022880	ENSCAFP00000014131
ENSGACP00000024592	ENSCAFP00000014131
ENSGACP00000003771	ENSCAFP00000017529
ENSGACP00000002157	ENSCAFP00000017529
ENSGACP00000006853	ENSCAFP00000028361
ENSGACP00000002749	ENSCAFP00000029349
ENSGACP00000009150	ENSCAFP00000042579
ENSGACP00000013757	ENSCAFP00000020955
ENSGACP00000011965	ENSCAFP00000019966
ENSGACP00000008707	ENSCAFP00000020445
ENSGACP00000001910	ENSCAFP00000002028
ENSGACP00000023614	ENSCAFP00000000213
ENSGACP00000020929	ENSCAFP00000023411
ENSGACP00000013315	ENSCAFP00000010967
ENSGACP00000013188	ENSCAFP00000018144
ENSGACP00000026173	ENSCAFP00000020719
ENSGACP00000016187	ENSCAFP00000002550
ENSGACP00000019677	ENSCAFP00000018686
ENSGACP00000004083	ENSCAFP00000008070
ENSGACP00000005781	ENSCAFP00000008070
ENSGACP00000014663	ENSCAFP00000015204
ENSGACP00000013881	ENSCAFP00000026719
ENSGACP00000014852	ENSCAFP00000033564
ENSGACP00000024470	ENSCAFP00000033192
ENSGACP00000018462	ENSCAFP00000015703
ENSGACP00000023022	ENSCAFP00000027307
ENSGACP00000020220	ENSCAFP00000009569
ENSGACP00000026953	ENSCAFP00000024567
ENSGACP00000001525	ENSCAFP00000024567
ENSGACP00000020796	ENSCAFP00000011460
ENSGACP00000018045	ENSCAFP00000022476
ENSGACP00000020202	ENSCAFP00000022476
ENSGACP00000019892	ENSCAFP00000016511
ENSGACP00000011155	ENSCAFP00000000786
ENSGACP00000020784	ENSCAFP00000030051
ENSGACP00000016165	ENSCAFP00000030051
ENSGACP00000014657	ENSCAFP00000017095
ENSGACP00000020761	ENSCAFP00000008426
ENSGACP00000000023	ENSCAFP00000014145
ENSGACP00000004790	ENSCAFP00000000711
ENSGACP00000010121	ENSCAFP00000018208
ENSGACP00000009597	ENSCAFP00000018208
ENSGACP00000011075	ENSCAFP00000029071
ENSGACP00000012573	ENSCAFP00000006235
ENSGACP00000000936	ENSCAFP00000020484
ENSGACP00000018533	ENSCAFP00000023862
ENSGACP00000000313	ENSCAFP00000023862
ENSGACP00000022262	ENSCAFP00000036692
ENSGACP00000007179	ENSCAFP00000037502
ENSGACP00000017069	ENSCAFP00000026420
ENSGACP00000001537	ENSCAFP00000017789
ENSGACP00000013067	ENSCAFP00000013295
ENSGACP00000007024	ENSCAFP00000005569
ENSGACP00000002168	ENSCAFP00000005913
ENSGACP00000021273	ENSCAFP00000020169
ENSGACP00000019076	ENSCAFP00000004319
ENSGACP00000024268	ENSCAFP00000000488
ENSGACP00000012836	ENSCAFP00000020929
ENSGACP00000009393	ENSCAFP00000020929
ENSGACP00000017596	ENSCAFP00000024294
ENSGACP00000024684	ENSCAFP00000000867
ENSGACP00000018570	ENSCAFP00000041094
ENSGACP00000026977	ENSCAFP00000019618
ENSGACP00000007863	ENSCAFP00000024952
ENSGACP00000017301	ENSCAFP00000008454
ENSGACP00000019702	ENSCAFP00000024765
ENSGACP00000004232	ENSCAFP00000024968
ENSGACP00000006403	ENSCAFP00000013819
ENSGACP00000017980	ENSCAFP00000011416
ENSGACP00000023413	ENSCAFP00000018695
ENSGACP00000027353	ENSCAFP00000039921
ENSGACP00000000699	ENSCAFP00000000121
ENSGACP00000004151	ENSCAFP00000017820
ENSGACP00000023997	ENSCAFP00000024586
ENSGACP00000010622	ENSCAFP00000014427
ENSGACP00000004019	ENSCAFP00000015058
ENSGACP00000016125	ENSCAFP00000010182
ENSGACP00000014496	ENSCAFP00000018594
ENSGACP00000018285	ENSCAFP00000041042
ENSGACP00000005651	ENSCAFP00000041042
ENSGACP00000019208	ENSCAFP00000017213
ENSGACP00000026444	ENSCAFP00000018712
ENSGACP00000023425	ENSCAFP00000018712
ENSGACP00000014984	ENSCAFP00000015207
ENSGACP00000026896	ENSCAFP00000015207
ENSGACP00000016192	ENSCAFP00000017680
ENSGACP00000027292	ENSCAFP00000017680
ENSGACP00000019290	ENSCAFP00000014886
ENSGACP00000022105	ENSCAFP00000010829
ENSGACP00000024689	ENSCAFP00000008566
ENSGACP00000001742	ENSCAFP00000014939
ENSGACP00000005540	ENSCAFP00000014939
ENSGACP00000021178	ENSCAFP00000017275
ENSGACP00000011308	ENSCAFP00000026384
ENSGACP00000018744	ENSCAFP00000037413
ENSGACP00000017560	ENSCAFP00000007269
ENSGACP00000022840	ENSCAFP00000026870
ENSGACP00000016689	ENSCAFP00000019461
ENSGACP00000018236	ENSCAFP00000007005
ENSGACP00000012510	ENSCAFP00000030275
ENSGACP00000016479	ENSCAFP00000004219
ENSGACP00000003484	ENSCAFP00000014869
ENSGACP00000018708	ENSCAFP00000014452
ENSGACP00000010198	ENSCAFP00000019835
ENSGACP00000020504	ENSCAFP00000038493
ENSGACP00000022073	ENSCAFP00000039860
ENSGACP00000019135	ENSCAFP00000036390
ENSGACP00000008923	ENSCAFP00000003118
ENSGACP00000014890	ENSCAFP00000027224
ENSGACP00000013221	ENSCAFP00000034848
ENSGACP00000012239	ENSCAFP00000015466
ENSGACP00000000363	ENSCAFP00000023037
ENSGACP00000000841	ENSCAFP00000005192
ENSGACP00000014629	ENSCAFP00000019298
ENSGACP00000001097	ENSCAFP00000011661
ENSGACP00000003037	ENSCAFP00000014194
